#OTU ID	soil.ctrl.CMU.16.09.2016.07.26.day1	soil.ctrl.CMU.16.10.2016.08.06.day1	soil.ctrl.CMU.16.12.2016.10.day.day1	soil.ctrl.CMU.16.14.2016.11.day.day1	soil.ctrl.CMU.17.10.2017.08.09.day1	soil.ctrl.CMU.17.12.2017.10.10.day1	soil.ctrl.SHSU.2016.064.2016.08.25.day1	soil.ctrl.SHSU.2016.065.2016.08.25.day1	soil.ctrl.SHSU.2016.067.2016.09.16.day1	soil.ctrl.SHSU.2016.072.2016.11.04.day1	soil.ctrl.SHSU.2016.073.2016.11.04.day1	soil.ctrl.SHSU.2016.076.2016.11.22.day1	soil.ctrl.SHSU.2017.043.2017.11.30.day1	soil.ctrl.SHSU.2017.045.2017.12.12.day1	soil.ctrl.SHSU.2017.046.2017.12.19.day1	soil.ctrl.UTK.K016.04.2016.09.26.day1	soil.ctrl.UTK.K016.05.2016.09.26.day1	soil.ctrl.UTK.K016.06.2016.10.05.day1	soil.ctrl.UTK.K016.07.2017.Jan.06.day1	soil.ctrl.UTK.K016.08.2017.Jan.06.day1	soil.ctrl.UTK.K016.09.2017.Jan.06.day1	soil.ctrl.UTK.K016.10.2017.05.25.day1	soil.ctrl.UTK.K016.11.2017.05.25.day1	soil.ctrl.UTK.K016.12.2017.05.25.day1	soil.ctrlCMU.16.15.2016.12.day1	soil.ctrlCMU.17.01.2017.01.day1	soil.ctrlCMU.17.04.2017.03.day1	soil.face.CMU.16.03.2016.3.day1	soil.face.CMU.16.04.2016.mo.day1	soil.face.CMU.16.05.2016.mo.day1	soil.face.CMU.16.09.2016.07.26.day1	soil.face.CMU.16.10.2016.08.06.day1	soil.face.CMU.16.12.2016.10.day.day1	soil.face.CMU.16.14.2016.11.day.day1	soil.face.CMU.16.15.2016.12.day1	soil.face.CMU.17.01.2017.01.day1	soil.face.CMU.17.04.2017.03.day1	soil.face.CMU.17.10.2017.08.09.day1	soil.face.CMU.17.12.2017.10.10.day1	soil.face.SHSU.2016.007.2016.04.15.day1	soil.face.SHSU.2016.011.2016.04.15.day1	soil.face.SHSU.2016.024.2016.04.15.day1	soil.face.SHSU.2016.064.2016.08.25.day1	soil.face.SHSU.2016.065.2016.08.25.day1	soil.face.SHSU.2016.067.2016.09.16.day1	soil.face.SHSU.2016.072.2016.11.04.day1	soil.face.SHSU.2016.073.2016.11.04.day1	soil.face.SHSU.2016.076.2016.11.22.day1	soil.face.SHSU.2017.043.2017.11.30.day1	soil.face.SHSU.2017.045.2017.12.12.day1	soil.face.SHSU.2017.046.2017.12.19.day1	soil.face.UTK.K016.01.2016.04.05.day1	soil.face.UTK.K016.02.2016.04.13.day1	soil.face.UTK.K016.03.2016.05.06.day1	soil.face.UTK.K016.04.2016.09.26.day1	soil.face.UTK.K016.05.2016.09.26.day1	soil.face.UTK.K016.06.2016.10.05.day1	soil.face.UTK.K016.07.2017.Jan.06.day1	soil.face.UTK.K016.08.2017.Jan.06.day1	soil.face.UTK.K016.09.2017.Jan.06.day1	soil.face.UTK.K016.10.2017.05.25.day1	soil.face.UTK.K016.11.2017.05.25.day1	soil.face.UTK.K016.12.2017.05.25.day1	soil.hip.CMU.16.03.2016.3.day1	soil.hip.CMU.16.04.2016.mo.day1	soil.hip.CMU.16.05.2016.mo.day1	soil.hip.CMU.16.09.2016.07.26.day1	soil.hip.CMU.16.10.2016.08.06.day1	soil.hip.CMU.16.12.2016.10.day.day1	soil.hip.CMU.16.14.2016.11.day.day1	soil.hip.CMU.16.15.2016.12.day1	soil.hip.CMU.17.01.2017.01.day1	soil.hip.CMU.17.04.2017.03.day1	soil.hip.CMU.17.10.2017.08.09.day1	soil.hip.CMU.17.12.2017.10.10.day1	soil.hip.SHSU.2016.007.2016.04.15.day1	soil.hip.SHSU.2016.011.2016.04.15.day1	soil.hip.SHSU.2016.024.2016.04.15.day1	soil.hip.SHSU.2016.064.2016.08.25.day1	soil.hip.SHSU.2016.065.2016.08.25.day1	soil.hip.SHSU.2016.067.2016.09.16.day1	soil.hip.SHSU.2016.072.2016.11.04.day1	soil.hip.SHSU.2016.073.2016.11.04.day1	soil.hip.SHSU.2016.076.2016.11.22.day1	soil.hip.SHSU.2017.043.2017.11.30.day1	soil.hip.SHSU.2017.045.2017.12.12.day1	soil.hip.SHSU.2017.046.2017.12.19.day1	soil.hip.UTK.K016.01.2016.04.05.day1	soil.hip.UTK.K016.02.2016.04.13.day1	soil.hip.UTK.K016.03.2016.05.06.day1	soil.hip.UTK.K016.04.2016.09.26.day1	soil.hip.UTK.K016.05.2016.09.26.day1	soil.hip.UTK.K016.06.2016.10.05.day1	soil.hip.UTK.K016.07.2017.Jan.06.day1	soil.hip.UTK.K016.08.2017.Jan.06.day1	soil.hip.UTK.K016.09.2017.Jan.06.day1	soil.hip.UTK.K016.10.2017.05.25.day1	soil.hip.UTK.K016.11.2017.05.25.day1	soil.hip.UTK.K016.12.2017.05.25.day1
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Ferruginibacter;D_6__uncultured soil bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000410509	0.001083189	0	0	0.000245616	0	0.000316476	6.64849E-05	0.000148412	0	0.000288268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000236463	0.000962557	0	0.000282273	0	0	0.000222717	0	0.000491539	0.000309176	0.000576452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000683995	0.000816993	0.000369458	0	0.000276932	0	0.000506265	0	0	0.000561903	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Novosphingobium;__	0.002182045	0	0.000660502	0	0.000653808	0.000252228	0	0	0	0	0	0	0	0.002218792	0.000252159	0.000821018	0.001408146	0	0.000953652	0.001326325	0.00223914	0.000506361	0.001396184	0.00037103	0	0.000432401	0	0	0	0.001221747	0	0.001231072	0.003038542	0.002279126	0.005291005	0	0	0.015247151	0.009860485	0.002678811	0	0	0	0.000892857	0	0	0	0	0	0.000334141	0.001528962	0	0.003310475	0.004620271	0.002544235	0.001505457	0.004444444	0.001193792	0.000519673	0.004363842	0.001334176	0.004204798	0.004251333	0	0	0	0.004726736	0.002227755	0.001329198	0.001845315	0.004427625	0	0.006417392	0.007324988	0.005069903	0	0	0	0	0	0	0	0	0	0	0	0.001032976	0.005927953	0.002287582	0.001477833	0.005491153	0.001107726	0.005177885	0.000506265	0.000977349	0.001972158	0.000936505	0.000531915	0
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Tepidisphaerales;D_4__WD2101 soil group;D_5__Planctomycetales bacterium Ellin7224;D_6__Planctomycetales bacterium Ellin7224	0	0	0	0	0	0	0.000476531	0	0.001449275	0	0	0	0.000847338	0	0.001134716	0	0	0	9.53652E-05	0.000638601	0.000268697	0.000759542	0.00053188	0.000222618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001071524	0	0	0.003078818	0	0.00623053	0.000624532	0	9.77708E-05	0	0.004260296	0.000529256	0	0.000472925	0.000385023	0	0.000282273	0	0.000895344	0.000593912	0.000113347	0.001474616	0.000185506	0.000504395	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00291807	0.004144601	0	0.002813929	0.001678877	0.004847537	0	0	0	0.001117318	0.000556218	0	0.000816993	0.000862069	0	0.000276932	0	0	0.000344947	0.000812065	0.000749204	0.000177305	0
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__mle1-8;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000985222	0	0	0.000222618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000192511	0	0	0	0	0	0.000226693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000379699	0	0	0	0	0
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001094691	0.001624783	0	0.002050353	0	0.001164353	0.00234192	0.000598364	0.001038884	0	0.001585471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000472925	0.00154009	0.000346941	0.000940911	0	0.001293275	0.002672606	0.000680079	0.000912857	0.0010512	0.001513186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001960784	0.003940887	0	0	0	0.001139096	0.004081867	0.000232019	0.002060311	0.000945626	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__11-24;D_4__uncultured Acidobacteria bacterium;D_5__uncultured Acidobacteria bacterium;D_6__uncultured Acidobacteria bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002189381	0.000649913	0	0.000429144	0	0.004030452	0.00012659	0	0.000296824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000198965	0.000371195	0.000453386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000369458	0	0	0	0	0.00051742	0.001044084	0	0	0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;__;__;__;__	0.000935162	0.006737247	0.00444738	0.006332806	0.002615234	0	0.009530617	0.000877193	0.001630435	0	0	0	0	0	0	0.012041598	0.005957539	0	0.023555216	0.011347448	0.008419167	0.006202924	0.006449039	0.010908281	0	0.00461228	0	0	0	0.002036245	0	0.008125077	0.003598273	0.001340662	0.004635928	0	0	0.001393557	0.000314696	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037834	0.001828857	0.019659998	0.010350019	0.00047619	0.011341027	0.00935412	0.003400397	0.00344077	0.005008657	0.010159965	0	0.000759878	0.00262286	0.003840473	0.001834622	0.004164821	0.001604621	0.002043519	0.001093643	0	0.001390821	0.000307267	0	0	0.000690767	0	0	0	0	0	0	0	0	0	0.002279982	0.002614379	0.003448276	0.015405735	0.017723622	0	0.014808252	0.008853628	0.008352668	0.004869826	0.007328605	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Sandaracinaceae;D_5__uncultured;D_6__metagenome	0	0	8.80669E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.004652436	0.001299827	0	0.00290864	0.001473695	0.004388715	0.005126907	0.002659398	0.004229742	0	0.002017873	0	0	0	0	0	0	0	0.000134066	0	0	0	0	0	0	0	0	0	0.0015625	0	0.003372471	0	0	0	0	0	0	0.0037834	0.006737896	0.002891176	0.002352277	0.000634921	0.00258655	0.00155902	0.002380278	0.00653044	0.005998021	0.002738147	0	0	0	0	0	0.002303943	0.000401155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158919	0.004103967	0.004575163	0.003571429	0.001372788	0.004984769	0	0.002404759	0.000689893	0.003596288	0.003933321	0.005732861	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__env.OPS 17;D_5__metagenome;D_6__metagenome	0	0	0	0	0	0	0.005003574	0	0	0	0	0	0	0	0	0	0	0	0	0.000589478	0.001074787	0.000696247	0.00026594	0	0	0.000864803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00283755	0	0	0	0.001111111	0.001591723	0	0.000736753	0.000280879	0.000618353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001595987	0	0	0	0	0.001336228	0.000379699	0.000114982	0.001044084	6.24337E-05	0.000295508	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__MSB-4B10;D_5__uncultured proteobacterium;D_6__uncultured proteobacterium	0	0	0.000176134	0	0	0	0	0	0	0	0	0	0	0	0	0.000410509	0	0.076923077	0.000476826	0.000294739	0	0.000253181	0.00013297	0	0	0.000288268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000288767	0.000693882	0.000376364	0	0.000298448	0	0.000113347	0.000280879	0	0.000504395	0	0	0	0	0.000393133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001367989	0	0	0.000457596	0	0	0	0	0	0.000187301	0	0
