SampleID	Oblitimonas_alkaliphila
soil.hip.CMU.16.03.2016.3.day19	0
soil.hip.UTK.K016.02.2016.04.27.day15	0.0194
soil.hip.UTK.K016.02.2016.04.26.day14	0.058
soil.hip.CMU.16.05.2016.mo.day3	0
soil.hip.SHSU.2016.011.2016.04.21.day7	0.0004
soil.hip.CMU.16.03.2016.3.day12	0
soil.hip.CMU.16.03.2016.3.day9	0
soil.hip.CMU.16.03.2016.3.day21	0
soil.hip.SHSU.2016.024.2016.04.17.day3	0
soil.hip.UTK.K016.02.2016.04.25.day13	0.0024
soil.hip.UTK.K016.01.2016.04.17.day13	0.2946
soil.hip.UTK.K016.03.2016.05.14.day9	0.0012
soil.hip.CMU.16.03.2016.3.day14	0
soil.hip.UTK.K016.02.2016.05.01.day19	0.0064
soil.hip.CMU.16.05.2016.mo.day12	0
soil.hip.CMU.16.05.2016.mo.day14	0
soil.hip.CMU.16.05.2016.mo.day21	0
soil.hip.UTK.K016.02.2016.04.24.day12	0.005
soil.hip.UTK.K016.02.2016.04.29.day17	0.0018
soil.hip.UTK.K016.03.2016.05.20.day15	0.024
soil.hip.UTK.K016.02.2016.05.03.day21	0.0018
soil.hip.CMU.16.04.2016.mo.day9	0
soil.hip.CMU.16.04.2016.mo.day21	0.0004
soil.hip.CMU.16.04.2016.mo.day4	0
soil.hip.SHSU.2016.011.2016.04.16.day2	0
soil.hip.UTK.K016.01.2016.04.11.day7	0
soil.hip.CMU.16.05.2016.mo.day2	0
soil.hip.CMU.16.05.2016.mo.day1	0
soil.hip.CMU.16.04.2016.mo.day19	0
soil.hip.CMU.16.04.2016.mo.day5	0
soil.hip.UTK.K016.03.2016.05.21.day16	0.0024
soil.hip.UTK.K016.01.2016.04.12.day8	0
soil.hip.CMU.16.04.2016.mo.day8	0
soil.hip.CMU.16.04.2016.mo.day17	0
soil.hip.UTK.K016.01.2016.04.13.day9	0
soil.hip.UTK.K016.01.2016.04.14.day10	0
soil.hip.CMU.16.04.2016.mo.day1	0
soil.hip.UTK.K016.01.2016.04.06.day2	0
soil.hip.UTK.K016.01.2016.04.25.day21	0.083
soil.hip.SHSU.2016.011.2016.04.18.day4	0.0002
soil.hip.UTK.K016.03.2016.05.19.day14	0.0192
soil.hip.UTK.K016.03.2016.05.10.day5	0
soil.hip.UTK.K016.01.2016.04.22.day18	0.02
soil.hip.UTK.K016.01.2016.04.15.day11	0.0328
soil.hip.CMU.16.03.2016.3.day5	0
soil.hip.UTK.K016.02.2016.04.28.day16	0.0454
soil.hip.CMU.16.03.2016.3.day11	0
soil.hip.UTK.K016.01.2016.04.21.day17	0.2548
soil.hip.SHSU.2016.011.2016.04.17.day3	0
soil.hip.CMU.16.04.2016.mo.day13	0
soil.hip.CMU.16.04.2016.mo.day12	0
soil.hip.UTK.K016.01.2016.04.18.day14	0.1806
soil.hip.UTK.K016.03.2016.05.11.day6	0
soil.hip.UTK.K016.02.2016.04.16.day4	0
soil.hip.UTK.K016.03.2016.05.15.day10	0.001
soil.hip.CMU.16.04.2016.mo.day18	0
soil.hip.UTK.K016.01.2016.04.24.day20	0.1146
soil.hip.CMU.16.03.2016.3.day8	0
soil.hip.UTK.K016.03.2016.05.08.day3	0
soil.hip.SHSU.2016.024.2016.04.18.day4	0.0008
soil.hip.CMU.16.04.2016.mo.day14	0
soil.hip.CMU.16.03.2016.3.day16	0
soil.hip.CMU.16.05.2016.mo.day4	0
soil.hip.UTK.K016.02.2016.04.30.day18	0.1062
soil.hip.UTK.K016.01.2016.04.16.day12	0.1702
soil.hip.CMU.16.03.2016.3.day20	0
soil.hip.UTK.K016.03.2016.05.07.day2	0
soil.hip.UTK.K016.03.2016.05.06.day1	0
soil.hip.SHSU.2016.024.2016.04.21.day7	0.0008
soil.hip.UTK.K016.02.2016.04.18.day6	0
soil.hip.UTK.K016.03.2016.05.17.day12	0.0136
soil.hip.UTK.K016.02.2016.04.14.day2	0
soil.hip.CMU.16.03.2016.3.day13	0
soil.hip.UTK.K016.02.2016.04.13.day1	0
soil.hip.UTK.K016.03.2016.05.18.day13	0.0168
soil.hip.CMU.16.03.2016.3.day3	0
soil.hip.SHSU.2016.007.2016.04.30.day16	0
soil.hip.SHSU.2016.007.2016.04.26.day12	0.006
soil.hip.SHSU.2016.024.2016.04.30.day16	0.0024
soil.hip.SHSU.2016.011.2016.04.25.day11	0.011
soil.hip.SHSU.2016.024.2016.04.22.day8	0.0002
soil.hip.CMU.16.03.2016.3.day15	0
soil.hip.SHSU.2016.024.2016.04.26.day12	0.015
soil.hip.SHSU.2016.024.2016.04.27.day13	0.1158
soil.hip.SHSU.2016.024.2016.05.03.day19	0.003
soil.hip.SHSU.2016.007.2016.05.01.day17	0.0006
soil.hip.UTK.K016.03.2016.05.22.day17	0.0046
soil.hip.SHSU.2016.011.2016.04.28.day14	0.0302
soil.hip.SHSU.2016.007.2016.04.27.day13	0.003
soil.hip.SHSU.2016.011.2016.04.24.day10	0.0004
soil.hip.SHSU.2016.024.2016.05.01.day17	0.0004
soil.hip.SHSU.2016.024.2016.04.19.day5	0
soil.hip.SHSU.2016.024.2016.04.29.day15	0.0036
soil.hip.SHSU.2016.011.2016.04.22.day8	0.0002
soil.hip.SHSU.2016.007.2016.04.25.day11	0.0182
soil.hip.SHSU.2016.007.2016.05.03.day19	0.0042
soil.hip.CMU.16.03.2016.3.day10	0
soil.hip.SHSU.2016.011.2016.04.26.day12	0.0072
soil.hip.SHSU.2016.007.2016.05.04.day20	0.0026
soil.hip.SHSU.2016.024.2016.04.28.day14	0.0016
soil.hip.SHSU.2016.007.2016.04.29.day15	0.004
soil.hip.SHSU.2016.024.2016.05.02.day18	0.0016
