,soil.hip.CMU.16.05.2016.mo.day1,soil.hip.CMU.16.04.2016.mo.day1,soil.hip.CMU.16.10.2016.08.06.day1,soil.hip.CMU.16.14.2016.11.day.day1,soil.hip.CMU.16.15.2016.12.day1,soil.hip.CMU.17.01.2017.01.day1,soil.hip.CMU.16.12.2016.10.day.day1,soil.hip.CMU.17.04.2017.03.day1,soil.hip.CMU.17.12.2017.10.10.day1,soil.hip.CMU.17.10.2017.08.09.day1,soil.hip.CMU.16.03.2016.3.day3,soil.hip.CMU.16.03.2016.3.day5,soil.hip.CMU.16.04.2016.mo.day3,soil.hip.CMU.16.04.2016.mo.day4,soil.hip.CMU.16.04.2016.mo.day5,soil.hip.CMU.16.05.2016.mo.day2,soil.hip.CMU.16.05.2016.mo.day3,soil.hip.CMU.16.05.2016.mo.day4,soil.hip.CMU.16.10.2016.08.08.day3,soil.hip.CMU.16.12.2016.10.day.day2,soil.hip.CMU.16.12.2016.10.day.day3,soil.hip.CMU.16.12.2016.10.day.day4,soil.hip.CMU.16.12.2016.10.day.day5,soil.hip.CMU.16.12.2016.10.day.day8,soil.hip.CMU.16.12.2016.11.day.day11,soil.hip.CMU.16.12.2016.11.day.day12,soil.hip.CMU.16.12.2016.11.day.day13,soil.hip.CMU.16.12.2016.11.day.day14,soil.hip.CMU.16.12.2016.11.day.day15,soil.hip.CMU.16.12.2016.11.day.day16,soil.hip.CMU.16.12.2016.11.day.day17,soil.hip.CMU.16.12.2016.11.day.day19,soil.hip.CMU.16.12.2016.11.day.day21,soil.hip.CMU.16.14.2016.11.day.day2,soil.hip.CMU.16.14.2016.12.day.day10,soil.hip.CMU.16.14.2016.12.day.day11,soil.hip.CMU.16.14.2016.12.day.day13,soil.hip.CMU.16.14.2016.12.day.day14,soil.hip.CMU.16.14.2016.12.day.day15,soil.hip.CMU.16.14.2016.12.day.day16,soil.hip.CMU.16.14.2016.12.day.day17,soil.hip.CMU.16.14.2016.12.day.day18,soil.hip.CMU.16.14.2016.12.day.day19,soil.hip.CMU.16.14.2016.12.day.day21,soil.hip.CMU.16.14.2016.12.day.day3,soil.hip.CMU.16.14.2016.12.day.day5,soil.hip.CMU.16.14.2016.12.day.day6,soil.hip.CMU.16.14.2016.12.day.day7,soil.hip.CMU.16.14.2016.12.day.day8,soil.hip.CMU.16.14.2016.12.day.day9,soil.hip.CMU.16.15.2016.12.day10,soil.hip.CMU.16.15.2016.12.day11,soil.hip.CMU.16.15.2016.12.day12,soil.hip.CMU.16.15.2016.12.day13,soil.hip.CMU.16.15.2016.12.day14,soil.hip.CMU.16.15.2016.12.day15,soil.hip.CMU.16.15.2016.12.day16,soil.hip.CMU.16.15.2016.12.day18,soil.hip.CMU.16.15.2016.12.day2,soil.hip.CMU.16.15.2016.12.day20,soil.hip.CMU.16.15.2016.12.day3,soil.hip.CMU.16.15.2016.12.day4,soil.hip.CMU.16.15.2016.12.day5,soil.hip.CMU.16.15.2016.12.day6,soil.hip.CMU.16.15.2016.12.day8,soil.hip.CMU.16.15.2016.12.day9,soil.hip.CMU.17.01.2017.01.day10,soil.hip.CMU.17.01.2017.01.day11,soil.hip.CMU.17.01.2017.01.day12,soil.hip.CMU.17.01.2017.01.day15,soil.hip.CMU.17.01.2017.01.day17,soil.hip.CMU.17.01.2017.01.day18,soil.hip.CMU.17.01.2017.01.day19,soil.hip.CMU.17.01.2017.01.day2,soil.hip.CMU.17.01.2017.01.day20,soil.hip.CMU.17.01.2017.01.day21,soil.hip.CMU.17.01.2017.01.day22,soil.hip.CMU.17.01.2017.01.day3,soil.hip.CMU.17.01.2017.01.day4,soil.hip.CMU.17.01.2017.01.day5,soil.hip.CMU.17.01.2017.01.day8,soil.hip.CMU.17.01.2017.01.day9,soil.hip.CMU.17.04.2017.03.day2,soil.hip.CMU.17.04.2017.03.day3,soil.hip.CMU.17.04.2017.03.day4,soil.hip.CMU.17.04.2017.03.day5,soil.hip.CMU.17.10.2017.08.10.day2,soil.hip.CMU.17.10.2017.08.11.day3,soil.hip.CMU.17.12.2017.10.11.day2,soil.hip.CMU.17.12.2017.10.12.day3,soil.hip.CMU.17.12.2017.10.13.day4,soil.hip.CMU.16.03.2016.3.day10,soil.hip.CMU.16.03.2016.3.day11,soil.hip.CMU.16.03.2016.3.day12,soil.hip.CMU.16.03.2016.3.day13,soil.hip.CMU.16.03.2016.3.day14,soil.hip.CMU.16.03.2016.3.day15,soil.hip.CMU.16.03.2016.3.day16,soil.hip.CMU.16.03.2016.3.day19,soil.hip.CMU.16.03.2016.3.day20,soil.hip.CMU.16.03.2016.3.day21,soil.hip.CMU.16.03.2016.3.day8,soil.hip.CMU.16.03.2016.3.day9,soil.hip.CMU.16.04.2016.mo.day12,soil.hip.CMU.16.04.2016.mo.day13,soil.hip.CMU.16.04.2016.mo.day14,soil.hip.CMU.16.04.2016.mo.day17,soil.hip.CMU.16.04.2016.mo.day18,soil.hip.CMU.16.04.2016.mo.day19,soil.hip.CMU.16.04.2016.mo.day21,soil.hip.CMU.16.04.2016.mo.day8,soil.hip.CMU.16.04.2016.mo.day9,soil.hip.CMU.16.05.2016.mo.day12,soil.hip.CMU.16.05.2016.mo.day14,soil.hip.CMU.16.09.2016.07.31.day6,soil.hip.CMU.16.09.2016.08.02.day8,soil.hip.CMU.16.10.2016.08.11.day6,soil.hip.CMU.16.10.2016.08.12.day7,soil.hip.CMU.17.04.2017.03.day10,soil.hip.CMU.17.04.2017.03.day11,soil.hip.CMU.17.04.2017.03.day12,soil.hip.CMU.17.04.2017.03.day13,soil.hip.CMU.17.04.2017.03.day14,soil.hip.CMU.17.04.2017.03.day6,soil.hip.CMU.17.04.2017.03.day7,soil.hip.CMU.17.04.2017.03.day9,soil.hip.CMU.17.10.2017.08.12.day4,soil.hip.CMU.17.10.2017.08.13.day5,soil.hip.CMU.17.10.2017.08.14.day6,soil.hip.CMU.17.10.2017.08.17.day9,soil.hip.CMU.17.12.2017.10.15.day6,soil.hip.CMU.17.12.2017.10.17.day8,soil.hip.CMU.17.12.2017.10.19.day10,soil.hip.CMU.17.12.2017.10.20.day11,soil.hip.CMU.17.12.2017.10.22.day13,soil.hip.CMU.17.12.2017.10.23.day14,soil.hip.CMU.17.12.2017.10.24.day15,soil.hip.CMU.17.12.2017.10.25.day16,soil.hip.CMU.17.12.2017.10.26.day17,soil.hip.CMU.16.05.2016.mo.day21,soil.hip.CMU.16.09.2016.08.03.day9,soil.hip.CMU.16.09.2016.08.04.day10,soil.hip.CMU.16.09.2016.08.06.day12,soil.hip.CMU.16.09.2016.08.07.day13,soil.hip.CMU.16.09.2016.08.08.day14,soil.hip.CMU.16.09.2016.08.09.day15,soil.hip.CMU.16.09.2016.08.10.day16,soil.hip.CMU.16.09.2016.08.11.day17,soil.hip.CMU.16.09.2016.08.12.day18,soil.hip.CMU.16.09.2016.08.13.day19,soil.hip.CMU.16.09.2016.08.15.day21,soil.hip.CMU.16.10.2016.08.15.day10,soil.hip.CMU.16.10.2016.08.16.day11,soil.hip.CMU.16.10.2016.08.17.day12,soil.hip.CMU.16.10.2016.08.18.day13,soil.hip.CMU.16.10.2016.08.20.day15,soil.hip.CMU.16.10.2016.08.21.day16,soil.hip.CMU.16.10.2016.08.22.day17,soil.hip.CMU.16.10.2016.08.23.day18,soil.hip.CMU.16.10.2016.08.25.day20,soil.hip.CMU.16.10.2016.08.26.day21,soil.hip.CMU.17.04.2017.03.day15,soil.hip.CMU.17.04.2017.03.day16,soil.hip.CMU.17.04.2017.03.day17,soil.hip.CMU.17.04.2017.03.day18,soil.hip.CMU.17.04.2017.03.day19,soil.hip.CMU.17.04.2017.03.day20,soil.hip.CMU.17.04.2017.03.day21,soil.hip.CMU.17.10.2017.08.18.day10,soil.hip.CMU.17.10.2017.08.19.day11,soil.hip.CMU.17.10.2017.08.20.day12,soil.hip.CMU.17.10.2017.08.21.day13,soil.hip.CMU.17.10.2017.08.22.day14,soil.hip.CMU.17.10.2017.08.23.day15,soil.hip.CMU.17.10.2017.08.24.day16,soil.hip.CMU.17.10.2017.08.25.day17,soil.hip.CMU.17.10.2017.08.26.day18,soil.hip.CMU.17.10.2017.08.27.day19,soil.hip.CMU.17.10.2017.08.28.day20,soil.hip.CMU.17.10.2017.08.29.day21,soil.hip.CMU.17.12.2017.10.27.day18,soil.hip.CMU.17.12.2017.10.29.day20
soil.hip.CMU.16.05.2016.mo.day1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil.hip.CMU.16.04.2016.mo.day1,1.39406258928311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil.hip.CMU.16.10.2016.08.06.day1,-0.756273176564833,1.74601505156795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil.hip.CMU.16.14.2016.11.day.day1,0.663260776256683,5.14637131154816,-2.89213937343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil.hip.CMU.16.15.2016.12.day1,-1.55494193628681,1.51942949619014,-2.9756651404157,-1.15992322442786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil.hip.CMU.17.01.2017.01.day1,-3.31896165088195,-0.431943417912656,-2.80906750863264,-1.53159154149593,-2.42695499469822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil.hip.CMU.16.12.2016.10.day.day1,-0.861493538432115,2.17889632085348,-2.73369914292415,-1.35367116570665,-2.62390060738104,0.382806481853796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil.hip.CMU.17.04.2017.03.day1,-2.347952847493,1.01290513155633,1.92602254397097,-1.44980031247436,-1.78615774249666,-2.34874416268358,1.63658473757578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil.hip.CMU.17.12.2017.10.10.day1,-1.06145198907489,0.749581746569927,-3.01341156373807,-0.620238161089182,-1.9030275462547,-1.74179715775587,-3.19431574420213,-1.50808891182465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soil.hip.CMU.17.10.2017.08.09.day1,-0.686245134625048,0.627637261705346,-2.29146775523621,-0.523442999984174,-0.744362881104501,-1.80440731274903,-1.52688424341049,-1.93162141253996,-0.875224842028189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
