SampleID,Helcococcus_seattlensis,sample_site,add_0c,facility,decomp_stage,host_subject_id
soil.hip.CMU.16.03.2016.3.day19,0.001291275,soil.hip,153.3333333,CMU,active,CMU_Mrs._16_03
soil.face.CMU.16.04.2016.mo.day10,0,soil.face,68.05555556,CMU,active,CMU_Mr._16_04
soil.face.UTK.K016.02.2016.04.24.day12,0.003271675,soil.face,203.3333333,UTK,advanced,UTK.K016.02
soil.face.UTK.K016.01.2016.04.21.day17,0.000313414,soil.face,242.2222222,UTK,advanced,UTK.K016.01
soil.hip.UTK.K016.02.2016.04.27.day15,0.00385472,soil.hip,269.4444445,UTK,advanced,UTK.K016.02
soil.face.CMU.16.03.2016.3.day11,0,soil.face,89.72222223,CMU,active,CMU_Mrs._16_03
soil.hip.UTK.K016.02.2016.04.26.day14,0.003518374,soil.hip,245.5555556,UTK,advanced,UTK.K016.02
soil.face.UTK.K016.01.2016.04.18.day14,0,soil.face,176.9444445,UTK,active,UTK.K016.01
soil.face.CMU.16.05.2016.mo.day21,0,soil.face,214.1666667,CMU,advanced,CMU_Mrs._16_05
soil.face.CMU.16.05.2016.mo.day8,0,soil.face,56.66666667,CMU,active,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day3,0,soil.hip,11.38888889,CMU,early,CMU_Mrs._16_05
soil.hip.UTK.K016.01.2016.04.23.day19,0.000428816,soil.hip,276.1111111,UTK,advanced,UTK.K016.01
soil.face.CMU.16.05.2016.mo.day17,0,soil.face,179.7222222,CMU,active,CMU_Mrs._16_05
soil.face.CMU.16.05.2016.mo.day18,0,soil.face,194.7222222,CMU,active,CMU_Mrs._16_05
soil.face.CMU.16.03.2016.3.day12,0,soil.face,102.7777778,CMU,active,CMU_Mrs._16_03
soil.face.CMU.16.04.2016.mo.day6,0,soil.face,44.72222223,CMU,early,CMU_Mr._16_04
soil.hip.UTK.K016.03.2016.05.12.day7,0,soil.hip,133.3333333,UTK,active,UTK.K016.03
soil.hip.SHSU.2016.011.2016.04.21.day7,0.000366122,soil.hip,132.7777778,SHSU,active,shsu.2016.011
soil.hip.UTK.K016.01.2016.04.08.day4,0,soil.hip,33.05555556,UTK,early,UTK.K016.01
soil.hip.SHSU.2016.011.2016.04.20.day6,0,soil.hip,111.6666667,SHSU,active,shsu.2016.011
soil.face.CMU.16.04.2016.mo.day4,0,soil.face,29.72222223,CMU,early,CMU_Mr._16_04
soil.face.UTK.K016.03.2016.05.19.day14,0.015692399,soil.face,250.8333333,UTK,advanced,UTK.K016.03
soil.face.UTK.K016.03.2016.05.10.day5,0,soil.face,86.11111111,UTK,active,UTK.K016.03
soil.hip.CMU.16.03.2016.3.day12,0,soil.hip,102.7777778,CMU,active,CMU_Mrs._16_03
soil.face.CMU.16.05.2016.mo.day13,0,soil.face,123.3333333,CMU,active,CMU_Mrs._16_05
soil.hip.CMU.16.03.2016.3.day9,0,soil.hip,73.05555556,CMU,active,CMU_Mrs._16_03
soil.face.UTK.K016.03.2016.05.16.day11,0.001331262,soil.face,193.8888889,UTK,active,UTK.K016.03
soil.hip.CMU.16.03.2016.3.day21,0,soil.hip,164.7222222,CMU,active,CMU_Mrs._16_03
soil.hip.SHSU.2016.024.2016.04.17.day3,0,soil.hip,45.83333333,SHSU,early,shsu.2016.024
soil.hip.UTK.K016.03.2016.05.13.day8,0,soil.hip,152.5,UTK,active,UTK.K016.03
soil.face.UTK.K016.03.2016.05.11.day6,0,soil.face,109.7222222,UTK,active,UTK.K016.03
soil.hip.UTK.K016.01.2016.04.09.day5,0,soil.hip,40.55555556,UTK,early,UTK.K016.01
soil.face.UTK.K016.02.2016.05.03.day21,0.000626645,soil.face,394.4444444,UTK,advanced,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.25.day13,0,soil.hip,223.6111111,UTK,advanced,UTK.K016.02
soil.face.UTK.K016.01.2016.04.23.day19,0,soil.face,276.1111111,UTK,advanced,UTK.K016.01
soil.face.CMU.16.04.2016.mo.day16,0,soil.face,111.3888889,CMU,active,CMU_Mr._16_04
soil.face.CMU.16.05.2016.mo.day10,0,soil.face,79.72222223,CMU,active,CMU_Mrs._16_05
soil.hip.UTK.K016.01.2016.04.17.day13,0.001209287,soil.hip,157.7777778,UTK,active,UTK.K016.01
soil.face.CMU.16.03.2016.3.day2,0,soil.face,13.05555556,CMU,early,CMU_Mrs._16_03
soil.hip.CMU.16.03.2016.3.day1,0,soil.hip,0,CMU,placement,CMU_Mrs._16_03
soil.face.UTK.K016.03.2016.05.21.day16,0.025423729,soil.face,289.1666667,UTK,advanced,UTK.K016.03
soil.hip.CMU.16.04.2016.mo.day16,0.003940332,soil.hip,111.3888889,CMU,active,CMU_Mr._16_04
soil.hip.UTK.K016.03.2016.05.14.day9,0.000214087,soil.hip,168.6111111,UTK,active,UTK.K016.03
soil.hip.CMU.16.03.2016.3.day14,0,soil.hip,117.7777778,CMU,active,CMU_Mrs._16_03
soil.face.UTK.K016.01.2016.04.07.day3,0,soil.face,23.05555556,UTK,early,UTK.K016.01
soil.hip.UTK.K016.02.2016.05.01.day19,0.00102504,soil.hip,354.7222222,UTK,advanced,UTK.K016.02
soil.hip.CMU.16.05.2016.mo.day12,0,soil.hip,110.2777778,CMU,active,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day14,0,soil.hip,136.6666667,CMU,active,CMU_Mrs._16_05
soil.face.UTK.K016.01.2016.04.10.day6,0,soil.face,48.33333334,UTK,early,UTK.K016.01
soil.face.UTK.K016.03.2016.05.20.day15,0.044255319,soil.face,268.8888889,UTK,advanced,UTK.K016.03
soil.hip.CMU.16.05.2016.mo.day21,0.001707132,soil.hip,214.1666667,CMU,advanced,CMU_Mrs._16_05
soil.face.UTK.K016.02.2016.04.18.day6,0,soil.face,86.66666667,UTK,active,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.24.day12,0.0005506,soil.hip,203.3333333,UTK,advanced,UTK.K016.02
soil.hip.CMU.16.05.2016.mo.day13,0,soil.hip,123.3333333,CMU,active,CMU_Mrs._16_05
soil.hip.CMU.16.04.2016.mo.day10,0.012987013,soil.hip,68.05555556,CMU,active,CMU_Mr._16_04
soil.hip.CMU.16.04.2016.mo.day15,0,soil.hip,102.7777778,CMU,active,CMU_Mr._16_04
soil.hip.SHSU.2016.024.2016.04.20.day6,0,soil.hip,111.6666667,SHSU,active,shsu.2016.024
soil.hip.UTK.K016.02.2016.04.29.day17,0.001316222,soil.hip,313.3333333,UTK,advanced,UTK.K016.02
soil.face.SHSU.2016.024.2016.04.20.day6,0,soil.face,111.6666667,SHSU,active,shsu.2016.024
soil.hip.UTK.K016.03.2016.05.20.day15,0.014946876,soil.hip,268.8888889,UTK,advanced,UTK.K016.03
soil.face.CMU.16.05.2016.mo.day4,0,soil.face,15.83333333,CMU,early,CMU_Mrs._16_05
soil.hip.CMU.16.05.2016.mo.day20,0,soil.hip,207.5,CMU,advanced,CMU_Mrs._16_05
soil.face.CMU.16.04.2016.mo.day9,0,soil.face,62.22222223,CMU,active,CMU_Mr._16_04
soil.hip.SHSU.2016.007.2016.04.15.day1,0,soil.hip,0,SHSU,placement,shsu.2016.007
soil.hip.UTK.K016.02.2016.04.15.day3,0,soil.hip,36.38888889,UTK,early,UTK.K016.02
soil.face.CMU.16.05.2016.mo.day1,0.000203625,soil.face,0,CMU,placement,CMU_Mrs._16_05
soil.face.UTK.K016.01.2016.04.14.day10,0,soil.face,108.8888889,UTK,active,UTK.K016.01
soil.face.CMU.16.04.2016.mo.day20,0,soil.face,160,CMU,active,CMU_Mr._16_04
soil.face.CMU.16.05.2016.mo.day15,0,soil.face,150,CMU,active,CMU_Mrs._16_05
soil.hip.UTK.K016.02.2016.05.03.day21,0.000282287,soil.hip,394.4444444,UTK,advanced,UTK.K016.02
soil.face.CMU.16.05.2016.mo.day12,0,soil.face,110.2777778,CMU,active,CMU_Mrs._16_05
soil.face.SHSU.2016.011.2016.04.15.day1,0,soil.face,0,SHSU,placement,shsu.2016.011
