id	add_0c	sample_site	predicted observed_otus	residual	host_subject_id	observed_otus
soil.hip.CMU.16.15.2016.12.day1	0	Decomposition Soil	497.8646485	97.86526727	Mr. 16-15	694
soil.hip.CMU.16.15.2016.12.day10	12.45	Decomposition Soil	500.567516	223.6318397	Mr.16-15	810
soil.hip.CMU.16.15.2016.12.day11	12.45	Decomposition Soil	500.567516	288.1623997	Mr. 16-15	887
soil.hip.CMU.16.15.2016.12.day12	12.7	Decomposition Soil	500.6217905	196.1081253	Mr. 16-15	795
soil.hip.CMU.16.15.2016.12.day13	17.15	Decomposition Soil	501.5878757	93.14204011	Mr. 16-15	693
soil.hip.CMU.16.15.2016.12.day14	18.8	Decomposition Soil	501.946087	164.7838288	Mr. 16-15	765
soil.hip.CMU.16.15.2016.12.day15	18.8	Decomposition Soil	501.946087	73.78382875	Mr. 16-15	674
soil.hip.CMU.16.15.2016.12.day16	18.8	Decomposition Soil	501.946087	-64.21617125	Mr. 16-15	536
soil.hip.CMU.16.15.2016.12.day18	19.35	Decomposition Soil	502.0654908	67.66442496	Mr. 16-15	668
soil.hip.CMU.16.15.2016.12.day2	0	Decomposition Soil	497.8646485	-185.1347327	Mr. 16-15	411
soil.hip.CMU.16.15.2016.12.day20	19.35	Decomposition Soil	502.0654908	147.664425	Mr. 16-15	748
soil.hip.CMU.16.15.2016.12.day3	1.1	Decomposition Soil	498.1034561	-210.3735403	Mr. 16-15	386
soil.hip.CMU.16.15.2016.12.day4	5.8	Decomposition Soil	499.1238157	135.6061001	Mr. 16-15	733
soil.hip.CMU.16.15.2016.12.day5	12.45	Decomposition Soil	500.567516	-52.83760026	Mr. 16-15	546
soil.hip.CMU.16.15.2016.12.day6	12.45	Decomposition Soil	500.567516	120.1623997	Mr. 16-15	719
soil.hip.CMU.16.15.2016.12.day8	12.45	Decomposition Soil	500.567516	245.1623997	Mr. 16-15	844
soil.hip.CMU.16.15.2016.12.day9	12.45	Decomposition Soil	500.567516	-121.8376003	Mr. 16-15	477
soil.hip.CMU.17.01.2017.01.day1	0	Decomposition Soil	497.8646485	-60.5679836	Mrs. 17-01	515
soil.hip.CMU.17.01.2017.01.day10	12.25	Decomposition Soil	500.5240965	-45.22743157	Mrs. 17-01	533
soil.hip.CMU.17.01.2017.01.day11	16.4	Decomposition Soil	501.4250523	-362.1283874	Mrs. 17-01	217
soil.hip.CMU.17.01.2017.01.day12	20.3	Decomposition Soil	502.2717337	8.024931193	Mrs. 17-01	588
soil.hip.CMU.17.01.2017.01.day15	26.7	Decomposition Soil	503.6611596	-0.364494686	Mrs. 17-01	581
soil.hip.CMU.17.01.2017.01.day17	27.8	Decomposition Soil	503.8999672	-75.60330226	Mrs. 17-01	506
soil.hip.CMU.17.01.2017.01.day18	28.65	Decomposition Soil	504.0845003	-196.7878354	Mrs. 17-01	385
soil.hip.CMU.17.01.2017.01.day19	28.95	Decomposition Soil	504.1496296	64.14703528	Mrs. 17-01	646
soil.hip.CMU.17.01.2017.01.day2	0	Decomposition Soil	497.8646485	-100.5679836	Mrs. 17-01	475
