id	add_0c	predicted observed_otus	observed_otus	host_subject_id	residual	sample_site
soil.hip.SHSU.2017.043.2017.12.02.day3	31.95	587.7666545	615	2017.043	-68.55714521	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.03.day4	49.45	574.3343702	594	2017.043	-76.12486084	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.04.day5	72.5	556.6421327	1045	2017.043	392.5673766	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.05.day6	88.6	544.2844311	928	2017.043	287.9250782	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.06.day7	96.1	538.5277378	784	2017.043	149.6817715	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.07.day8	100.55	535.1120998	894	2017.043	263.0974095	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.08.day9	103.65	532.7326666	711	2017.043	82.47684275	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.09.day10	111.45	526.7457055	843	2017.043	220.4638038	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.10.day11	120.1	520.1063193	682	2017.043	66.10319006	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.11.day12	134.25	509.2453579	869	2017.043	263.9641514	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.12.day13	143.4	502.2221921	821	2017.043	222.9873172	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.13.day14	150.6	496.6957665	476	2017.043	-116.4862572	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.15.day16	172.55	479.8478441	625	2017.043	49.36166521	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.16.day17	180.3	473.899261	843	2017.043	273.3102483	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.17.day18	190.85	465.8015125	670	2017.043	108.4079969	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.18.day19	205	454.9405511	881	2017.043	330.2689582	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.19.day20	225.85	438.9369437	842	2017.043	307.2725656	Decomposition Soil
soil.hip.SHSU.2017.043.2017.12.20.day21	243.05	425.7349271	944	2017.043	422.4745822	Decomposition Soil
soil.hip.SHSU.2017.045.2017.01.01.day21	191.65	465.1874652	142	2017.045	-319.9756907	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.12.day1	0	612.290168	791	2017.045	181.9216065	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.13.day2	7.2	606.7637424	716	2017.045	112.4480321	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.14.day3	18.9	597.7833009	459	2017.045	-135.5715264	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.15.day4	29.15	589.91582	548	2017.045	-38.70404551	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.16.day5	36.9	583.9672369	511	2017.045	-69.75546244	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.17.day6	47.45	575.8694884	877	2017.045	304.3422861	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.18.day7	61.6	565.008527	808	2017.045	246.2032475	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.19.day8	82.45	549.0049196	979	2017.045	433.2068549	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.20.day9	99.65	535.802903	882	2017.045	349.4088715	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.21.day10	117.15	522.3706186	918	2017.045	398.8411559	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.22.day11	132.15	510.857232	747	2017.045	239.3545425	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.23.day12	139.9	504.9086489	265	2017.045	-236.6968744	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.24.day13	149.05	497.8854831	226	2017.045	-268.6737086	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.25.day14	154.4	493.7790419	99	2017.045	-391.5672674	Decomposition Soil
soil.hip.SHSU.2017.045.2017.12.26.day15	161.6	488.2526163	108	2017.045	-377.0408418	Decomposition Soil
