id	sample_site	host_subject_id	observed_otus	predicted observed_otus	residual	add_0c
soil.hip.UTK.K016.07.2017.Jan.06.day1	Decomposition Soil	K016.07	1147	1211.407855	-214.9399945	0
soil.hip.UTK.K016.07.2017.Jan.08.day2	Decomposition Soil	K016.07	1360	1211.407855	-1.939994513	0
soil.hip.UTK.K016.07.2017.Jan.09.day3	Decomposition Soil	K016.07	1279	1211.407855	-82.93999451	0
soil.hip.UTK.K016.07.2017.Jan.10.day4	Decomposition Soil	K016.07	1253	1204.707774	-102.239914	3.9
soil.hip.UTK.K016.07.2017.Jan.11.day5	Decomposition Soil	K016.07	1241	1184.263939	-93.79607841	15.8
soil.hip.UTK.K016.07.2017.Jan.12.day6	Decomposition Soil	K016.07	1319	1155.058459	13.40940095	32.8
soil.hip.UTK.K016.07.2017.Jan.13.day7	Decomposition Soil	K016.07	1374	1126.711965	96.75589561	49.3
soil.hip.UTK.K016.07.2017.Jan.14.day8	Decomposition Soil	K016.07	1340	1100.59883	88.86903009	64.5
soil.hip.UTK.K016.07.2017.Jan.15.day9	Decomposition Soil	K016.07	1359	1073.283117	135.1847431	80.4
soil.hip.UTK.K016.07.2017.Jan.16.day10	Decomposition Soil	K016.07	1391	1049.746937	190.7209236	94.1
soil.hip.UTK.K016.07.2017.Jan.17.day11	Decomposition Soil	K016.07	1269	1022.946614	95.52124579	109.7
soil.hip.UTK.K016.07.2017.Jan.18.day12	Decomposition Soil	K016.07	1209	998.2078554	60.26000477	124.1
soil.hip.UTK.K016.07.2017.Jan.19.day13	Decomposition Soil	K016.07	1048	981.3717555	-83.90389537	133.9
soil.hip.UTK.K016.07.2017.Jan.20.day14	Decomposition Soil	K016.07	1155	956.6329965	47.83486361	148.3
soil.hip.UTK.K016.07.2017.Jan.21.day15	Decomposition Soil	K016.07	981	934.8147855	-104.3469253	161
soil.hip.UTK.K016.07.2017.Jan.22.day16	Decomposition Soil	K016.07	770	911.450402	-291.9825419	174.6
soil.hip.UTK.K016.07.2017.Jan.23.day17	Decomposition Soil	K016.07	1294	891.5219572	251.9459029	186.2
soil.hip.UTK.K016.07.2017.Jan.24.day18	Decomposition Soil	K016.07	1321	877.9499992	292.5178609	194.1
soil.hip.UTK.K016.07.2017.Jan.25.day19	Decomposition Soil	K016.07	1361	864.0344473	346.4334129	202.2
soil.hip.UTK.K016.07.2017.Jan.26.day20	Decomposition Soil	K016.07	1472	845.652175	475.8156852	212.9
soil.hip.UTK.K016.07.2017.Jan.27.day21	Decomposition Soil	K016.07	1514	840.4982668	522.9695933	215.9
soil.hip.UTK.K016.08.2017.Jan.06.day1	Decomposition Soil	K016.08	1326	1211.407855	-56.29529271	0
soil.hip.UTK.K016.08.2017.Jan.08.day2	Decomposition Soil	K016.08	1157	1211.407855	-225.2952927	0
soil.hip.UTK.K016.08.2017.Jan.09.day3	Decomposition Soil	K016.08	1252	1211.407855	-130.2952927	0
soil.hip.UTK.K016.08.2017.Jan.10.day4	Decomposition Soil	K016.08	1349	1204.707774	-26.59521215	3.9
soil.hip.UTK.K016.08.2017.Jan.11.day5	Decomposition Soil	K016.08	1300	1184.263939	-55.1513766	15.8
soil.hip.UTK.K016.08.2017.Jan.12.day6	Decomposition Soil	K016.08	1288	1155.058459	-37.94589725	32.8
soil.hip.UTK.K016.08.2017.Jan.13.day7	Decomposition Soil	K016.08	1279	1126.711965	-18.59940258	49.3
soil.hip.UTK.K016.08.2017.Jan.14.day8	Decomposition Soil	K016.08	1339	1100.59883	67.5137319	64.5
soil.hip.UTK.K016.08.2017.Jan.15.day9	Decomposition Soil	K016.08	1331	1073.283117	86.82944494	80.4
soil.hip.UTK.K016.08.2017.Jan.16.day10	Decomposition Soil	K016.08	1133	1049.746937	-87.63437464	94.1
soil.hip.UTK.K016.08.2017.Jan.17.day11	Decomposition Soil	K016.08	1264	1022.946614	70.16594759	109.7
soil.hip.UTK.K016.08.2017.Jan.18.day12	Decomposition Soil	K016.08	1213	998.2078554	43.90470657	124.1
soil.hip.UTK.K016.08.2017.Jan.19.day13	Decomposition Soil	K016.08	1322	981.3717555	169.7408064	133.9
soil.hip.UTK.K016.08.2017.Jan.20.day14	Decomposition Soil	K016.08	1235	956.6329965	107.4795654	148.3
soil.hip.UTK.K016.08.2017.Jan.21.day15	Decomposition Soil	K016.08	1273	934.8147855	167.2977765	161
soil.hip.UTK.K016.08.2017.Jan.22.day16	Decomposition Soil	K016.08	1310	911.450402	227.6621599	174.6
soil.hip.UTK.K016.08.2017.Jan.23.day17	Decomposition Soil	K016.08	1350	891.5219572	287.5906047	186.2
soil.hip.UTK.K016.08.2017.Jan.24.day18	Decomposition Soil	K016.08	1398	877.9499992	349.1625627	194.1
soil.hip.UTK.K016.08.2017.Jan.25.day19	Decomposition Soil	K016.08	1216	864.0344473	181.0781147	202.2
