SampleID	season	sample_site	add_0c	facility	decomp_stage	sample_type
skin.face.CMU.16.03.2016.02.25.day1	spring	skin.face	0	CMU	early	skin
skin.face.CMU.16.03.2016.3.day10	spring	skin.face	80.83333334	CMU	active	skin
skin.face.CMU.16.03.2016.3.day11	spring	skin.face	89.72222223	CMU	active	skin
skin.face.CMU.16.03.2016.3.day12	spring	skin.face	102.7777778	CMU	active	skin
skin.face.CMU.16.03.2016.3.day13	spring	skin.face	113.0555556	CMU	active	skin
skin.face.CMU.16.03.2016.3.day14	spring	skin.face	117.7777778	CMU	active	skin
skin.face.CMU.16.03.2016.3.day15	spring	skin.face	123.8888889	CMU	active	skin
skin.face.CMU.16.03.2016.3.day16	spring	skin.face	130.8333333	CMU	active	skin
skin.face.CMU.16.03.2016.3.day17	spring	skin.face	135.2777778	CMU	active	skin
skin.face.CMU.16.03.2016.3.day18	spring	skin.face	141.1111111	CMU	active	skin
skin.face.CMU.16.03.2016.3.day19	spring	skin.face	153.3333333	CMU	active	skin
skin.face.CMU.16.03.2016.3.day2	spring	skin.face	13.05555556	CMU	early	skin
skin.face.CMU.16.03.2016.3.day20	spring	skin.face	160.8333333	CMU	active	skin
skin.face.CMU.16.03.2016.3.day21	spring	skin.face	164.7222222	CMU	active	skin
skin.face.CMU.16.03.2016.3.day3	spring	skin.face	25.83333334	CMU	early	skin
skin.face.CMU.16.03.2016.3.day4	spring	skin.face	35.83333334	CMU	early	skin
skin.face.CMU.16.03.2016.3.day5	spring	skin.face	47.22222223	CMU	early	skin
skin.face.CMU.16.03.2016.3.day6	spring	skin.face	52.50000001	CMU	active	skin
skin.face.CMU.16.03.2016.3.day7	spring	skin.face	57.22222223	CMU	active	skin
skin.face.CMU.16.03.2016.3.day8	spring	skin.face	66.11111112	CMU	active	skin
skin.face.CMU.16.03.2016.3.day9	spring	skin.face	73.05555556	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day1	spring	skin.face	0	CMU	early	skin
skin.face.CMU.16.04.2016.mo.day10	spring	skin.face	68.05555556	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day11	spring	skin.face	80.27777778	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day12	spring	skin.face	87.77777778	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day13	spring	skin.face	91.66666667	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day14	spring	skin.face	96.11111111	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day15	spring	skin.face	102.7777778	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day16	spring	skin.face	111.3888889	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day17	spring	skin.face	122.7777778	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day18	spring	skin.face	136.9444445	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day19	spring	skin.face	149.7222222	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day2	spring	skin.face	7.777777778	CMU	early	skin
skin.face.CMU.16.04.2016.mo.day20	spring	skin.face	160	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day21	spring	skin.face	173.6111111	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day3	spring	skin.face	16.66666667	CMU	early	skin
skin.face.CMU.16.04.2016.mo.day4	spring	skin.face	29.72222223	CMU	early	skin
skin.face.CMU.16.04.2016.mo.day5	spring	skin.face	40.00000001	CMU	early	skin
skin.face.CMU.16.04.2016.mo.day6	spring	skin.face	44.72222223	CMU	early	skin
skin.face.CMU.16.04.2016.mo.day7	spring	skin.face	50.83333334	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day8	spring	skin.face	57.77777778	CMU	active	skin
skin.face.CMU.16.04.2016.mo.day9	spring	skin.face	62.22222223	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day1	spring	skin.face	0	CMU	early	skin
skin.face.CMU.16.05.2016.mo.day10	spring	skin.face	79.72222223	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day11	spring	skin.face	93.33333334	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day12	spring	skin.face	110.2777778	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day13	spring	skin.face	123.3333333	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day14	spring	skin.face	136.6666667	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day15	spring	skin.face	150	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day16	spring	skin.face	164.7222222	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day17	spring	skin.face	179.7222222	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day18	spring	skin.face	194.7222222	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day19	spring	skin.face	200.8333333	CMU	advanced	skin
skin.face.CMU.16.05.2016.mo.day2	spring	skin.face	7.5	CMU	early	skin
skin.face.CMU.16.05.2016.mo.day20	spring	skin.face	207.5	CMU	advanced	skin
skin.face.CMU.16.05.2016.mo.day21	spring	skin.face	214.1666667	CMU	advanced	skin
skin.face.CMU.16.05.2016.mo.day3	spring	skin.face	11.38888889	CMU	early	skin
skin.face.CMU.16.05.2016.mo.day4	spring	skin.face	15.83333333	CMU	early	skin
skin.face.CMU.16.05.2016.mo.day5	spring	skin.face	22.5	CMU	early	skin
skin.face.CMU.16.05.2016.mo.day6	spring	skin.face	31.11111111	CMU	early	skin
skin.face.CMU.16.05.2016.mo.day7	spring	skin.face	42.5	CMU	early	skin
skin.face.CMU.16.05.2016.mo.day8	spring	skin.face	56.66666667	CMU	active	skin
skin.face.CMU.16.05.2016.mo.day9	spring	skin.face	69.44444445	CMU	active	skin
skin.face.CMU.16.09.2016.07.26.day1	summer	skin.face	0	CMU	early	skin
skin.face.CMU.16.09.2016.07.27.day2	summer	skin.face	28.3	CMU	early	skin
skin.face.CMU.16.09.2016.07.28.day3	summer	skin.face	57.45	CMU	active	skin
skin.face.CMU.16.09.2016.07.29.day4	summer	skin.face	86.6	CMU	active	skin
skin.face.CMU.16.09.2016.07.30.day5	summer	skin.face	114.7	CMU	active	skin
skin.face.CMU.16.09.2016.07.31.day6	summer	skin.face	142.45	CMU	active	skin
skin.face.CMU.16.09.2016.08.01.day7	summer	skin.face	169.4	CMU	active	skin
skin.face.CMU.16.09.2016.08.02.day8	summer	skin.face	196.65	CMU	active	skin
skin.face.CMU.16.09.2016.08.03.day9	summer	skin.face	225	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.04.day10	summer	skin.face	248.35	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.05.day11	summer	skin.face	269.7	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.06.day12	summer	skin.face	293.3	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.07.day13	summer	skin.face	317.75	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.08.day14	summer	skin.face	343.3	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.09.day15	summer	skin.face	371.35	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.10.day16	summer	skin.face	397.75	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.11.day17	summer	skin.face	422.75	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.12.day18	summer	skin.face	446.35	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.13.day19	summer	skin.face	471.65	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.14.day20	summer	skin.face	496.4	CMU	advanced	skin
skin.face.CMU.16.09.2016.08.15.day21	summer	skin.face	521.95	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.06.day1	summer	skin.face	0	CMU	early	skin
skin.face.CMU.16.10.2016.08.07.day2	summer	skin.face	24.45	CMU	early	skin
skin.face.CMU.16.10.2016.08.08.day3	summer	skin.face	50	CMU	early	skin
skin.face.CMU.16.10.2016.08.09.day4	summer	skin.face	78.05	CMU	active	skin
skin.face.CMU.16.10.2016.08.10.day5	summer	skin.face	104.45	CMU	active	skin
skin.face.CMU.16.10.2016.08.11.day6	summer	skin.face	129.45	CMU	active	skin
skin.face.CMU.16.10.2016.08.13.day8	summer	skin.face	178.35	CMU	active	skin
skin.face.CMU.16.10.2016.08.14.day9	summer	skin.face	153.05	CMU	active	skin
skin.face.CMU.16.10.2016.08.15.day10	summer	skin.face	228.65	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.16.day11	summer	skin.face	255.05	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.17.day12	summer	skin.face	280.3	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.18.day13	summer	skin.face	303.9	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.19.day14	summer	skin.face	327.5	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.20.day15	summer	skin.face	351.95	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.21.day16	summer	skin.face	376.1	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.22.day17	summer	skin.face	400	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.23.day18	summer	skin.face	421.7	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.24.day19	summer	skin.face	443.9	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.25.day20	summer	skin.face	464.75	CMU	advanced	skin
skin.face.CMU.16.10.2016.08.26.day21	summer	skin.face	483.95	CMU	advanced	skin
skin.face.CMU.16.12.2016.10.day.day1	fall	skin.face	0	CMU	early	skin
skin.face.CMU.16.12.2016.10.day.day10	fall	skin.face	26.1	CMU	early	skin
skin.face.CMU.16.12.2016.10.day.day2	fall	skin.face	5.55	CMU	early	skin
skin.face.CMU.16.12.2016.10.day.day3	fall	skin.face	11.1	CMU	early	skin
skin.face.CMU.16.12.2016.10.day.day4	fall	skin.face	14.4	CMU	early	skin
skin.face.CMU.16.12.2016.10.day.day5	fall	skin.face	16.9	CMU	early	skin
skin.face.CMU.16.12.2016.10.day.day6	fall	skin.face	20.8	CMU	early	skin
skin.face.CMU.16.12.2016.10.day.day7	fall	skin.face	25.8	CMU	early	skin
skin.face.CMU.16.12.2016.10.day.day8	fall	skin.face	26.1	CMU	early	skin
skin.face.CMU.16.12.2016.10.day.day9	fall	skin.face	26.1	CMU	early	skin
skin.face.CMU.16.12.2016.11.day.day11	fall	skin.face	26.1	CMU	early	skin
skin.face.CMU.16.12.2016.11.day.day12	fall	skin.face	26.1	CMU	early	skin
skin.face.CMU.16.12.2016.11.day.day13	fall	skin.face	26.1	CMU	early	skin
skin.face.CMU.16.12.2016.11.day.day14	fall	skin.face	26.1	CMU	early	skin
skin.face.CMU.16.12.2016.11.day.day15	fall	skin.face	27.5	CMU	early	skin
