community	medium	size	mip	mro
comm_20_0	complete	20	31	0.6524310776942356
comm_20_1	complete	20	30	0.663197172034564
comm_20_10	complete	20	31	0.6523064417801261
comm_20_11	complete	20	31	0.6526725373745649
comm_20_12	complete	20	30	0.6526315789473685
comm_20_13	complete	20	30	0.6450476585163697
comm_20_14	complete	20	28	0.6642328364263259
comm_20_15	complete	20	28	0.6482644968585849
comm_20_16	complete	20	31	0.6486764857348851
comm_20_17	complete	20	30	0.6688472593914163
comm_20_18	complete	20	30	0.6503980974046119
comm_20_19	complete	20	31	0.6371681415929203
comm_20_2	complete	20	31	0.6425611272275177
comm_20_20	complete	20	29	0.6748085683822816
comm_20_21	complete	20	29	0.6712004730928446
comm_20_22	complete	20	30	0.6405419489317352
comm_20_23	complete	20	29	0.6722210932737249
comm_20_24	complete	20	30	0.6619090098126673
comm_20_25	complete	20	29	0.6706766917293233
comm_20_26	complete	20	29	0.677311255667258
comm_20_27	complete	20	30	0.6433920472523996
comm_20_28	complete	20	29	0.6759622937941869
comm_20_29	complete	20	29	0.6776810447170558
comm_20_3	complete	20	29	0.6493612672457844
comm_20_30	complete	20	28	0.6665987987376566
comm_20_31	complete	20	29	0.66793893129771
comm_20_32	complete	20	30	0.6429701508279717
comm_20_33	complete	20	30	0.6647247890719165
comm_20_34	complete	20	31	0.6650270536153469
comm_20_35	complete	20	30	0.6622637675269254
comm_20_36	complete	20	29	0.6655151391993498
comm_20_37	complete	20	30	0.6659425298706428
comm_20_38	complete	20	29	0.6792119964716259
comm_20_39	complete	20	29	0.6532140628250468
comm_20_4	complete	20	30	0.6469383575670694
comm_20_40	complete	20	29	0.66553480475382
comm_20_41	complete	20	30	0.6458865610628514
comm_20_42	complete	20	31	0.6435915708032169
comm_20_43	complete	20	30	0.6670021133138775
comm_20_44	complete	20	30	0.6475028435528901
comm_20_45	complete	20	30	0.6555396272783126
comm_20_46	complete	20	31	0.6357069143446852
comm_20_47	complete	20	30	0.6547204587343847
comm_20_48	complete	20	28	0.6676168176728087
comm_20_49	complete	20	28	0.6752730883813307
comm_20_5	complete	20	30	0.6664028492283339
comm_20_50	complete	20	28	0.6813682250318533
comm_20_51	complete	20	31	0.6460552166270292
comm_20_52	complete	20	30	0.638094268553395
comm_20_53	complete	20	30	0.633440181987385
comm_20_54	complete	20	30	0.652589557726652
comm_20_55	complete	20	29	0.6762420068863747
comm_20_56	complete	20	28	0.6849931520250441
comm_20_57	complete	20	28	0.6614481409001957
comm_20_58	complete	20	30	0.642228138439484
comm_20_59	complete	20	30	0.649156097073804
comm_20_6	complete	20	30	0.6621013500293486
comm_20_60	complete	20	30	0.6485766946549253
comm_20_61	complete	20	29	0.6668024025246869
comm_20_62	complete	20	28	0.6635706914344686
comm_20_63	complete	20	29	0.6724925521350547
comm_20_64	complete	20	30	0.6711530735235034
comm_20_65	complete	20	29	0.6757536563526018
comm_20_66	complete	20	31	0.6429980276134122
comm_20_67	complete	20	28	0.6763550667714061
comm_20_68	complete	20	30	0.6447107868681605
comm_20_69	complete	20	32	0.6495356037151703
comm_20_7	complete	20	32	0.6500822368421052
comm_20_70	complete	20	30	0.6632581453634085
comm_20_71	complete	20	30	0.6633155923516657
comm_20_72	complete	20	28	0.6660651629072681
comm_20_73	complete	20	28	0.6771465525818328
comm_20_74	complete	20	30	0.6674004402641586
comm_20_75	complete	20	30	0.6522895686870606
comm_20_76	complete	20	30	0.6705579738820736
comm_20_77	complete	20	28	0.6751567008257885
comm_20_78	complete	20	30	0.6532083633741889
comm_20_79	complete	20	29	0.6527561507318592
comm_20_8	complete	20	30	0.669601761056634
comm_20_80	complete	20	31	0.6576441102756893
comm_20_81	complete	20	28	0.6822684016313847
comm_20_82	complete	20	31	0.6412796697626418
comm_20_83	complete	20	30	0.6761285235560813
comm_20_84	complete	20	28	0.6633792895240013
comm_20_85	complete	20	29	0.6631578947368422
comm_20_86	complete	20	30	0.6369877262325775
comm_20_87	complete	20	31	0.646675628166684
comm_20_88	complete	20	30	0.6466165413533834
comm_20_89	complete	20	29	0.6505542794367322
comm_20_9	complete	20	31	0.6370308240721325
comm_20_90	complete	20	31	0.6464708282333741
comm_20_91	complete	20	29	0.660343929129755
comm_20_92	complete	20	29	0.653500155102885
comm_20_93	complete	20	30	n/a
comm_20_94	complete	20	30	0.6621787025703795
comm_20_95	complete	20	29	0.6603618421052632
comm_20_96	complete	20	30	0.635157894736842
comm_20_97	complete	20	29	0.6520928305014505
comm_20_98	complete	20	29	0.6820662768031189
comm_20_99	complete	20	29	0.6782522343594836
