community	medium	size	mip	mro
comm_20_0	complete	20	28	0.6724711406769712
comm_20_1	complete	20	28	0.6788124156545209
comm_20_10	complete	20	29	0.6734143049932524
comm_20_11	complete	20	26	0.6904024767801858
comm_20_12	complete	20	29	0.6775225356208201
comm_20_13	complete	20	32	0.6561327725360919
comm_20_14	complete	20	26	0.6641647597254005
comm_20_15	complete	20	31	0.6598202824133504
comm_20_16	complete	20	34	0.6536930561698363
comm_20_17	complete	20	32	0.6600044414834555
comm_20_18	complete	20	32	0.6514272970561997
comm_20_19	complete	20	29	0.6824754193175245
comm_20_2	complete	20	28	0.6755695208169678
comm_20_20	complete	20	32	0.6585281584705747
comm_20_21	complete	20	26	0.686624818928054
comm_20_22	complete	20	26	0.6719134284308903
comm_20_23	complete	20	32	0.6545495093666369
comm_20_24	complete	20	32	0.6468774974312136
comm_20_25	complete	20	27	0.6829642412041032
comm_20_26	complete	20	26	0.6868997310795236
comm_20_27	complete	20	31	0.6615204678362573
comm_20_28	complete	20	27	0.6702076291646548
comm_20_29	complete	20	32	0.6550711542805512
comm_20_3	complete	20	29	0.677497811071116
comm_20_30	complete	20	29	0.6723196881091618
comm_20_31	complete	20	32	0.6595744680851063
comm_20_32	complete	20	26	0.6780241743599505
comm_20_33	complete	20	31	0.6554602364943195
comm_20_34	complete	20	26	0.6770465182921005
comm_20_35	complete	20	32	0.6507177033492824
comm_20_36	complete	20	31	0.6497115271399976
comm_20_37	complete	20	33	0.6614981436994977
comm_20_38	complete	20	26	0.6747349657566375
comm_20_39	complete	20	32	0.658344579397211
comm_20_4	complete	20	29	0.6682089839984577
comm_20_40	complete	20	27	0.6724823107492488
comm_20_41	complete	20	33	0.6623447972750247
comm_20_42	complete	20	31	0.653084323712507
comm_20_43	complete	20	28	0.6727605118829981
comm_20_44	complete	20	31	0.6549707602339181
comm_20_45	complete	20	32	0.6689015532461727
comm_20_46	complete	20	26	0.6718266253869969
comm_20_47	complete	20	32	0.6492780624126688
comm_20_48	complete	20	32	0.6531306715063521
comm_20_49	complete	20	26	0.677571442316944
comm_20_5	complete	20	29	0.6700177409816677
comm_20_50	complete	20	27	0.6532388663967611
comm_20_51	complete	20	30	0.6530735235034151
comm_20_52	complete	20	32	0.6552233716039559
comm_20_53	complete	20	28	0.6502770083102493
comm_20_54	complete	20	32	0.6503365331567913
comm_20_55	complete	20	31	0.6738809640924742
comm_20_56	complete	20	32	0.6521346284165349
comm_20_57	complete	20	28	0.6524936796138819
comm_20_58	complete	20	30	0.6541187405600093
comm_20_59	complete	20	29	0.6751824817518248
comm_20_6	complete	20	28	0.6795665634674922
comm_20_60	complete	20	30	0.6817511067388097
comm_20_61	complete	20	30	0.6645718774548312
comm_20_62	complete	20	31	0.6781840096424266
comm_20_63	complete	20	32	0.6491228070175439
comm_20_64	complete	20	26	0.6593227254181966
comm_20_65	complete	20	31	0.6474853801169591
comm_20_66	complete	20	26	0.6596491228070175
comm_20_67	complete	20	26	0.6656698564593302
comm_20_68	complete	20	29	0.6291463954002653
comm_20_69	complete	20	32	0.6509402470234784
comm_20_7	complete	20	28	0.6793372319688109
comm_20_70	complete	20	31	0.6574401454692392
comm_20_71	complete	20	33	0.661026260850456
comm_20_72	complete	20	28	0.6410661847752428
comm_20_73	complete	20	32	0.6534412955465587
comm_20_74	complete	20	30	0.6705149971703452
comm_20_75	complete	20	30	0.6421052631578947
comm_20_76	complete	20	29	0.6371899899001234
comm_20_77	complete	20	29	0.6101197199006099
comm_20_78	complete	20	32	0.6455987129395542
comm_20_79	complete	20	29	0.6754059870866759
comm_20_8	complete	20	30	0.6711751445653239
comm_20_80	complete	20	27	0.6458404074702886
comm_20_81	complete	20	26	0.6574366283212867
comm_20_82	complete	20	32	0.6557488140953242
comm_20_83	complete	20	28	0.6505308825208357
comm_20_84	complete	20	32	0.6415050784856879
comm_20_85	complete	20	32	0.6488575650790042
comm_20_86	complete	20	33	0.6386573809795638
comm_20_87	complete	20	30	0.6516968095915464
comm_20_88	complete	20	31	0.6582943258362827
comm_20_89	complete	20	30	0.6247139588100686
comm_20_9	complete	20	29	0.6808180672676165
comm_20_90	complete	20	27	0.6383847549909256
comm_20_91	complete	20	32	0.6462668298653611
comm_20_92	complete	20	32	0.6462668298653611
comm_20_93	complete	20	31	0.6498757623672916
comm_20_94	complete	20	31	0.6492389915185315
comm_20_95	complete	20	28	0.6444321329639889
comm_20_96	complete	20	28	0.6463851937536148
comm_20_97	complete	20	31	0.679353751610665
comm_20_98	complete	20	26	0.6650807810486669
comm_20_99	complete	20	30	0.653631919972718
