community	medium	size	mip	mro
comm_20_0	complete	20	26	0.6679970067348465
comm_20_1	complete	20	28	0.650672026127371
comm_20_10	complete	20	24	0.6793542459640373
comm_20_11	complete	20	27	0.6781708369283865
comm_20_12	complete	20	27	0.6525306070932727
comm_20_13	complete	20	28	0.6629861366703472
comm_20_14	complete	20	24	0.661793372319688
comm_20_15	complete	20	27	0.6731769181991122
comm_20_16	complete	20	29	0.6431382193802263
comm_20_17	complete	20	27	0.6653860929696503
comm_20_18	complete	20	25	0.6689886480908153
comm_20_19	complete	20	29	0.6734365325077399
comm_20_2	complete	20	28	0.6516912628966959
comm_20_20	complete	20	26	0.664819944598338
comm_20_21	complete	20	26	0.669969040247678
comm_20_22	complete	20	26	0.6470441506610126
comm_20_23	complete	20	23	0.6639304683727667
comm_20_24	complete	20	27	0.6484210526315789
comm_20_25	complete	20	27	0.6623016872324352
comm_20_26	complete	20	26	0.6606516290726817
comm_20_27	complete	20	26	0.6488352027610008
comm_20_28	complete	20	26	0.653991437924956
comm_20_29	complete	20	23	0.6777327935222672
comm_20_3	complete	20	27	0.6602649811595964
comm_20_30	complete	20	30	0.6609188006691545
comm_20_31	complete	20	24	0.6520183955033213
comm_20_32	complete	20	27	0.6631082423038729
comm_20_33	complete	20	25	0.6651735722284435
comm_20_34	complete	20	28	0.6438304788098512
comm_20_35	complete	20	26	0.6821536600120992
comm_20_36	complete	20	26	0.6659356725146198
comm_20_37	complete	20	25	0.6474908200734394
comm_20_38	complete	20	26	0.6410801350168771
comm_20_39	complete	20	28	0.6726390444195596
comm_20_4	complete	20	29	0.6607482561826252
comm_20_40	complete	20	24	0.6726315789473685
comm_20_41	complete	20	24	0.6895268474215842
comm_20_42	complete	20	26	0.6573156607901172
comm_20_43	complete	20	25	0.6703100867292385
comm_20_44	complete	20	25	0.6705827067669173
comm_20_45	complete	20	27	0.653374613003096
comm_20_46	complete	20	26	0.6676550531257721
comm_20_47	complete	20	26	0.6434118082090472
comm_20_48	complete	20	26	0.6613060428849902
comm_20_49	complete	20	28	0.6703198674652734
comm_20_5	complete	20	24	0.6864988558352402
comm_20_50	complete	20	29	0.6573099415204678
comm_20_51	complete	20	30	0.6488268864933417
comm_20_52	complete	20	27	0.6661724734371138
comm_20_53	complete	20	26	0.6584599924632584
comm_20_54	complete	20	25	0.663756547767523
comm_20_55	complete	20	25	0.6679759099240639
comm_20_56	complete	20	27	0.6504468718967229
comm_20_57	complete	20	31	0.6637710781808891
comm_20_58	complete	20	24	0.6402657128257536
comm_20_59	complete	20	27	0.6678418534374213
comm_20_6	complete	20	27	0.686109603906674
comm_20_60	complete	20	26	0.6644270250093318
comm_20_61	complete	20	25	0.6745737583395107
comm_20_62	complete	20	24	0.6604288499025341
comm_20_63	complete	20	26	0.6711459499813364
comm_20_64	complete	20	24	0.6768447837150128
comm_20_65	complete	20	27	0.6510436675630682
comm_20_66	complete	20	25	0.664043285784555
comm_20_67	complete	20	26	0.6571569109690113
comm_20_68	complete	20	26	0.665909377760949
comm_20_69	complete	20	25	0.6867812204031931
comm_20_7	complete	20	26	0.6675617615467239
comm_20_70	complete	20	26	0.6614776377563627
comm_20_71	complete	20	22	0.6668395125745398
comm_20_72	complete	20	26	0.6737379162191193
comm_20_73	complete	20	24	0.6734693877551019
comm_20_74	complete	20	23	0.6646325959827104
comm_20_75	complete	20	25	0.6664105519272634
comm_20_76	complete	20	24	0.6474726420010423
comm_20_77	complete	20	27	0.6635608159153866
comm_20_78	complete	20	29	0.666751012145749
comm_20_79	complete	20	24	0.663396526580936
comm_20_8	complete	20	27	0.6632085020242914
comm_20_80	complete	20	27	0.6532725255762356
comm_20_81	complete	20	22	0.6492472315540625
comm_20_82	complete	20	26	0.6641423703142749
comm_20_83	complete	20	30	0.672514619883041
comm_20_84	complete	20	24	0.6513478818998717
comm_20_85	complete	20	26	0.6539152759948652
comm_20_86	complete	20	25	0.6667528772791931
comm_20_87	complete	20	24	0.6541353383458647
comm_20_88	complete	20	26	0.6415094339622641
comm_20_89	complete	20	24	0.6456652580355999
comm_20_9	complete	20	27	0.6538317289661207
comm_20_90	complete	20	26	0.6631082423038729
comm_20_91	complete	20	24	0.6498074454428755
comm_20_92	complete	20	24	0.663133242943424
comm_20_93	complete	20	26	0.6528247223563496
comm_20_94	complete	20	25	0.6937912156277218
comm_20_95	complete	20	27	0.6704413846351821
comm_20_96	complete	20	28	0.6788854489164087
comm_20_97	complete	20	31	0.6634615384615384
comm_20_98	complete	20	29	0.6683576410906785
comm_20_99	complete	20	26	0.6461067924047408
