community	medium	size	mip	mro
comm_20_0	complete	20	28	0.6484565844992227
comm_20_1	complete	20	33	0.6508655745323574
comm_20_10	complete	20	29	0.6509455456823877
comm_20_11	complete	20	29	0.6624840246311142
comm_20_12	complete	20	28	0.6683632157316368
comm_20_13	complete	20	28	0.6524002313475998
comm_20_14	complete	20	28	0.666286105719831
comm_20_15	complete	20	28	0.6574968739342958
comm_20_16	complete	20	28	0.6527668206919869
comm_20_17	complete	20	28	0.6597096188747732
comm_20_18	complete	20	29	0.6567604355716878
comm_20_19	complete	20	28	0.6546689303904923
comm_20_2	complete	20	29	0.6411281367976904
comm_20_20	complete	20	26	0.673960612691466
comm_20_21	complete	20	28	0.6681922196796338
comm_20_22	complete	20	28	0.6560798548094374
comm_20_23	complete	20	28	0.6698145802142117
comm_20_24	complete	20	28	0.6716020821283979
comm_20_25	complete	20	27	0.6619831855349533
comm_20_26	complete	20	28	0.6574968739342958
comm_20_27	complete	20	28	0.6597867217062263
comm_20_28	complete	20	30	0.6608439201451906
comm_20_29	complete	20	28	0.6528142482018495
comm_20_3	complete	20	28	0.6556920936702991
comm_20_30	complete	20	30	0.6600830434294692
comm_20_31	complete	20	28	0.6547414287352369
comm_20_32	complete	20	29	0.6613272311212814
comm_20_33	complete	20	28	0.6673684210526315
comm_20_34	complete	20	30	0.6593280587088637
comm_20_35	complete	20	28	0.6571041337248701
comm_20_36	complete	20	26	0.6698145802142117
comm_20_37	complete	20	27	0.656479909451047
comm_20_38	complete	20	30	0.6525423728813559
comm_20_39	complete	20	28	0.6553480475382003
comm_20_4	complete	20	31	0.6462242562929061
comm_20_40	complete	20	28	0.6490858725761772
comm_20_41	complete	20	29	0.6517061885482938
comm_20_42	complete	20	28	0.6558524915392694
comm_20_43	complete	20	27	0.6646160856687172
comm_20_44	complete	20	28	0.6264649477945877
comm_20_45	complete	20	27	0.6676497277676952
comm_20_46	complete	20	29	0.6455074780226052
comm_20_47	complete	20	27	0.6573853989813243
comm_20_48	complete	20	28	0.6599460790059782
comm_20_49	complete	20	28	0.6696479761495242
comm_20_5	complete	20	28	0.6524936796138819
comm_20_50	complete	20	28	0.669271431854746
comm_20_51	complete	20	26	0.6578947368421053
comm_20_52	complete	20	28	0.6656010960155269
comm_20_53	complete	20	25	0.6645614035087719
comm_20_54	complete	20	26	0.662632720630209
comm_20_55	complete	20	28	0.6512158922251399
comm_20_56	complete	20	27	0.6129805387786407
comm_20_57	complete	20	28	0.6736842105263158
comm_20_58	complete	20	28	0.6666666666666666
comm_20_59	complete	20	31	0.6514312096029548
comm_20_6	complete	20	29	0.6543821259933202
comm_20_60	complete	20	27	0.6414810031213002
comm_20_61	complete	20	27	0.6428648941942485
comm_20_62	complete	20	25	0.6576597744360902
comm_20_63	complete	20	26	0.6720823798627003
comm_20_64	complete	20	27	0.6511214745725072
comm_20_65	complete	20	27	0.6606407322654462
comm_20_66	complete	20	28	0.6778484673221515
comm_20_67	complete	20	28	0.6573201562859113
comm_20_68	complete	20	28	0.6569071685837109
comm_20_69	complete	20	26	0.6697940503432495
comm_20_7	complete	20	28	0.6480549199084669
comm_20_70	complete	20	28	0.6551246537396122
comm_20_71	complete	20	28	0.6706831874502672
comm_20_72	complete	20	26	0.6775036944412869
comm_20_73	complete	20	28	0.6618507051943584
comm_20_74	complete	20	28	0.6354066985645933
comm_20_75	complete	20	27	0.6593156757985678
comm_20_76	complete	20	28	0.6681127982646421
comm_20_77	complete	20	28	0.6433240997229916
comm_20_78	complete	20	26	0.6643733516798532
comm_20_79	complete	20	28	0.6657371906587661
comm_20_8	complete	20	28	0.6544525871641128
comm_20_80	complete	20	30	n/a
comm_20_81	complete	20	25	0.6488122962272939
comm_20_82	complete	20	28	0.651795050540258
comm_20_83	complete	20	28	0.6433719152653418
comm_20_84	complete	20	28	0.6636058230683091
comm_20_85	complete	20	28	0.6543009506144215
comm_20_86	complete	20	26	0.6704805491990846
comm_20_87	complete	20	28	0.6682719871574361
comm_20_88	complete	20	29	0.6592076721086881
comm_20_89	complete	20	28	0.6672690309464648
comm_20_9	complete	20	29	0.6478970351643301
comm_20_90	complete	20	27	0.6771474139895192
comm_20_91	complete	20	27	0.6616223433848893
comm_20_92	complete	20	29	0.6728993536472762
comm_20_93	complete	20	26	0.6688995215311005
comm_20_94	complete	20	30	0.651343548745281
comm_20_95	complete	20	26	0.6574370709382151
comm_20_96	complete	20	28	0.6549965221423604
comm_20_97	complete	20	27	0.6566306596184786
comm_20_98	complete	20	25	0.6571834992887625
comm_20_99	complete	20	27	0.6581196581196582
