community	medium	size	mip	mro
comm_20_0	complete	20	20	0.6721841458683564
comm_20_1	complete	20	20	0.6802213357354266
comm_20_10	complete	20	20	0.6729688298415942
comm_20_11	complete	20	23	0.668046036467089
comm_20_12	complete	20	20	0.6658150229943791
comm_20_13	complete	20	21	0.670346598202824
comm_20_14	complete	20	23	0.6867042919018244
comm_20_15	complete	20	23	0.6589369463262116
comm_20_16	complete	20	24	0.681691634628132
comm_20_17	complete	20	24	0.6822318955282944
comm_20_18	complete	20	22	0.6706916918230739
comm_20_19	complete	20	23	0.6794498809838667
comm_20_2	complete	20	19	0.6803405572755418
comm_20_20	complete	20	24	0.6770275564842628
comm_20_21	complete	20	24	0.6806161745827984
comm_20_22	complete	20	24	0.6695256660168941
comm_20_23	complete	20	24	0.6652010862537178
comm_20_24	complete	20	26	0.6741486068111456
comm_20_25	complete	20	23	0.6744639376218323
comm_20_26	complete	20	24	0.6682146542827658
comm_20_27	complete	20	24	0.6719086873811034
comm_20_28	complete	20	24	0.6701840175009652
comm_20_29	complete	20	22	0.6413828689370485
comm_20_3	complete	20	19	0.6722429545747008
comm_20_30	complete	20	22	0.6492079713847726
comm_20_31	complete	20	23	0.6499870365569095
comm_20_32	complete	20	23	0.648738634908439
comm_20_33	complete	20	22	0.653250773993808
comm_20_34	complete	20	24	0.6761819803746655
comm_20_35	complete	20	23	0.6351385710653445
comm_20_36	complete	20	22	0.6521683181057779
comm_20_37	complete	20	23	0.6737897375016489
comm_20_38	complete	20	23	0.6757215619694398
comm_20_39	complete	20	24	0.6659718603439292
comm_20_4	complete	20	21	0.6759545923632612
comm_20_40	complete	20	23	0.6652838994036816
comm_20_41	complete	20	23	0.6753953850142598
comm_20_42	complete	20	24	0.651396216703127
comm_20_43	complete	20	25	0.6665796003656784
comm_20_44	complete	20	25	0.6671019981716078
comm_20_45	complete	20	23	0.6695470018329405
comm_20_46	complete	20	25	0.657304108150676
comm_20_47	complete	20	25	0.6811613416412567
comm_20_48	complete	20	27	0.6729982851866508
comm_20_49	complete	20	23	0.6436752026766183
comm_20_5	complete	20	20	0.6694635138571066
comm_20_50	complete	20	25	0.6803851734599657
comm_20_51	complete	20	23	0.6555140908505984
comm_20_52	complete	20	23	0.6788823911630929
comm_20_53	complete	20	24	0.6554905782975958
comm_20_54	complete	20	26	0.6573684210526316
comm_20_55	complete	20	24	0.6544846223137305
comm_20_56	complete	20	24	0.6561316442470942
comm_20_57	complete	20	24	0.6765051586783336
comm_20_58	complete	20	25	0.6768031189083821
comm_20_59	complete	20	23	0.6481721545242416
comm_20_6	complete	20	22	0.678622482131254
comm_20_60	complete	20	25	0.6621726730619653
comm_20_61	complete	20	23	0.6646177487514405
comm_20_62	complete	20	26	0.6707348080345792
comm_20_63	complete	20	26	0.6743173723783142
comm_20_64	complete	20	25	0.6477732793522267
comm_20_65	complete	20	23	0.6533040217250743
comm_20_66	complete	20	23	0.664264573413975
comm_20_67	complete	20	24	0.6494245441613863
comm_20_68	complete	20	23	0.6365417265247486
comm_20_69	complete	20	25	0.6681578947368421
comm_20_7	complete	20	23	0.6503209242618742
comm_20_70	complete	20	19	0.6700898587933247
comm_20_71	complete	20	23	0.6313234542667348
comm_20_72	complete	20	22	0.6609907120743035
comm_20_73	complete	20	25	0.6712166951043443
comm_20_74	complete	20	23	0.6568627450980393
comm_20_75	complete	20	23	0.6480504439583066
comm_20_76	complete	20	23	0.6512833808659579
comm_20_77	complete	20	26	0.6409865242817189
comm_20_78	complete	20	24	0.6598893321322867
comm_20_79	complete	20	23	0.6847342236187484
comm_20_8	complete	20	23	0.6763550667714061
comm_20_80	complete	20	22	0.6704975839101476
comm_20_81	complete	20	23	0.6637064124330678
comm_20_82	complete	20	24	0.662431941923775
comm_20_83	complete	20	22	0.6672837873578419
comm_20_84	complete	20	22	0.6774695359087374
comm_20_85	complete	20	24	0.6721463608643775
comm_20_86	complete	20	21	0.6653860929696503
comm_20_87	complete	20	20	0.664327485380117
comm_20_88	complete	20	21	0.6678677132930124
comm_20_89	complete	20	24	0.6707894736842105
comm_20_9	complete	20	22	0.6743095362167796
comm_20_90	complete	20	24	0.677549954290192
comm_20_91	complete	20	22	0.6723259762308998
comm_20_92	complete	20	24	0.6677063027940221
comm_20_93	complete	20	20	0.6713106295149639
comm_20_94	complete	20	24	0.6718421052631579
comm_20_95	complete	20	24	0.6605002605523711
comm_20_96	complete	20	24	0.6476718111067141
comm_20_97	complete	20	21	0.666497975708502
comm_20_98	complete	20	20	0.6667522464698331
comm_20_99	complete	20	21	0.6629777377428903
