community	medium	size	mip	mro
comm_20_0	complete	20	29	0.6396944742809404
comm_20_1	complete	20	25	0.6288269693842449
comm_20_10	complete	20	26	0.625651967757231
comm_20_11	complete	20	26	0.6377041742286751
comm_20_12	complete	20	28	0.6273326628673594
comm_20_13	complete	20	26	0.6384142173615857
comm_20_14	complete	20	26	0.6263038005035367
comm_20_15	complete	20	26	0.6330046334798621
comm_20_16	complete	20	26	0.6265664160401002
comm_20_17	complete	20	26	0.6377849385368182
comm_20_18	complete	20	26	0.6340744101633394
comm_20_19	complete	20	27	0.6366132723112128
comm_20_2	complete	20	28	0.6410621147463252
comm_20_20	complete	20	29	0.6119013750592698
comm_20_21	complete	20	26	0.6367411064975872
comm_20_22	complete	20	27	0.6511347175277643
comm_20_23	complete	20	28	0.6370353529612368
comm_20_24	complete	20	26	0.6247344819447722
comm_20_25	complete	20	27	0.6424432641236117
comm_20_26	complete	20	26	0.6404074702886248
comm_20_27	complete	20	26	0.6424600827912478
comm_20_28	complete	20	28	0.6284759517842224
comm_20_29	complete	20	27	0.6401524172422005
comm_20_3	complete	20	28	0.6452775775054074
comm_20_30	complete	20	25	0.6210066651344519
comm_20_31	complete	20	28	0.6303800503536746
comm_20_32	complete	20	26	0.6380002293314987
comm_20_33	complete	20	28	0.6249857906104354
comm_20_34	complete	20	26	0.6377979960843027
comm_20_35	complete	20	26	0.6341071018156745
comm_20_36	complete	20	27	0.625531914893617
comm_20_37	complete	20	27	0.6238656987295825
comm_20_38	complete	20	26	0.6405677114133649
comm_20_39	complete	20	27	0.6239479295253059
comm_20_4	complete	20	29	0.6339604667778042
comm_20_40	complete	20	26	0.6457582311944244
comm_20_41	complete	20	27	0.6308924485125857
comm_20_42	complete	20	28	0.6200339558573854
comm_20_43	complete	20	26	0.6361244019138756
comm_20_44	complete	20	26	0.6440474763217839
comm_20_45	complete	20	26	0.6404456064567466
comm_20_46	complete	20	26	0.6463061323032351
comm_20_47	complete	20	27	0.6437340464324784
comm_20_48	complete	20	27	0.6392344497607655
comm_20_49	complete	20	26	0.6318082788671024
comm_20_5	complete	20	27	0.6304567388620805
comm_20_50	complete	20	27	0.6318102949681896
comm_20_51	complete	20	27	0.6450680476936047
comm_20_52	complete	20	27	0.6226203807390818
comm_20_53	complete	20	28	0.6341868183973448
comm_20_54	complete	20	26	0.6492421530015515
comm_20_55	complete	20	27	0.6204281891168599
comm_20_56	complete	20	26	0.6388052511140551
comm_20_57	complete	20	26	0.642772088592522
comm_20_58	complete	20	27	0.6299840510366825
comm_20_59	complete	20	29	0.6337320574162679
comm_20_6	complete	20	26	0.6370195150798345
comm_20_60	complete	20	28	0.6377016366419405
comm_20_61	complete	20	27	0.6379862700228833
comm_20_62	complete	20	26	0.6344827586206897
comm_20_63	complete	20	25	0.6444544838491078
comm_20_64	complete	20	27	0.6483305036785513
comm_20_65	complete	20	27	0.6336295283663704
comm_20_66	complete	20	26	0.6288027761711973
comm_20_67	complete	20	26	0.6571834992887625
comm_20_68	complete	20	27	0.6377041742286751
comm_20_69	complete	20	26	0.6438918396909705
comm_20_7	complete	20	27	0.6341520467836257
comm_20_70	complete	20	26	0.6311212814645308
comm_20_71	complete	20	26	0.6318154937906564
comm_20_72	complete	20	27	0.6370590250028542
comm_20_73	complete	20	26	0.627262918115334
comm_20_74	complete	20	29	0.6334884831125432
comm_20_75	complete	20	26	0.632934266997967
comm_20_76	complete	20	27	0.6270417422867514
comm_20_77	complete	20	26	0.6384853536556322
comm_20_78	complete	20	26	0.6405228758169934
comm_20_79	complete	20	26	0.6502392344497608
comm_20_8	complete	20	27	0.6221967963386728
comm_20_80	complete	20	27	0.6375286041189931
comm_20_81	complete	20	27	0.6251012145748988
comm_20_82	complete	20	26	0.652971921721162
comm_20_83	complete	20	27	0.625506072874494
comm_20_84	complete	20	26	0.6392170903449099
comm_20_85	complete	20	26	0.6159317211948792
comm_20_86	complete	20	26	0.6403885249604698
comm_20_87	complete	20	26	0.6363636363636362
comm_20_88	complete	20	26	0.62313049434867
comm_20_89	complete	20	26	0.6219470244238047
comm_20_9	complete	20	30	0.6325380649802181
comm_20_90	complete	20	25	0.62837528604119
comm_20_91	complete	20	27	0.6199095022624433
comm_20_92	complete	20	28	0.6256421965977851
comm_20_93	complete	20	29	0.6360532202990699
comm_20_94	complete	20	28	0.6301303718010622
comm_20_95	complete	20	26	0.6509322633939107
comm_20_96	complete	20	27	0.6290726817042607
comm_20_97	complete	20	27	0.6404647983595351
comm_20_98	complete	20	25	0.6299736268776517
comm_20_99	complete	20	28	0.6270514997170346
