community	medium	size	mip	mro
comm_20_0	complete	20	24	0.6617911521400313
comm_20_1	complete	20	29	0.6455240665766981
comm_20_10	complete	20	30	0.6419213973799127
comm_20_11	complete	20	30	0.6496940024479804
comm_20_12	complete	20	31	0.6304145319049836
comm_20_13	complete	20	28	0.6370073164975218
comm_20_14	complete	20	31	0.6588866845606255
comm_20_15	complete	20	25	0.6405274932297186
comm_20_16	complete	20	30	0.6517357222844345
comm_20_17	complete	20	27	0.6442789107339113
comm_20_18	complete	20	26	0.6429331756357185
comm_20_19	complete	20	29	0.6676371780515118
comm_20_2	complete	20	26	0.6648693001992733
comm_20_20	complete	20	30	0.6519298245614036
comm_20_21	complete	20	26	0.6476780185758514
comm_20_22	complete	20	30	0.6464146944542564
comm_20_23	complete	20	28	0.6417963645004159
comm_20_24	complete	20	26	0.6472863673660767
comm_20_25	complete	20	31	0.6474149976711691
comm_20_26	complete	20	31	0.6241117668312658
comm_20_27	complete	20	26	0.6424046988368075
comm_20_28	complete	20	28	0.646919990559358
comm_20_29	complete	20	30	0.6515717210646753
comm_20_3	complete	20	26	0.6516929265839758
comm_20_30	complete	20	28	0.6609107037256062
comm_20_31	complete	20	30	0.6432499158343621
comm_20_32	complete	20	28	0.6416267942583732
comm_20_33	complete	20	26	0.6442386590083226
comm_20_34	complete	20	27	0.6398891966759003
comm_20_35	complete	20	26	0.6527235118363595
comm_20_36	complete	20	25	0.6483253588516746
comm_20_37	complete	20	28	0.6493963193060603
comm_20_38	complete	20	27	0.6380566801619433
comm_20_39	complete	20	25	0.6455519329296693
comm_20_4	complete	20	24	0.6615513727370819
comm_20_40	complete	20	30	0.6604339796860572
comm_20_41	complete	20	25	0.6493173065701948
comm_20_42	complete	20	28	0.6472231534249636
comm_20_43	complete	20	33	0.6659831396673501
comm_20_44	complete	20	30	0.6327643432906591
comm_20_45	complete	20	28	0.6161688003793268
comm_20_46	complete	20	28	0.6560150375939849
comm_20_47	complete	20	28	0.6517857142857143
comm_20_48	complete	20	26	0.6427674392053887
comm_20_49	complete	20	30	0.6460176991150441
comm_20_5	complete	20	28	0.6563467492260062
comm_20_50	complete	20	30	0.6532924238848242
comm_20_51	complete	20	28	0.639496972519795
comm_20_52	complete	20	28	0.6379371246909219
comm_20_53	complete	20	29	0.6547368421052632
comm_20_54	complete	20	33	0.6440759432828647
comm_20_55	complete	20	25	0.6358082706766918
comm_20_56	complete	20	28	0.6655425749729014
comm_20_57	complete	20	30	0.6443592424770536
comm_20_58	complete	20	29	0.6493963193060603
comm_20_59	complete	20	34	0.6517761672805038
comm_20_6	complete	20	27	0.6528654970760234
comm_20_60	complete	20	27	0.6638944992277535
comm_20_61	complete	20	24	0.6391634107101816
comm_20_62	complete	20	29	0.6588604538870111
comm_20_63	complete	20	26	0.6327132486388385
comm_20_64	complete	20	30	0.6511244554338866
comm_20_65	complete	20	29	0.6504490167102421
comm_20_66	complete	20	25	0.6619935844124986
comm_20_67	complete	20	27	0.6294595549275874
comm_20_68	complete	20	32	0.6480908152734778
comm_20_69	complete	20	29	0.6494201605709188
comm_20_7	complete	20	24	0.6407923528734308
comm_20_70	complete	20	26	0.6409731422377454
comm_20_71	complete	20	29	0.6618190212373037
comm_20_72	complete	20	31	0.6339822158135063
comm_20_73	complete	20	30	0.6381432422928145
comm_20_74	complete	20	30	0.6555659059152306
comm_20_75	complete	20	26	0.6716221076609519
comm_20_76	complete	20	27	0.6537158346510051
comm_20_77	complete	20	30	0.6447368421052633
comm_20_78	complete	20	28	0.6565406805604616
comm_20_79	complete	20	32	0.6647216711401563
comm_20_8	complete	20	27	0.6810428849902534
comm_20_80	complete	20	27	0.6430361618331543
comm_20_81	complete	20	25	0.647051928261634
comm_20_82	complete	20	25	0.6525848990547322
comm_20_83	complete	20	28	0.6676550531257721
comm_20_84	complete	20	26	0.6668202234250834
comm_20_85	complete	20	30	0.6445890005913661
comm_20_86	complete	20	29	0.6467836257309941
comm_20_87	complete	20	24	0.6642387218045113
comm_20_88	complete	20	28	0.6448512585812357
comm_20_89	complete	20	32	0.6562929061784897
comm_20_9	complete	20	26	0.6532924238848242
comm_20_90	complete	20	26	0.6651121474572508
comm_20_91	complete	20	29	0.6389449922775335
comm_20_92	complete	20	26	0.6356624319419237
comm_20_93	complete	20	27	0.6522943514392389
comm_20_94	complete	20	27	0.6455539276456667
comm_20_95	complete	20	29	0.638675340035482
comm_20_96	complete	20	30	0.6250146524440278
comm_20_97	complete	20	26	0.649864096861873
comm_20_98	complete	20	29	0.6468239564428313
comm_20_99	complete	20	28	0.641773352299668
