#SampleID	swab_id	orig_sample_name	avg_percent_humidity	total_precipitation_in	total_precipitation_cm	weather_station	description	processing_control	control	gDNA_concentration	shotgon_library_concentration	16S_seqs	reads_used	below_threshold	extraction_plate	days_since_placement	season	geo_loc_name	soil_max_temp_c	soil_mean_temp_c	soil_min_temp_c	swab_barcode1	swab_barcode2	temp_c_max	temp_c_min	temp_c_average	time_since_death_to_cooling	tot_mass	soil_add_0c	soil_add_4c	soil_add_5c	soil_add_6c	soil_control	soil_temp_average	soil_temp_max	soil_temp_min	weight	maggot_notes	maggots	megyesi_score	megyesi_stage	notes	placement_head_direction	qiita_study_id	sample_collection_date	sample_type	sample_type_soil_control	scavenging_activity	scavenging_notes	scientific_name	sex	host_scientific_name	host_subject_id	validation_set	Testing	host_taxa_id	humidity_max	humidity_min	initial_body_condition	latitude	longitude	donor_storage	donor_storage_days	env_type	height	host_common_name	body_site	cause_of_death	country	date_of_death	days_of_decomposition	add_0c	add_0c_group	facility	add_facility	old_add_0c	old_add_4c	old_add_5c	age	ahd_humidity	ambient_max_temp_c	ambient_min_temp_c	ambient_temp_avg	approximate_age	autopsy	qiita_study	reextracted	hiseq_or_novaseq_better	shotgun_barcode_used
#q2:types	categorical	categorical	numeric	numeric	numeric	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	categorical	categorical	numeric	categorical	categorical	numeric	numeric	numeric	categorical	categorical	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	numeric	numeric	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical	categorical	categorical	categorical
65252_S1635_L003	65252	soil.hip.SHSU.2017.045.2017.12.25.day14	67.6	0	0	Easterwood Airport Station	soil.hip	n	n	2.959	8.553	25119	2855463	n	51	13	winter	USA:Texas:Huntsville				65252	65253	11.66666667	-1.111111111	5.277777778		180					n					y	y	12	active		north_west	11489	12/25/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	14	154.4	active	STAFS	activeSTAFS	151.3888889	87.88888889	74.72222222	60	65				60	n	11489	n	novaseq	65252
65234_S1645_L003	65234	soil.hip.SHSU.2017.045.2017.12.26.day15	93.4	0.02	0.0508	Easterwood Airport Station	soil.hip	n	n	0.036	8.648	20327	860869	n	51	14	winter	USA:Texas:Huntsville				65234	65235	8.888888889	5	6.944444444		180					n					y	y	12	active		north_west	11489	12/26/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	15	161.6	active	STAFS	activeSTAFS	158.3333333	87.88888889	74.72222222	60	93					n	11489	n	novaseq	65234
65233_S2136_L003	65233	soil.hip.SHSU.2017.045.2017.12.24.day13	73.7	0	0	Easterwood Airport Station	soil.hip	n	n	0	2.411	31619	982406	n	50	12	winter	USA:Texas:Huntsville				65232	65233	15.55555556	2.777777778	9.166666667		180					n					y	y	12	active		north_west	11489	12/24/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	13	149.05	active	STAFS	activeSTAFS	146.1111111	87.88888889	74.72222222	60	76					n	11489	y	novaseq	65233
65218_S1696_L003	65218	soil.hip.SHSU.2017.045.2017.12.23.day12	71.6	0.09	0.2286	Easterwood Airport Station	soil.hip	n	n	0.022	5.346	26333	705616	n	49	11	winter	USA:Texas:Huntsville				65218	65219	12.22222222	2.777777778	7.5		180					n					y	y	11	active		north_west	11489	12/23/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	12	139.9	active	STAFS	activeSTAFS	136.9444444	82.72222222	74.72222222	60	73					n	11489	n	novaseq	65218
65216_S1643_L003	65216	soil.hip.SHSU.2017.045.2017.12.21.day10	84.8	0	0	Easterwood Airport Station	soil.hip	n	n	0.087	29.067	19816	1242386	n	51	9	winter	USA:Texas:Huntsville				65216	65217	23.88888889	11.11111111	17.5		180					n					n	n	8	active		north_west	11489	12/21/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	10	117.15	active	STAFS	activeSTAFS	115	72.27777778	65.27777778	60	78					n	11489	n	novaseq	65216
65198_S1689_L003	65198	soil.hip.SHSU.2017.045.2017.12.22.day11	94	0.01	0.0254	Easterwood Airport Station	soil.hip	n	n	0.014	10.827	18737	1051759	n	49	10	winter	USA:Texas:Huntsville				65198	65199	25	3.888888889	14.44444444		180					n					y	y	11	active		north_west	11489	12/22/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	11	132.15	active	STAFS	activeSTAFS	129.4444444	82.72222222	74.72222222	60	87				60	n	11489	n	novaseq	65198
65196_S1664_L003	65196	soil.hip.SHSU.2017.045.2017.12.20.day9	77.9	0.44	1.1176	Easterwood Airport Station	soil.hip	n	n	0.046	9.737	20623	804530	n	50	8	winter	USA:Texas:Huntsville				65196	65197	22.77777778	11.11111111	16.94444444		180					n					n	n	8	active		north_west	11489	12/20/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	9	99.65	active	STAFS	activeSTAFS	97.5	58.77777778	52.77777778	60	83					n	11489	n	novaseq	65196
65182_S1653_L003	65182	soil.hip.SHSU.2017.045.2017.12.19.day8	94.2	0.26	0.6604	Easterwood Airport Station	soil.hip	n	n	0.011	3.712	25460	1160977	n	50	7	winter	USA:Texas:Huntsville				65182	65183	23.88888889	16.66666667	20.27777778		180					n					n	n	7	active		north_west	11489	12/19/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	8	82.45	active	STAFS	activeSTAFS	80.55555556	45.83333333	40.83333333	60	92					n	11489	n	novaseq	65182
65180_S1705_L003	65180	soil.hip.SHSU.2017.045.2017.12.17.day6	98	1.06	2.6924	Easterwood Airport Station	soil.hip	n	n	0.028	10.754	19769	679700	n	49	5	winter	USA:Texas:Huntsville				65180	65181	13.88888889	6.666666667	10.27777778		180					n					n	n	4	early		north_west	11489	12/17/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	6	47.45	early	STAFS	earlySTAFS	46.38888889	19.66666667	16.66666667	60	94					n	11489	n	novaseq	65180
65162_S1639_L003	65162	soil.hip.SHSU.2017.045.2017.12.18.day7	96	0	0	Easterwood Airport Station	soil.hip	n	n	0.011	3.553	17080	1227085	n	51	6	winter	USA:Texas:Huntsville				65162	65163	17.77777778	10	13.88888889		180					n					n	n	6	early		north_west	11489	12/18/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	7	61.6	active	STAFS	activeSTAFS	60.27777778	29.55555556	25.55555556	60	94					n	11489	n	novaseq	65162
