community	medium	size	mip	mro
Loop1	complete	20	31	0.646044286191165
Loop10	complete	20	29	0.6467761761090625
Loop100	complete	20	24	0.6581255771006463
Loop11	complete	20	27	0.6649082843783719
Loop12	complete	20	29	0.657552973342447
Loop13	complete	20	26	0.6329002422373927
Loop14	complete	20	27	0.6524460932065848
Loop15	complete	20	30	0.645821742516969
Loop16	complete	20	29	0.6612039079735267
Loop17	complete	20	28	0.6369604994080293
Loop18	complete	20	27	0.6438341175183281
Loop19	complete	20	28	0.6692851531814611
Loop2	complete	20	28	0.6455539276456667
Loop20	complete	20	33	0.6585263157894736
Loop21	complete	20	29	0.6436699857752489
Loop22	complete	20	26	0.6542784021364193
Loop23	complete	20	27	0.6297117516629711
Loop24	complete	20	31	0.6276560967636483
Loop25	complete	20	28	0.6184795321637426
Loop26	complete	20	26	0.6561106155218555
Loop27	complete	20	29	0.6351931330472103
Loop28	complete	20	30	0.6202755210173083
Loop29	complete	20	31	0.616477903619809
Loop3	complete	20	26	0.6270221007063113
Loop30	complete	20	32	0.6392590919358482
Loop31	complete	20	30	0.641553480475382
Loop32	complete	20	27	0.6450742240215924
Loop33	complete	20	30	0.6216399367517507
Loop34	complete	20	30	0.6271186440677966
Loop35	complete	20	31	0.6456433358971542
Loop36	complete	20	30	0.6375123612789804
Loop37	complete	20	29	0.6142659279778393
Loop38	complete	20	30	0.6296052631578947
Loop39	complete	20	29	0.6674084789139869
Loop4	complete	20	28	0.6677780423910454
Loop40	complete	20	29	0.6384056375247743
Loop41	complete	20	27	0.6506564919762092
Loop42	complete	20	30	0.6438188494492044
Loop43	complete	20	27	0.6405284466226294
Loop44	complete	20	28	0.639270409845072
Loop45	complete	20	33	0.6474934636808003
Loop46	complete	20	30	0.6153489450498493
Loop47	complete	20	29	0.6525060165323847
Loop48	complete	20	30	0.6440319548872181
Loop49	complete	20	25	0.6194243779383098
Loop5	complete	20	27	0.6781332416007338
Loop50	complete	20	27	0.6504083484573503
Loop51	complete	20	30	0.6580012784998935
Loop52	complete	20	29	0.6370386547281065
Loop53	complete	20	28	0.6568954030646237
Loop54	complete	20	31	0.6322745188963599
Loop55	complete	20	26	0.6331400535236396
Loop56	complete	20	30	0.6489795918367347
Loop57	complete	20	29	0.6313475997686524
Loop58	complete	20	29	0.6553259504509646
Loop59	complete	20	28	0.6532963988919668
Loop6	complete	20	27	0.6585972117151194
Loop60	complete	20	31	0.6539884868421053
Loop61	complete	20	27	0.6416788239254854
Loop62	complete	20	26	n/a
Loop63	complete	20	31	0.6307017543859649
Loop64	complete	20	27	0.6501679731243001
Loop65	complete	20	32	0.6568846358320042
Loop66	complete	20	29	0.631578947368421
Loop67	complete	20	29	0.6501423900432444
Loop68	complete	20	28	0.6498458728165316
Loop69	complete	20	27	0.6676086188625927
Loop7	complete	20	26	0.637487690119269
Loop70	complete	20	29	0.6377708978328174
Loop71	complete	20	28	0.657097288676236
Loop72	complete	20	30	0.6545294052741917
Loop73	complete	20	31	0.6650312221231043
Loop74	complete	20	28	0.6457793305533641
Loop75	complete	20	30	0.6403508771929824
Loop76	complete	20	24	0.6487199208878146
Loop77	complete	20	27	0.6383176484257
Loop78	complete	20	30	0.6602472918262392
Loop79	complete	20	29	0.630677335737631
Loop8	complete	20	29	0.644565960355434
Loop80	complete	20	25	0.6362469366320458
Loop81	complete	20	27	0.626545573913995
Loop82	complete	20	28	0.6331807780320365
Loop83	complete	20	29	0.6395362055246108
Loop84	complete	20	26	0.6445099818511797
Loop85	complete	20	30	0.6327331486611264
Loop86	complete	20	29	0.625
Loop87	complete	20	28	0.634324942791762
Loop88	complete	20	33	0.643396432870117
Loop89	complete	20	32	0.6384588923288613
Loop9	complete	20	27	0.647391009713124
Loop90	complete	20	30	0.6474591651542649
Loop91	complete	20	27	0.6628791939114589
Loop92	complete	20	30	0.6656079854809438
Loop93	complete	20	27	0.6591200840238067
Loop94	complete	20	30	0.6513157894736842
Loop95	complete	20	24	0.6509082440614812
Loop96	complete	20	30	0.6401894306317942
Loop97	complete	20	30	0.6755631472189602
Loop98	complete	20	27	0.6456140350877193
Loop99	complete	20	27	0.6325468844525106
