community	medium	size	mip	mro
Loop1	complete	20	28	0.6522318454363758
Loop10	complete	20	31	0.6428070175438596
Loop100	complete	20	30	0.6478427829229726
Loop11	complete	20	29	0.6153499380142003
Loop12	complete	20	27	0.6320278307709573
Loop13	complete	20	28	0.6412920713801672
Loop14	complete	20	28	0.6369655481988554
Loop15	complete	20	32	0.6364912280701754
Loop16	complete	20	27	0.6475083414056614
Loop17	complete	20	31	0.6297362662674191
Loop18	complete	20	29	0.6331601536028914
Loop19	complete	20	28	0.6498661909009812
Loop2	complete	20	29	0.6335202761000863
Loop20	complete	20	26	0.6484673221515327
Loop21	complete	20	30	0.6451828724353256
Loop22	complete	20	29	0.6436655312603011
Loop23	complete	20	28	0.6664358264081255
Loop24	complete	20	25	0.668640350877193
Loop25	complete	20	31	n/a
Loop26	complete	20	29	0.6128761539383767
Loop27	complete	20	28	0.656770130454341
Loop28	complete	20	31	0.6423391812865498
Loop29	complete	20	32	0.6186440677966101
Loop3	complete	20	28	0.6371069906714268
Loop30	complete	20	31	0.6508370718897034
Loop31	complete	20	31	0.6248313090418354
Loop32	complete	20	29	0.6491594330293374
Loop33	complete	20	28	0.6380424746075716
Loop34	complete	20	32	0.6342438374417055
Loop35	complete	20	32	0.6471241394625805
Loop36	complete	20	25	0.6540603004517281
Loop37	complete	20	32	0.6618030224075039
Loop38	complete	20	27	0.6593142607556235
Loop39	complete	20	30	0.6412094064949608
Loop4	complete	20	31	0.614108801415303
Loop40	complete	20	26	0.6457442911222371
Loop41	complete	20	26	0.6403316825981803
Loop42	complete	20	31	0.645670972563254
Loop43	complete	20	30	0.652309109754693
Loop44	complete	20	31	0.6268911144257405
Loop45	complete	20	28	0.6474720718645629
Loop46	complete	20	32	0.6519114688128772
Loop47	complete	20	31	0.660831509846827
Loop48	complete	20	31	0.6402604449267499
Loop49	complete	20	28	0.6440027106392591
Loop5	complete	20	30	0.6351674641148325
Loop50	complete	20	28	0.6458519179304192
Loop51	complete	20	31	0.6459720730397422
Loop52	complete	20	30	0.663264221158958
Loop53	complete	20	30	0.6461410443103807
Loop54	complete	20	26	0.6490110626885686
Loop55	complete	20	32	0.6470324748040314
Loop56	complete	20	24	0.6457023060796645
Loop57	complete	20	29	0.6585933861201676
Loop58	complete	20	29	0.6507177033492824
Loop59	complete	20	31	0.6418431972046298
Loop6	complete	20	31	0.650624616014745
Loop60	complete	20	28	0.6449283291388554
Loop61	complete	20	32	0.6413609782030835
Loop62	complete	20	29	0.6283300844704354
Loop63	complete	20	26	0.6555942094041073
Loop64	complete	20	31	0.6427297056199821
Loop65	complete	20	30	0.6229362880886427
Loop66	complete	20	27	0.6440132918855183
Loop67	complete	20	26	0.6593629997741134
Loop68	complete	20	28	0.6456587328193094
Loop69	complete	20	30	0.6081140350877193
Loop7	complete	20	30	0.6617528503973281
Loop70	complete	20	26	0.6651505306476067
Loop71	complete	20	29	0.6737292911078553
Loop72	complete	20	33	0.6531546256946715
Loop73	complete	20	29	0.6343429690199239
Loop74	complete	20	30	0.6432003575818527
Loop75	complete	20	28	0.6780370409124203
Loop76	complete	20	24	0.668782142466353
Loop77	complete	20	26	0.659095872461236
Loop78	complete	20	32	0.6367855121675156
Loop79	complete	20	25	0.6466481994459834
Loop8	complete	20	30	0.6254513622934675
Loop80	complete	20	29	0.6456304696166646
Loop81	complete	20	32	0.6442473799378095
Loop82	complete	20	26	0.642238507661559
Loop83	complete	20	31	0.64279176201373
Loop84	complete	20	31	0.6545776205218929
Loop85	complete	20	29	0.646364338519254
Loop86	complete	20	29	0.6792896876337183
Loop87	complete	20	30	0.6470401355501428
Loop88	complete	20	30	0.6565644881434355
Loop89	complete	20	29	0.628275710195992
Loop9	complete	20	29	0.6613179289687633
Loop90	complete	20	26	0.632500287918922
Loop91	complete	20	28	0.6414124483182478
Loop92	complete	20	28	0.6426108940473455
Loop93	complete	20	30	0.6483948460362524
Loop94	complete	20	28	0.6625919637804188
Loop95	complete	20	30	0.6492331457574755
Loop96	complete	20	32	0.6466809421841542
Loop97	complete	20	30	0.6445175438596491
Loop98	complete	20	27	0.6537644559830068
Loop99	complete	20	29	0.6518299757409556
