community	medium	size	mip	mro
Loop1	complete	20	30	0.6642082914292099
Loop10	complete	20	30	0.6283433994823123
Loop100	complete	20	30	0.6399813280429455
Loop11	complete	20	26	0.6645184389545291
Loop12	complete	20	30	0.5825421697852337
Loop13	complete	20	28	0.6363740152985501
Loop14	complete	20	29	0.6290726817042607
Loop15	complete	20	30	0.6484298063245432
Loop16	complete	20	25	0.6260387811634349
Loop17	complete	20	28	0.6387264457439895
Loop18	complete	20	30	0.654946939650552
Loop19	complete	20	28	n/a
Loop2	complete	20	28	0.6368845500848896
Loop20	complete	20	28	0.6374269005847953
Loop21	complete	20	29	0.6708771929824562
Loop22	complete	20	27	0.6768442404184906
Loop23	complete	20	31	0.6266829865361078
Loop24	complete	20	29	0.6725608487622218
Loop25	complete	20	28	0.6569723277265328
Loop26	complete	20	29	0.6484758534079232
Loop27	complete	20	28	0.6692657569850552
Loop28	complete	20	30	0.6228974498100922
Loop29	complete	20	28	0.6542138226568509
Loop3	complete	20	30	0.6432250839865622
Loop30	complete	20	26	0.6476513865308432
Loop31	complete	20	29	0.6476251604621308
Loop32	complete	20	28	0.6428099537546796
Loop33	complete	20	27	0.6435709526982013
Loop34	complete	20	29	0.6264752791068581
Loop35	complete	20	26	0.6388680458784436
Loop36	complete	20	30	0.6670182470203565
Loop37	complete	20	28	0.6429878376923905
Loop38	complete	20	26	0.6339391078593344
Loop39	complete	20	31	0.6667344035765088
Loop4	complete	20	27	0.633823364381102
Loop40	complete	20	29	0.664
Loop41	complete	20	32	0.6417514374170721
Loop42	complete	20	27	0.6547113752122241
Loop43	complete	20	29	0.6422799737934046
Loop44	complete	20	29	0.6240293356341674
Loop45	complete	20	31	0.6437246963562753
Loop46	complete	20	30	0.6554530656538253
Loop47	complete	20	30	0.6235697940503433
Loop48	complete	20	28	0.6618819776714513
Loop49	complete	20	29	0.6484480431848854
Loop5	complete	20	29	0.6644868684737897
Loop50	complete	20	26	0.6317991631799164
Loop51	complete	20	29	0.6260035682426405
Loop52	complete	20	28	0.6494823123382226
Loop53	complete	20	29	0.6407424812030076
Loop54	complete	20	26	0.6504133096159883
Loop55	complete	20	28	0.6706388613042039
Loop56	complete	20	30	0.6528847168020252
Loop57	complete	20	28	0.6421975992613111
Loop58	complete	20	29	0.6638477801268499
Loop59	complete	20	30	0.6311421707796462
Loop6	complete	20	29	0.6570347437220503
Loop60	complete	20	28	0.6613051002748651
Loop61	complete	20	29	0.6380327139201069
Loop62	complete	20	28	0.6472075384968973
Loop63	complete	20	27	0.6600592390066073
Loop64	complete	20	30	0.6365166647963192
Loop65	complete	20	28	0.6513584176423781
Loop66	complete	20	29	0.676358234295416
Loop67	complete	20	25	0.6585526315789474
Loop68	complete	20	29	0.664819944598338
Loop69	complete	20	29	0.6475544370281212
Loop7	complete	20	29	0.6456280142587545
Loop70	complete	20	28	0.6500207210940738
Loop71	complete	20	29	0.6532359607151851
Loop72	complete	20	30	0.6831185848438524
Loop73	complete	20	28	0.6409204830257461
Loop74	complete	20	33	0.6397990638200707
Loop75	complete	20	29	0.6573003350264779
Loop76	complete	20	26	0.6559691912708601
Loop77	complete	20	26	0.6429286747524202
Loop78	complete	20	30	0.6335903452899765
Loop79	complete	20	28	0.6590290381125227
Loop8	complete	20	28	0.6240759130530729
Loop80	complete	20	26	0.654320987654321
Loop81	complete	20	26	0.6358579375267437
Loop82	complete	20	30	0.643621766280107
Loop83	complete	20	28	0.6664311786176851
Loop84	complete	20	27	0.6385241454150842
Loop85	complete	20	29	0.6281760435571688
Loop86	complete	20	27	0.6371079213184476
Loop87	complete	20	28	0.6204309143530925
Loop88	complete	20	28	0.6382927706510011
Loop89	complete	20	30	0.6276803118908383
Loop9	complete	20	28	0.6325208995643471
Loop90	complete	20	29	0.6442285972441834
Loop91	complete	20	26	0.6245614035087719
Loop92	complete	20	28	0.6167727009832273
Loop93	complete	20	25	0.6386406267240428
Loop94	complete	20	32	0.6591530802057117
Loop95	complete	20	32	0.632034632034632
Loop96	complete	20	22	0.6561950533348962
Loop97	complete	20	29	0.6404744255003706
Loop98	complete	20	26	0.6459224985540775
Loop99	complete	20	33	0.6605750487329435
