community	medium	size	mip	mro
Loop1	complete	20	34	0.663921253515468
Loop10	complete	20	28	0.6497352210094023
Loop100	complete	20	30	0.6304297862560332
Loop11	complete	20	30	0.6273054430949169
Loop12	complete	20	33	0.6417514374170721
Loop13	complete	20	27	0.663652997524486
Loop14	complete	20	29	0.6704055220017257
Loop15	complete	20	31	0.6280332409972299
Loop16	complete	20	29	0.6231203007518797
Loop17	complete	20	29	0.637333653039204
Loop18	complete	20	28	0.6465209634255129
Loop19	complete	20	32	0.6426846933848382
Loop2	complete	20	31	0.6352482513473225
Loop20	complete	20	26	0.6547832507119503
Loop21	complete	20	29	0.6584795321637427
Loop22	complete	20	29	0.6417943593160116
Loop23	complete	20	28	0.6626605884790717
Loop24	complete	20	30	0.6428901200369344
Loop25	complete	20	29	0.6412319007124799
Loop26	complete	20	31	0.6460667798528579
Loop27	complete	20	29	0.6440789473684211
Loop28	complete	20	28	0.6484480431848854
Loop29	complete	20	31	0.6099865047233468
Loop3	complete	20	31	0.6365503080082136
Loop30	complete	20	30	0.6397118624375508
Loop31	complete	20	31	0.6643516006511123
Loop32	complete	20	31	0.6389430366038553
Loop33	complete	20	26	0.6499831668724049
Loop34	complete	20	31	0.6116581777023203
Loop35	complete	20	25	0.6568694463431305
Loop36	complete	20	28	0.6462224108658744
Loop37	complete	20	28	0.6420606601248884
Loop38	complete	20	28	0.6461924877269095
Loop39	complete	20	28	0.6608187134502923
Loop4	complete	20	28	0.666893039049236
Loop40	complete	20	27	0.619036954087346
Loop41	complete	20	30	0.608927381745503
Loop42	complete	20	31	0.6333555407506107
Loop43	complete	20	30	0.6325104797391708
Loop44	complete	20	25	0.6493147529655648
Loop45	complete	20	28	0.6349599909838837
Loop46	complete	20	29	0.6618117621096766
Loop47	complete	20	28	0.6259196378041879
Loop48	complete	20	30	0.6678386990440611
Loop49	complete	20	29	0.6584503485200525
Loop5	complete	20	28	0.6365698729582577
Loop50	complete	20	29	0.643793026870975
Loop51	complete	20	29	0.614933770952995
Loop52	complete	20	29	0.6458947368421053
Loop53	complete	20	27	0.6483201467721591
Loop54	complete	20	29	0.6453801169590643
Loop55	complete	20	27	0.6634377354429017
Loop56	complete	20	26	0.6449561403508772
Loop57	complete	20	29	0.6704520637693819
Loop58	complete	20	29	0.6753812636165577
Loop59	complete	20	28	0.6483253588516746
Loop6	complete	20	31	0.6418485237483953
Loop60	complete	20	30	0.6381992717643165
Loop61	complete	20	31	0.6454980426272293
Loop62	complete	20	25	0.6394849785407726
Loop63	complete	20	25	0.6412080096290622
Loop64	complete	20	29	0.6533180778032037
Loop65	complete	20	26	0.654893813481071
Loop66	complete	20	27	0.6501547987616099
Loop67	complete	20	28	0.6484298063245432
Loop68	complete	20	27	0.6561332336927511
Loop69	complete	20	33	0.638610696782442
Loop7	complete	20	26	0.6445743989603638
Loop70	complete	20	31	0.6356801093643198
Loop71	complete	20	29	0.6338426711941143
Loop72	complete	20	30	0.6381432422928145
Loop73	complete	20	30	0.6320287899235267
Loop74	complete	20	31	0.6528048516352609
Loop75	complete	20	32	0.6554442787129768
Loop76	complete	20	32	0.6376635229692729
Loop77	complete	20	24	0.6424917585540525
Loop78	complete	20	29	0.6269832585622059
Loop79	complete	20	31	0.6368311631469527
Loop8	complete	20	30	0.6286424215044047
Loop80	complete	20	27	0.6540381125226861
Loop81	complete	20	31	0.6336032388663968
Loop82	complete	20	26	0.6611984506721348
Loop83	complete	20	29	0.6306849927366186
Loop84	complete	20	32	0.6559718712229425
Loop85	complete	20	30	0.6347895883499599
Loop86	complete	20	28	0.6405677114133649
Loop87	complete	20	29	0.6683036190882887
Loop88	complete	20	30	0.6432998985686914
Loop89	complete	20	30	0.6514442287932412
Loop9	complete	20	31	0.6418258034466697
Loop90	complete	20	30	0.647849131024282
Loop91	complete	20	33	0.6633143367974076
Loop92	complete	20	28	0.6338090990187333
Loop93	complete	20	28	0.6413502109704641
Loop94	complete	20	29	0.652248028979331
Loop95	complete	20	29	0.646044286191165
Loop96	complete	20	29	0.6517578531308509
Loop97	complete	20	27	0.6180717279925477
Loop98	complete	20	27	0.6427191087870865
Loop99	complete	20	28	0.655045256453235
