community	medium	size	mip	mro
Loop1	complete	20	32	0.6311553531716615
Loop10	complete	20	29	0.6655549765502865
Loop100	complete	20	29	0.6375817343766749
Loop11	complete	20	29	0.6471900089206065
Loop12	complete	20	30	0.6612518951700238
Loop13	complete	20	27	0.6482612781954887
Loop14	complete	20	29	0.6504024767801857
Loop15	complete	20	27	0.6347211311861743
Loop16	complete	20	29	0.6200873362445415
Loop17	complete	20	32	0.6559339525283798
Loop18	complete	20	29	0.6262038073908175
Loop19	complete	20	30	0.6573576799140709
Loop2	complete	20	34	0.6435845213849287
Loop20	complete	20	30	0.6342050552576869
Loop21	complete	20	28	0.6669771774569166
Loop22	complete	20	28	0.6428348097967692
Loop23	complete	20	28	0.6455424274973147
Loop24	complete	20	28	0.6599935421375526
Loop25	complete	20	34	0.640203449800973
Loop26	complete	20	28	0.6210740701039767
Loop27	complete	20	29	0.6427432216905901
Loop28	complete	20	28	0.6526315789473685
Loop29	complete	20	29	0.6451754385964913
Loop3	complete	20	29	0.6685284640171858
Loop30	complete	20	28	0.642191899501841
Loop31	complete	20	27	0.631578947368421
Loop32	complete	20	26	0.6219897570011986
Loop33	complete	20	29	0.666208003669304
Loop34	complete	20	28	0.6467148262813898
Loop35	complete	20	31	0.6358272362520652
Loop36	complete	20	30	0.6383771929824561
Loop37	complete	20	26	0.6481645289694825
Loop38	complete	20	28	0.609142377856993
Loop39	complete	20	28	0.6240138333513454
Loop4	complete	20	28	0.6640027400388172
Loop40	complete	20	24	0.6313540260908682
Loop41	complete	20	34	0.6379371246909219
Loop42	complete	20	29	0.647323436797121
Loop43	complete	20	27	0.656979872995372
Loop44	complete	20	27	0.6449637023593466
Loop45	complete	20	27	0.6584407075780737
Loop46	complete	20	26	0.656074147633234
Loop47	complete	20	31	0.6582943258362827
Loop48	complete	20	28	0.6653257347189631
Loop49	complete	20	30	0.6288624787775892
Loop5	complete	20	30	0.6672029418524478
Loop50	complete	20	31	0.6561613614875511
Loop51	complete	20	29	0.6260964912280702
Loop52	complete	20	29	0.6541504060753085
Loop53	complete	20	26	0.6563081299923404
Loop54	complete	20	27	0.6481136469492315
Loop55	complete	20	26	0.6377041742286751
Loop56	complete	20	32	0.6390815050585427
Loop57	complete	20	26	0.64387936132466
Loop58	complete	20	28	0.6324844368986984
Loop59	complete	20	28	0.638700344942695
Loop6	complete	20	28	0.6269736842105263
Loop60	complete	20	34	0.6259074410163339
Loop61	complete	20	27	0.6558880862286435
Loop62	complete	20	27	0.6502216664772081
Loop63	complete	20	28	0.6466486729644625
Loop64	complete	20	25	0.6492359932088285
Loop65	complete	20	29	0.6599694256387857
Loop66	complete	20	29	0.6510155055689014
Loop67	complete	20	29	0.6665941713788605
Loop68	complete	20	26	0.6543323373937027
Loop69	complete	20	26	0.653056884635832
Loop7	complete	20	31	0.6439232409381663
Loop70	complete	20	26	0.6462358427714857
Loop71	complete	20	28	0.6351471900089206
Loop72	complete	20	29	n/a
Loop73	complete	20	27	0.6641604010025063
Loop74	complete	20	29	0.66383701188455
Loop75	complete	20	30	0.634967700942497
Loop76	complete	20	27	0.663090848139457
Loop77	complete	20	27	0.6464834653004191
Loop78	complete	20	31	0.6407685881370092
Loop79	complete	20	28	0.6613959792184323
Loop8	complete	20	26	0.6470263709588435
Loop80	complete	20	26	0.6454525434926228
Loop81	complete	20	28	0.661493477282951
Loop82	complete	20	31	0.626875699888018
Loop83	complete	20	31	0.6368080027282028
Loop84	complete	20	27	0.6198060941828255
Loop85	complete	20	25	0.6558539205155746
Loop86	complete	20	25	0.6528980679546968
Loop87	complete	20	28	0.6372627031942708
Loop88	complete	20	30	0.6663887441375718
Loop89	complete	20	28	0.6561548499347543
Loop9	complete	20	30	0.6304824561403509
Loop90	complete	20	26	0.6631348612230795
Loop91	complete	20	30	0.6467738383615944
Loop92	complete	20	31	0.6335363201391909
Loop93	complete	20	28	0.6345997443940978
Loop94	complete	20	27	0.6287339971550497
Loop95	complete	20	31	0.6434743575356301
Loop96	complete	20	31	0.6078387458006719
Loop97	complete	20	29	0.6535356796900227
Loop98	complete	20	29	0.644568868980963
Loop99	complete	20	29	0.6317959848073793
