community	medium	size	mip	mro
Loop1	complete	20	29	0.6599597585513077
Loop10	complete	20	31	0.6564137616769196
Loop100	complete	20	27	0.6336716542848174
Loop11	complete	20	28	0.6414694454256445
Loop12	complete	20	29	0.6454174228675136
Loop13	complete	20	28	0.6204081632653061
Loop14	complete	20	28	0.6402963931568051
Loop15	complete	20	28	0.6313496158697397
Loop16	complete	20	30	0.6334461430738709
Loop17	complete	20	28	0.6443030653556969
Loop18	complete	20	25	0.6505534221820646
Loop19	complete	20	28	0.6626062974028959
Loop2	complete	20	30	0.658501599911729
Loop20	complete	20	27	0.6567321919255971
Loop21	complete	20	28	0.6664311786176851
Loop22	complete	20	29	0.6554621848739496
Loop23	complete	20	28	0.6375123612789804
Loop24	complete	20	33	0.6327590276138777
Loop25	complete	20	27	0.6358986017960669
Loop26	complete	20	29	0.661993097497843
Loop27	complete	20	31	0.6489463094355606
Loop28	complete	20	28	0.619371185074283
Loop29	complete	20	28	0.6623407834655132
Loop3	complete	20	28	0.6310916179337231
Loop30	complete	20	30	0.655651603020024
Loop31	complete	20	27	0.6307300509337861
Loop32	complete	20	31	0.6311172668513388
Loop33	complete	20	29	0.6387559808612441
Loop34	complete	20	28	0.6526759937819232
Loop35	complete	20	27	0.6303718010622887
Loop36	complete	20	29	0.6442789107339113
Loop37	complete	20	30	0.6311222742322182
Loop38	complete	20	33	0.6492648625612615
Loop39	complete	20	30	0.6341350063901476
Loop4	complete	20	25	0.6682883679787704
Loop40	complete	20	26	0.6640762981278701
Loop41	complete	20	30	0.6511244554338866
Loop42	complete	20	29	0.6455981941309256
Loop43	complete	20	30	0.6727593041180356
Loop44	complete	20	29	0.6259317822453129
Loop45	complete	20	27	0.6510549501507071
Loop46	complete	20	29	0.6285087719298246
Loop47	complete	20	27	0.655554287019066
Loop48	complete	20	28	0.6433518005540166
Loop49	complete	20	29	0.6576188899922762
Loop5	complete	20	29	0.6588262692128551
Loop50	complete	20	29	0.6543087277943285
Loop51	complete	20	22	0.6452523060227889
Loop52	complete	20	27	0.6318181818181818
Loop53	complete	20	27	0.6269153897401732
Loop54	complete	20	29	0.6375497567448032
Loop55	complete	20	28	0.6580106654300951
Loop56	complete	20	31	0.6512310819968375
Loop57	complete	20	26	0.6573150939021563
Loop58	complete	20	25	0.6197340484970387
Loop59	complete	20	32	0.6239316239316239
Loop6	complete	20	32	0.6306715063520871
Loop60	complete	20	27	0.6522828811158331
Loop61	complete	20	27	0.6563202878992354
Loop62	complete	20	29	0.6467385502295293
Loop63	complete	20	27	0.6597938144329897
Loop64	complete	20	29	0.667297457125961
Loop65	complete	20	28	0.6329113924050633
Loop66	complete	20	28	0.630552990663794
Loop67	complete	20	26	0.6367771280051981
Loop68	complete	20	30	0.6387764282501125
Loop69	complete	20	31	0.6275395033860046
Loop7	complete	20	29	0.636513157894737
Loop70	complete	20	28	0.6457665903890161
Loop71	complete	20	28	0.6737739872068231
Loop72	complete	20	29	0.6754018938559789
Loop73	complete	20	28	0.6331842678591905
Loop74	complete	20	30	0.6299451511261525
Loop75	complete	20	31	0.6450800915331808
Loop76	complete	20	32	0.6260504201680672
Loop77	complete	20	30	0.6420398823144818
Loop78	complete	20	28	0.6313429313193297
Loop79	complete	20	31	0.6477732793522267
Loop8	complete	20	27	0.6358800226372382
Loop80	complete	20	35	0.6616541353383458
Loop81	complete	20	29	0.6696389734667247
Loop82	complete	20	29	0.6514442287932412
Loop83	complete	20	31	0.6511053753787454
Loop84	complete	20	28	0.6390350877192982
Loop85	complete	20	29	0.6336519636070482
Loop86	complete	20	27	0.6442831215970962
Loop87	complete	20	26	0.6485340868950901
Loop88	complete	20	31	0.6648542844715093
Loop89	complete	20	29	0.637487690119269
Loop9	complete	20	32	0.6124192059095106
Loop90	complete	20	26	0.6380922365794727
Loop91	complete	20	28	0.6513853343718705
Loop92	complete	20	29	0.634295415959253
Loop93	complete	20	31	0.652079637295486
Loop94	complete	20	30	0.6077048290830168
Loop95	complete	20	27	0.6538143110585453
Loop96	complete	20	29	0.6262152195776064
Loop97	complete	20	26	0.6461410443103807
Loop98	complete	20	28	0.6537986757939626
Loop99	complete	20	28	0.654945054945055
