community	medium	size	mip	mro
Loop1	complete	20	29	0.6446493173065702
Loop10	complete	20	30	0.6236898455990082
Loop100	complete	20	31	0.6382586663595531
Loop11	complete	20	32	0.6391614629794826
Loop12	complete	20	30	0.64746772591857
Loop13	complete	20	31	0.6493729231428877
Loop14	complete	20	30	0.6378366297910381
Loop15	complete	20	29	0.6556666265205346
Loop16	complete	20	30	0.6520206766917294
Loop17	complete	20	27	0.6353782545535813
Loop18	complete	20	23	0.6461436610393909
Loop19	complete	20	30	0.6276803118908383
Loop2	complete	20	28	0.6507381945227093
Loop20	complete	20	28	0.6473684210526316
Loop21	complete	20	29	0.6543157894736842
Loop22	complete	20	29	0.6500797448165868
Loop23	complete	20	25	0.6596336656619523
Loop24	complete	20	25	0.6414473684210527
Loop25	complete	20	28	0.6247678018575851
Loop26	complete	20	25	0.6585226624043841
Loop27	complete	20	30	0.6373247529303608
Loop28	complete	20	28	0.619641888225719
Loop29	complete	20	30	0.6517634291915355
Loop3	complete	20	27	0.6691434468524252
Loop30	complete	20	31	0.6555023923444976
Loop31	complete	20	25	0.657149950347567
Loop32	complete	20	30	0.6216090888012984
Loop33	complete	20	26	0.6535274356103024
Loop34	complete	20	32	0.6506182295655979
Loop35	complete	20	28	0.6661220679192438
Loop36	complete	20	30	0.6309251389342923
Loop37	complete	20	27	0.6641501294219155
Loop38	complete	20	30	0.6456863809007053
Loop39	complete	20	29	0.6313424009461857
Loop4	complete	20	26	0.6311142093644708
Loop40	complete	20	27	0.6375415663341361
Loop41	complete	20	27	0.6490849153120383
Loop42	complete	20	27	0.6366018781393318
Loop43	complete	20	29	0.636691065411874
Loop44	complete	20	28	0.6295149638802889
Loop45	complete	20	30	0.6492760284991956
Loop46	complete	20	30	0.6454293628808865
Loop47	complete	20	27	0.652325835335226
Loop48	complete	20	31	0.6637770897832818
Loop49	complete	20	25	0.655551923286477
Loop5	complete	20	29	0.6334378993842222
Loop50	complete	20	27	0.6421701069923268
Loop51	complete	20	25	0.6532640614411566
Loop52	complete	20	27	0.6464602254075938
Loop53	complete	20	30	0.6507177033492823
Loop54	complete	20	29	0.6413817248220329
Loop55	complete	20	28	0.652943140091243
Loop56	complete	20	27	0.6261576688502372
Loop57	complete	20	29	0.6546247274992214
Loop58	complete	20	29	0.6605582782868101
Loop59	complete	20	29	0.6409984693276816
Loop6	complete	20	27	0.6673371326405185
Loop60	complete	20	26	0.6590202594061528
Loop61	complete	20	28	0.6279802069275754
Loop62	complete	20	25	0.6318176393364363
Loop63	complete	20	28	0.6486549707602339
Loop64	complete	20	30	0.6324844368986984
Loop65	complete	20	27	0.6282747226811423
Loop66	complete	20	30	0.6509174815954291
Loop67	complete	20	28	0.6683090705487122
Loop68	complete	20	27	0.6487557806650518
Loop69	complete	20	30	0.6261752944990813
Loop7	complete	20	30	0.6440717177559283
Loop70	complete	20	31	0.6477222467934542
Loop71	complete	20	30	0.6477261113949924
Loop72	complete	20	28	0.6598360655737706
Loop73	complete	20	31	0.6611265004616805
Loop74	complete	20	29	0.6551724137931034
Loop75	complete	20	31	0.6248600223964166
Loop76	complete	20	29	0.6675168096452585
Loop77	complete	20	26	0.6530470914127424
Loop78	complete	20	27	0.6741854636591479
Loop79	complete	20	30	0.6481994459833795
Loop8	complete	20	28	0.6328811720021704
Loop80	complete	20	29	0.6590883255655338
Loop81	complete	20	32	0.6538784318427048
Loop82	complete	20	27	0.6547884187082406
Loop83	complete	20	29	0.6376685515441496
Loop84	complete	20	30	0.647323436797121
Loop85	complete	20	28	0.6279569892473118
Loop86	complete	20	29	0.6867368421052632
Loop87	complete	20	29	0.6426950998185118
Loop88	complete	20	32	0.6469940541730896
Loop89	complete	20	32	0.6577855426949115
Loop9	complete	20	32	0.6486729644624382
Loop90	complete	20	28	0.644764778187507
Loop91	complete	20	29	0.6710526315789473
Loop92	complete	20	25	0.6912478937456635
Loop93	complete	20	28	0.607104669122015
Loop94	complete	20	29	0.6347077885797295
Loop95	complete	20	27	0.6665908832556553
Loop96	complete	20	27	0.6603070175438597
Loop97	complete	20	28	0.6401766004415012
Loop98	complete	20	27	0.6613503455608719
Loop99	complete	20	29	0.6625258799171843
