community	medium	size	mip	mro
Loop1	complete	20	28	0.623810448630802
Loop10	complete	20	26	0.6465526874511118
Loop100	complete	20	31	0.6533940485015355
Loop11	complete	20	29	0.6149347728295097
Loop12	complete	20	32	0.6348813209494324
Loop13	complete	20	29	0.6481630772774386
Loop14	complete	20	26	0.6366463203961764
Loop15	complete	20	28	0.6486256126145322
Loop16	complete	20	30	0.6398130633136754
Loop17	complete	20	27	0.640203449800973
Loop18	complete	20	27	0.6911113399938202
Loop19	complete	20	24	0.6423373061913301
Loop2	complete	20	32	0.6220936957779063
Loop20	complete	20	28	0.6207827260458839
Loop21	complete	20	30	0.63202216066482
Loop22	complete	20	28	0.6486194995685937
Loop23	complete	20	30	0.654257595207531
Loop24	complete	20	29	0.6510454217736121
Loop25	complete	20	27	0.6313587315569258
Loop26	complete	20	29	0.6267099466728495
Loop27	complete	20	27	0.6451687204883104
Loop28	complete	20	31	0.6421052631578947
Loop29	complete	20	26	0.6566301336866193
Loop3	complete	20	30	0.6443247994725854
Loop30	complete	20	30	0.6481420943663506
Loop31	complete	20	25	0.6400946185688942
Loop32	complete	20	24	0.6630396215257245
Loop33	complete	20	29	0.6438992759105154
Loop34	complete	20	29	0.6489192819636097
Loop35	complete	20	28	0.6397990638200707
Loop36	complete	20	26	0.6448182311448725
Loop37	complete	20	32	0.6435845213849287
Loop38	complete	20	27	0.6197822141560798
Loop39	complete	20	31	0.6363745354274067
Loop4	complete	20	29	0.6472930793240771
Loop40	complete	20	25	0.664254872213794
Loop41	complete	20	24	0.642772088592522
Loop42	complete	20	28	0.6648199445983379
Loop43	complete	20	31	0.6296256104177971
Loop44	complete	20	28	0.61441647597254
Loop45	complete	20	26	0.640017765933822
Loop46	complete	20	31	0.6457665903890161
Loop47	complete	20	24	0.6654995076047708
Loop48	complete	20	27	0.6580523164197919
Loop49	complete	20	29	0.6398656215005599
Loop5	complete	20	30	0.6587867975022301
Loop50	complete	20	28	0.6304959930690924
Loop51	complete	20	26	0.6425244527247321
Loop52	complete	20	29	0.6555942094041073
Loop53	complete	20	30	0.6420586865393572
Loop54	complete	20	29	0.648584651813583
Loop55	complete	20	27	0.6474882859322219
Loop56	complete	20	29	0.6352013637332197
Loop57	complete	20	27	0.6561772853185596
Loop58	complete	20	27	0.6495507060333762
Loop59	complete	20	27	0.6236216892122315
Loop6	complete	20	25	0.6487959028004795
Loop60	complete	20	28	0.6582841882719485
Loop61	complete	20	29	0.6408421052631579
Loop62	complete	20	30	0.6508458646616542
Loop63	complete	20	30	0.6540350877192983
Loop64	complete	20	28	0.6562812952041839
Loop65	complete	20	24	0.6685049754226112
Loop66	complete	20	26	0.6440562613430127
Loop67	complete	20	26	n/a
Loop68	complete	20	25	0.655800792303339
Loop69	complete	20	36	0.6592442645074225
Loop7	complete	20	29	0.6411483253588517
Loop70	complete	20	28	0.6490858725761772
Loop71	complete	20	25	0.6409308394954328
Loop72	complete	20	30	0.6332019476002783
Loop73	complete	20	28	0.6346684320865056
Loop74	complete	20	28	0.6378116343490304
Loop75	complete	20	31	0.6663115278073728
Loop76	complete	20	31	0.6637613141133087
Loop77	complete	20	29	0.6679067731699311
Loop78	complete	20	31	0.6189020939445388
Loop79	complete	20	31	0.6563848144952547
Loop8	complete	20	28	0.628531239010667
Loop80	complete	20	31	0.644275161588181
Loop81	complete	20	25	0.6537396121883657
Loop82	complete	20	27	0.6492702344095532
Loop83	complete	20	30	0.6180836707152497
Loop84	complete	20	29	0.6381873967429785
Loop85	complete	20	31	0.6158209895997478
Loop86	complete	20	32	0.6304196614885231
Loop87	complete	20	29	0.6468661279755404
Loop88	complete	20	26	0.6379862700228833
Loop89	complete	20	31	0.6274509803921569
Loop9	complete	20	29	0.6512877939529675
Loop90	complete	20	28	0.6497934978290798
Loop91	complete	20	31	0.6191950464396284
Loop92	complete	20	27	0.6377569205179994
Loop93	complete	20	28	0.6593886462882096
Loop94	complete	20	28	0.6233098670242485
Loop95	complete	20	31	0.6455424274973147
Loop96	complete	20	31	0.6375695335900727
Loop97	complete	20	28	0.6604703247480402
Loop98	complete	20	28	0.6431178617685152
Loop99	complete	20	25	0.6504251896115836
