community	medium	size	mip	mro
Loop1	complete	20	23	0.6716591076890623
Loop10	complete	20	33	0.6510320976980438
Loop100	complete	20	27	0.6405620177358056
Loop11	complete	20	31	0.6376811594202899
Loop12	complete	20	29	0.6405757984705354
Loop13	complete	20	27	0.6455987129395542
Loop14	complete	20	36	0.639417693169093
Loop15	complete	20	25	0.6435740514075887
Loop16	complete	20	27	0.6480046269519953
Loop17	complete	20	32	0.655651603020024
Loop18	complete	20	30	0.634717527764365
Loop19	complete	20	27	0.6451541114943808
Loop2	complete	20	28	0.6609395389299696
Loop20	complete	20	28	0.6244851258581235
Loop21	complete	20	25	0.6496170002470966
Loop22	complete	20	28	0.645040273640075
Loop23	complete	20	29	0.6626845486306773
Loop24	complete	20	30	0.6132427843803057
Loop25	complete	20	27	0.659169951309993
Loop26	complete	20	28	0.6601805181104209
Loop27	complete	20	31	0.6362573099415205
Loop28	complete	20	26	0.6487557806650518
Loop29	complete	20	28	0.6499513671241759
Loop3	complete	20	27	0.6241406514144032
Loop30	complete	20	34	0.6223964165733483
Loop31	complete	20	31	0.6292654713707345
Loop32	complete	20	28	0.6306925207756233
Loop33	complete	20	25	0.6464505634948298
Loop34	complete	20	27	0.646001506834571
Loop35	complete	20	31	0.6376146788990825
Loop36	complete	20	33	0.665100886089463
Loop37	complete	20	29	0.6430705584923007
Loop38	complete	20	31	0.6592577060180331
Loop39	complete	20	27	0.659825664790908
Loop4	complete	20	31	0.6501128668171559
Loop40	complete	20	28	0.6438558599522565
Loop41	complete	20	31	0.6468174891571914
Loop42	complete	20	28	0.6711364398256788
Loop43	complete	20	24	0.6432489205274827
Loop44	complete	20	30	0.661465772991979
Loop45	complete	20	28	0.6698564593301435
Loop46	complete	20	33	0.654776233723602
Loop47	complete	20	30	0.629695042976569
Loop48	complete	20	29	0.622954444935869
Loop49	complete	20	27	0.6545649838882922
Loop5	complete	20	25	0.6496567505720824
Loop50	complete	20	27	0.6399521531100478
Loop51	complete	20	28	0.650779308786989
Loop52	complete	20	32	0.6363636363636364
Loop53	complete	20	31	0.6640835216876547
Loop54	complete	20	29	0.6435116130406989
Loop55	complete	20	25	0.6217310427836743
Loop56	complete	20	33	0.6433737621008123
Loop57	complete	20	29	0.6355345566421272
Loop58	complete	20	29	0.6472323049001815
Loop59	complete	20	27	0.6451905626134301
Loop6	complete	20	30	0.6281087333718912
Loop60	complete	20	29	0.6440877979702619
Loop61	complete	20	28	0.6342285920751535
Loop62	complete	20	31	0.6297872340425532
Loop63	complete	20	32	0.6306999230853753
Loop64	complete	20	32	0.622176355922486
Loop65	complete	20	30	0.6533803127064524
Loop66	complete	20	30	0.6297158826269212
Loop67	complete	20	26	0.6487363783909113
Loop68	complete	20	29	0.6554077501445923
Loop69	complete	20	30	0.6714419184054811
Loop7	complete	20	32	0.6142229234757128
Loop70	complete	20	27	0.6407923528734308
Loop71	complete	20	29	0.6528066528066527
Loop72	complete	20	27	0.6535450195737277
Loop73	complete	20	26	0.6528604118993134
Loop74	complete	20	28	0.6577817935396431
Loop75	complete	20	26	0.6602453847035891
Loop76	complete	20	31	0.6435073767918804
Loop77	complete	20	26	0.6507573281028659
Loop78	complete	20	29	0.6599279656093877
Loop79	complete	20	29	0.6775634739021467
Loop8	complete	20	27	0.6436152751942226
Loop80	complete	20	28	0.6794050343249428
Loop81	complete	20	29	0.6105263157894737
Loop82	complete	20	31	0.6361556064073227
Loop83	complete	20	30	0.6456280142587545
Loop84	complete	20	31	0.6500461680517082
Loop85	complete	20	30	0.6392262708052182
Loop86	complete	20	30	0.6293767892534684
Loop87	complete	20	31	0.6430346914514211
Loop88	complete	20	29	0.6398348813209495
Loop89	complete	20	24	0.6375749500333111
Loop9	complete	20	25	0.6661988304093568
Loop90	complete	20	28	0.6445941317501998
Loop91	complete	20	26	0.5971883350761009
Loop92	complete	20	28	0.6508230929747276
Loop93	complete	20	28	0.622883295194508
Loop94	complete	20	30	0.6429001565699144
Loop95	complete	20	32	0.6412053991838443
Loop96	complete	20	27	0.6568802959780403
Loop97	complete	20	29	0.6315789473684211
Loop98	complete	20	26	0.6490451793199814
Loop99	complete	20	28	0.6606089214066556
