community	medium	size	mip	mro	stage	Facility
Loop1	complete	20	31	0.646044286	active	FIRS
Loop10	complete	20	29	0.646776176	active	FIRS
Loop100	complete	20	24	0.658125577	active	FIRS
Loop11	complete	20	27	0.664908284	active	FIRS
Loop12	complete	20	29	0.657552973	active	FIRS
Loop13	complete	20	26	0.632900242	active	FIRS
Loop14	complete	20	27	0.652446093	active	FIRS
Loop15	complete	20	30	0.645821743	active	FIRS
Loop16	complete	20	29	0.661203908	active	FIRS
Loop17	complete	20	28	0.636960499	active	FIRS
Loop18	complete	20	27	0.643834118	active	FIRS
Loop19	complete	20	28	0.669285153	active	FIRS
Loop2	complete	20	28	0.645553928	active	FIRS
Loop20	complete	20	33	0.658526316	active	FIRS
Loop21	complete	20	29	0.643669986	active	FIRS
Loop22	complete	20	26	0.654278402	active	FIRS
Loop23	complete	20	27	0.629711752	active	FIRS
Loop24	complete	20	31	0.627656097	active	FIRS
Loop25	complete	20	28	0.618479532	active	FIRS
Loop26	complete	20	26	0.656110616	active	FIRS
Loop27	complete	20	29	0.635193133	active	FIRS
Loop28	complete	20	30	0.620275521	active	FIRS
Loop29	complete	20	31	0.616477904	active	FIRS
Loop3	complete	20	26	0.627022101	active	FIRS
Loop30	complete	20	32	0.639259092	active	FIRS
Loop31	complete	20	30	0.64155348	active	FIRS
Loop32	complete	20	27	0.645074224	active	FIRS
Loop33	complete	20	30	0.621639937	active	FIRS
Loop34	complete	20	30	0.627118644	active	FIRS
Loop35	complete	20	31	0.645643336	active	FIRS
Loop36	complete	20	30	0.637512361	active	FIRS
Loop37	complete	20	29	0.614265928	active	FIRS
Loop38	complete	20	30	0.629605263	active	FIRS
Loop39	complete	20	29	0.667408479	active	FIRS
Loop4	complete	20	28	0.667778042	active	FIRS
Loop40	complete	20	29	0.638405638	active	FIRS
Loop41	complete	20	27	0.650656492	active	FIRS
Loop42	complete	20	30	0.643818849	active	FIRS
Loop43	complete	20	27	0.640528447	active	FIRS
Loop44	complete	20	28	0.63927041	active	FIRS
Loop45	complete	20	33	0.647493464	active	FIRS
Loop46	complete	20	30	0.615348945	active	FIRS
Loop47	complete	20	29	0.652506017	active	FIRS
Loop48	complete	20	30	0.644031955	active	FIRS
Loop49	complete	20	25	0.619424378	active	FIRS
Loop5	complete	20	27	0.678133242	active	FIRS
Loop50	complete	20	27	0.650408348	active	FIRS
Loop51	complete	20	30	0.658001278	active	FIRS
Loop52	complete	20	29	0.637038655	active	FIRS
Loop53	complete	20	28	0.656895403	active	FIRS
Loop54	complete	20	31	0.632274519	active	FIRS
Loop55	complete	20	26	0.633140054	active	FIRS
Loop56	complete	20	30	0.648979592	active	FIRS
Loop57	complete	20	29	0.6313476	active	FIRS
Loop58	complete	20	29	0.65532595	active	FIRS
Loop59	complete	20	28	0.653296399	active	FIRS
Loop6	complete	20	27	0.658597212	active	FIRS
Loop60	complete	20	31	0.653988487	active	FIRS
Loop61	complete	20	27	0.641678824	active	FIRS
Loop62	complete	20	26	n/a	active	FIRS
Loop63	complete	20	31	0.630701754	active	FIRS
Loop64	complete	20	27	0.650167973	active	FIRS
Loop65	complete	20	32	0.656884636	active	FIRS
Loop66	complete	20	29	0.631578947	active	FIRS
Loop67	complete	20	29	0.65014239	active	FIRS
Loop68	complete	20	28	0.649845873	active	FIRS
Loop69	complete	20	27	0.667608619	active	FIRS
Loop7	complete	20	26	0.63748769	active	FIRS
Loop70	complete	20	29	0.637770898	active	FIRS
Loop71	complete	20	28	0.657097289	active	FIRS
Loop72	complete	20	30	0.654529405	active	FIRS
Loop73	complete	20	31	0.665031222	active	FIRS
Loop74	complete	20	28	0.645779331	active	FIRS
Loop75	complete	20	30	0.640350877	active	FIRS
Loop76	complete	20	24	0.648719921	active	FIRS
Loop77	complete	20	27	0.638317648	active	FIRS
Loop78	complete	20	30	0.660247292	active	FIRS
Loop79	complete	20	29	0.630677336	active	FIRS
Loop8	complete	20	29	0.64456596	active	FIRS
Loop80	complete	20	25	0.636246937	active	FIRS
Loop81	complete	20	27	0.626545574	active	FIRS
Loop82	complete	20	28	0.633180778	active	FIRS
Loop83	complete	20	29	0.639536206	active	FIRS
Loop84	complete	20	26	0.644509982	active	FIRS
Loop85	complete	20	30	0.632733149	active	FIRS
Loop86	complete	20	29	0.625	active	FIRS
Loop87	complete	20	28	0.634324943	active	FIRS
Loop88	complete	20	33	0.643396433	active	FIRS
Loop89	complete	20	32	0.638458892	active	FIRS
Loop9	complete	20	27	0.64739101	active	FIRS
Loop90	complete	20	30	0.647459165	active	FIRS
Loop91	complete	20	27	0.662879194	active	FIRS
Loop92	complete	20	30	0.665607985	active	FIRS
Loop93	complete	20	27	0.659120084	active	FIRS
Loop94	complete	20	30	0.651315789	active	FIRS
