Row,Carbohydrates,Lipids,AminoAcids
CMU.bins.102.xml,0.463080769,0.395358333,0.40175
CMU.bins.106.xml,0.444215278,0.404661575,0.504424092
CMU.bins.107.xml,250.1503,250.1294205,250.1350417
CMU.bins.119.xml,0.3835,0.358678571,0.3835
CMU.bins.121.xml,750.1425,750.124625,750.175
CMU.bins.124.xml,750.1738571,750.1135,750.1893889
CMU.bins.126.xml,15.13286652,4.24151875,4.991234848
CMU.bins.130.xml,0.74775,0.96625,1.0375
CMU.bins.144.xml,10.30463636,0.016,0.224375
CMU.bins.146.xml,0.106125,0.0875,0.347375
CMU.bins.155.xml,1.155291667,0.538875,0.539
CMU.bins.160.xml,0.317117788,0.317117788,0.97075
CMU.bins.171.xml,0.226,0.0378,0.101583333
CMU.bins.181.xml,1.72625,0.030326531,0.161
CMU.bins.184.xml,3.144512291,0.231215278,2.4711
CMU.bins.187.xml,3.3,0.007,0.007
CMU.bins.196.xml,0.101,0.002,0.0865
CMU.bins.199.xml,0.133833333,0.105491071,0.2054375
CMU.bins.202.xml,0.0035,0.0035,0.111863636
CMU.bins.204.xml,0.483333333,0.468142063,0.4826
CMU.bins.216.xml,750.301375,750.301375,750.3340909
CMU.bins.224.xml,0.200416667,0.0018125,0.0018125
CMU.bins.23.xml,0.5755,0.492477778,0.626
CMU.bins.233.xml,1.1345,0.631291667,0.7668125
CMU.bins.235.xml,0.040269841,0.017,0.65
CMU.bins.247.xml,0.450166667,0.042583333,0.4296625
CMU.bins.248.xml,0.423166667,0.30690625,0.650125
CMU.bins.249.xml,0,0,0
CMU.bins.252.xml,0.03875,0.00725,0.033229167
CMU.bins.256.xml,0.863291667,0.009666667,0.107
CMU.bins.261.xml,0.1265,0.1265,0.15625
CMU.bins.264.xml,0.6875,0.234772727,0.251
CMU.bins.293.xml,0.008,0.008,0.105263158
CMU.bins.297.xml,750.4745402,750.4566897,750.9838333
CMU.bins.300.xml,0.410854167,0.403375,0.445833333
CMU.bins.307.xml,1.4815,0.308125,0.66075
CMU.bins.31.xml,0.00075,0.00075,0.00075
CMU.bins.320.xml,0.625,0.011555556,0.114267857
CMU.bins.328.xml,1.506255435,0.3095,0.591125
CMU.bins.340.xml,13.201,0.016,0.026
CMU.bins.352.xml,0.36275,0.019125,0.344375
CMU.bins.43.xml,500.529875,500.207375,500.50175
CMU.bins.5.xml,750.1442083,750.11275,750.1554348
CMU.bins.59.xml,0.450725,0.420227519,0.5845
CMU.bins.62.xml,0.268833333,0.024053571,0.157987288
CMU.bins.67.xml,0.416833333,0.3595,0.40025
CMU.bins.70.xml,0.500833333,0.23046319,0.50145
CMU.bins.8.xml,0.29675,0.241875,0.48125
CMU.bins.9.xml,0.100285714,0.002,0.017
CMU.bins.99.xml,750.201,750.176625,750.176625
CMU_active.final.40.xml,750.5936111,750.50615,750.51275
CMU_active.final.59.xml,0.142993056,0.014527778,0.395
CMU_advanced.final.11.xml,0.069375,0.00235,0.0035
CMU_advanced.final.13.xml,2.121428571,0.511,0.532
CMU_advanced.final.23.xml,0.101,0.004,0.084416667
CMU_early.final.2.xml,1.1145,0.3089,1.353360043
CMU_early.final.5.xml,0.346461538,0.0364375,0.066642857
CMU_early.final.61.xml,0.1359375,0.0064375,0.0098125
SHSU.bins.101.xml,750.41,750.2677014,750.2814111
SHSU.bins.105.xml,0.0416,0.0025,0.0025
SHSU.bins.111.xml,0.734833333,0.564083333,0.808472222
SHSU.bins.118.xml,0,0,0
SHSU.bins.123.xml,0.3350125,0.214291667,1.016625
SHSU.bins.13.xml,0.475,0.005,0.059686869
SHSU.bins.131.xml,750.8095,750.439875,750.50625
SHSU.bins.132.xml,0.4125,0.257863379,0.351
SHSU.bins.148.xml,0.6505,0.27725,0.278125
SHSU.bins.149.xml,0.002875,0.002875,0.1575
SHSU.bins.15.xml,0.5395625,0.5395625,0.966833333
SHSU.bins.150.xml,1.30175,0.149119048,0.4715
SHSU.bins.154.xml,2.6234,0.177,0.177
SHSU.bins.157.xml,1.053,0.0583,0.112
SHSU.bins.162.xml,0.651,0.37375,1.6255
SHSU.bins.163.xml,0.0056875,0.005471875,0.45625
SHSU.bins.164.xml,0.0505,0.002,0.055363636
SHSU.bins.167.xml,0.727,0.727,0.925
SHSU.bins.170.xml,0.65,0.3365,0.40125
SHSU.bins.173.xml,0.0025,0.0025,0.175
SHSU.bins.175.xml,0.3175,0.181125,0.289178571
SHSU.bins.178.xml,333.7105833,333.71,333.7388889
SHSU.bins.18.xml,0.076785714,0.004125,0.091375
SHSU.bins.181.xml,0.61975,0.453833333,0.613
SHSU.bins.186.xml,0.399086957,0.399086957,0.440909091
