SampleID,Carbohydrates,Lipids,AminoAcids,facility,State,Conv_time,host_subject_ID,ADD
25237_S2128_L003,0.16175787,0.060752749,0.170538219,FIRS,early,13.05555556,CMU_Mrs._16_03,13.05555556
25238_S1254_L003,0.185272548,0.042032944,0.122496159,FIRS,early,35.83333334,CMU_Mrs._16_03,35.83333334
25257_S2039_L003,0.17504281,0.059139381,0.130193232,FIRS,early,25.83333334,CMU_Mrs._16_03,25.83333334
25259_S2215_L003,0.117000606,0.103329732,0.11859542,FIRS,early,47.22222223,CMU_Mrs._16_03,47.22222223
25293_S2193_L003,0.131827997,0.092900279,0.129964715,FIRS,active,57.22222223,CMU_Mrs._16_03,57.22222223
25295_S2243_L003,0.219369921,0.082336502,0.146928428,FIRS,active,73.05555556,CMU_Mrs._16_03,73.05555556
25311_S2283_L003,0.178296461,0.08530125,0.182919343,FIRS,active,102.7777778,CMU_Mrs._16_03,102.7777778
25329_S2222_L003,0.108688687,0.067038362,0.10318104,FIRS,active,89.72222223,CMU_Mrs._16_03,89.72222223
25330_S1251_L003,0.277257064,0.242593694,0.218602375,FIRS,active,113.0555556,CMU_Mrs._16_03,113.0555556
25344_S1331_L003,0.255410283,0.077053014,0.160584337,FIRS,active,117.7777778,CMU_Mrs._16_03,117.7777778
25347_S2253_L003,0.143907513,0.129284887,0.184248881,FIRS,active,130.8333333,CMU_Mrs._16_03,130.8333333
25365_S2274_L003,0.107747469,0.067933536,0.101092188,FIRS,active,123.8888889,CMU_Mrs._16_03,123.8888889
25367_S2074_L003,0.162217887,0.101043633,0.169030476,FIRS,active,135.2777778,CMU_Mrs._16_03,135.2777778
25381_S2133_L003,0.307979051,0.177104984,0.545405139,FIRS,active,141.1111111,CMU_Mrs._16_03,141.1111111
25382_S1261_L003,0.242344984,0.136581447,0.303692203,FIRS,active,160.8333333,CMU_Mrs._16_03,160.8333333
25402_S1292_L003,0.118959384,0.053638526,0.173632308,FIRS,active,164.7222222,CMU_Mrs._16_03,164.7222222
25439_S2295_L003,0.142858172,0.146928708,0.153171941,FIRS,early,29.72222223,CMU_Mr._16_04,29.72222223
25453_S2144_L003,0.176339617,0.16452409,0.17883642,FIRS,early,40.00000001,CMU_Mr._16_04,40.00000001
25455_S2155_L003,0.132288476,0.130777979,0.157131964,FIRS,active,50.83333334,CMU_Mr._16_04,50.83333334
25473_S2258_L003,0.166784973,0.143346177,0.174328354,FIRS,early,44.72222223,CMU_Mr._16_04,44.72222223
25474_S1278_L003,0.181087639,0.22047492,0.128971448,FIRS,active,57.77777778,CMU_Mr._16_04,57.77777778
25488_S1244_L003,0.096242034,0.154173021,0.11068244,FIRS,active,62.22222223,CMU_Mr._16_04,62.22222223
25491_S2210_L003,0.120312437,0.118704466,0.139625883,FIRS,active,80.27777778,CMU_Mr._16_04,80.27777778
25510_S1265_L003,0.175114758,0.162709917,0.176174108,FIRS,active,87.77777778,CMU_Mr._16_04,87.77777778
25525_S2188_L003,0.141194318,0.119947715,0.144076106,FIRS,active,91.66666667,CMU_Mr._16_04,91.66666667
25545_S2117_L003,0.210819861,0.189060891,0.171472428,FIRS,active,96.11111111,CMU_Mr._16_04,96.11111111
25546_S1245_L003,0.14355053,0.196925467,0.11753821,FIRS,active,111.3888889,CMU_Mr._16_04,111.3888889
25560_S1249_L003,0.107642218,0.096247441,0.128918834,FIRS,active,122.7777778,CMU_Mr._16_04,122.7777778
25563_S2204_L003,0.117658978,0.114516777,0.124175711,FIRS,active,149.7222222,CMU_Mr._16_04,149.7222222
25581_S2157_L003,0.133597743,0.121504026,0.158706249,FIRS,active,136.9444445,CMU_Mr._16_04,136.9444445
25583_S2130_L003,0.196491915,0.189907097,0.191697502,FIRS,active,160,CMU_Mr._16_04,160
25596_S1296_L003,0.14608429,0.074080849,0.18945926,FIRS,active,110.2777778,CMU_Mrs._16_05,110.2777778
