Feature ID	Taxon	Confidence
SHSU.bins.531	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__Ignatzschineria larvae	100
CMU.bins.248	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__Ignatzschineria larvae	100
SHSU.bins.319	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Catellicoccaceae;g__;s__	100
UTK.bins.126	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__	100
SHSU_advanced.final.156	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_E;s__	100
UTK.bins.50	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__;s__	100
SHSU_advanced.final.35	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus_A;s__Vagococcus_A lutrae	100
CMU_advanced.final.11	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Wohlfahrtiimonas;s__Wohlfahrtiimonas chitiniclastica	100
SHSU.bins.42	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__;s__	100
CMU.bins.293	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__;g__;s__	100
UTK.bins.77	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__;g__;s__	100
SHSU.bins.89	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__	100
SHSU.bins.111	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_E;s__	100
UTK.bins.19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_E;s__	100
SHSU.bins.50	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	100
SHSU.bins.450	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii_B	100
CMU_advanced.final.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__;g__;s__	100
CMU.bins.224	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__;g__;s__	100
UTK.bins.141	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__;g__;s__	100
UTK.bins.71	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Savagea;s__Savagea sp009740415	100
SHSU.bins.195	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__	100
SHSU.bins.365	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria;s__	100
SHSU.bins.354	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__;s__	100
UTK_active.final.26	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Savagea;s__Savagea sp009740415	100
SHSU.bins.123	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii	100
