SampleID	orig_sample_name	sample_type_soil_control
Plate10_25858_Soil_BD4_01_27753.mzXML	soil.ctrl.UTK.K016.01.2016.04.11.day7	soil_control
Plate10_43821_Soil_BC4_01_27739.mzXML	soil.ctrl.SHSU.2016.007.2016.05.05.day21	soil_control
Plate11_25281_Soil_GD2_01_27634.mzXML	soil.ctrl.CMU.16.03.2016.3.day7	soil_control
Plate12_25352_Soil_Rerun_GE7_01_28083.mzXML	soil.ctrl.CMU.16.03.2016.3.day14	soil_control
Plate12_25929_Soil_GG11_01_28050.mzXML	soil.ctrl.UTK.K016.01.2016.04.18.day14	soil_control
Plate13_25391_Soil_GH10_01_27579.mzXML	soil.ctrl.CMU.16.03.2016.3.day21	soil_control
Plate13_25678_Soil_GE6_01_27531.mzXML	soil.ctrl.UTK.K016.01.2016.04.25.day21	soil_control
Plate13_43679_Soil_GA2_01_27472.mzXML	soil.ctrl.SHSU.2016.007.2016.04.21.day7	soil_control
Plate16_43750_Soil_GF11_01_28296.mzXML	soil.ctrl.SHSU.2016.007.2016.04.28.day14	soil_control
Plate10_25236_Soil_Rerun_BG8_01_27817.mzXML	soil.hip.CMU.16.03.2016.3.day2	soil
Plate10_25256_Soil_BG1_01_27793.mzXML	soil.hip.CMU.16.03.2016.3.day3	soil
Plate10_25258_Soil_BC10_01_27746.mzXML	soil.hip.CMU.16.03.2016.3.day5	soil
Plate10_25274_Soil_BH11_01_27822.mzXML	soil.hip.CMU.16.03.2016.3.day8	soil
Plate10_25294_Soil_BB10_01_27732.mzXML	soil.hip.CMU.16.03.2016.3.day9	soil
Plate10_25330_Soil_BG3_01_27795.mzXML	soil.hip.CMU.16.03.2016.3.day13	soil
Plate10_25344_Soil_BH8_01_27819.mzXML	soil.hip.CMU.16.03.2016.3.day14	soil
Plate10_25346_Soil_BE9_01_27774.mzXML	soil.hip.CMU.16.03.2016.3.day16	soil
Plate10_25364_Soil_BE1_01_27764.mzXML	soil.hip.CMU.16.03.2016.3.day15	soil
Plate10_25366_Soil_BB6_01_27727.mzXML	soil.hip.CMU.16.03.2016.3.day17	soil
Plate10_25380_Soil_BH9_01_27820.mzXML	soil.hip.CMU.16.03.2016.3.day18	soil
Plate10_25382_Soil_BE2_01_27765.mzXML	soil.hip.CMU.16.03.2016.3.day20	soil
Plate10_25400_Soil_Rerun_BG7_01_27816.mzXML	soil.hip.CMU.16.03.2016.3.day19	soil
Plate10_25416_Soil_BA6_01_27713.mzXML	soil.hip.CMU.16.04.2016.mo.day1	soil
Plate10_25438_Soil_BD1_01_27750.mzXML	soil.hip.CMU.16.04.2016.mo.day4	soil
Plate10_25452_Soil_BD5_01_27754.mzXML	soil.hip.CMU.16.04.2016.mo.day5	soil
Plate10_25454_Soil_BE7_01_27772.mzXML	soil.hip.CMU.16.04.2016.mo.day7	soil
Plate10_25508_Soil_BF8_01_27787.mzXML	soil.hip.CMU.16.04.2016.mo.day10	soil
Plate10_25526_Soil_BB9_01_27731.mzXML	soil.hip.CMU.16.04.2016.mo.day15	soil
Plate10_25546_Soil_BA11_01_27719.mzXML	soil.hip.CMU.16.04.2016.mo.day16	soil
Plate10_25560_Soil_BD11_01_27761.mzXML	soil.hip.CMU.16.04.2016.mo.day17	soil
