sample_name,season,subjects,add_0c,add_0c_group,facility,timepoint
soil.hip.SHSU.2017.045.2017.12.25.day14,winter,2017.045,154.4,active,SHSU,154
soil.hip.SHSU.2017.045.2017.12.26.day15,winter,2017.045,161.6,active,SHSU,162
soil.hip.SHSU.2017.045.2017.12.24.day13,winter,2017.045,149.05,active,SHSU,149
soil.hip.SHSU.2017.045.2017.12.23.day12,winter,2017.045,139.9,active,SHSU,140
soil.hip.SHSU.2017.045.2017.12.21.day10,winter,2017.045,117.15,active,SHSU,117
soil.hip.SHSU.2017.045.2017.12.22.day11,winter,2017.045,132.15,active,SHSU,132
soil.hip.SHSU.2017.045.2017.12.20.day9,winter,2017.045,99.65,active,SHSU,100
soil.hip.SHSU.2017.045.2017.12.19.day8,winter,2017.045,82.45,active,SHSU,82
soil.hip.SHSU.2017.045.2017.12.17.day6,winter,2017.045,47.45,early,SHSU,47
soil.hip.SHSU.2017.045.2017.12.18.day7,winter,2017.045,61.6,active,SHSU,62
soil.hip.SHSU.2017.045.2017.12.16.day5,winter,2017.045,36.9,early,SHSU,37
soil.hip.SHSU.2017.045.2017.12.15.day4,winter,2017.045,29.15,early,SHSU,29
soil.hip.SHSU.2017.045.2017.12.13.day2,winter,2017.045,7.2,early,SHSU,7
soil.hip.SHSU.2017.045.2017.12.14.day3,winter,2017.045,18.9,early,SHSU,19
soil.hip.SHSU.2017.045.2017.12.12.day1,winter,2017.045,0,day0,SHSU,0
soil.hip.SHSU.2017.043.2017.12.18.day19,winter,2017.043,205,advanced,SHSU,205
soil.hip.SHSU.2017.043.2017.12.19.day20,winter,2017.043,225.85,advanced,SHSU,226
soil.hip.SHSU.2017.043.2017.12.16.day17,winter,2017.043,180.3,active,SHSU,180
soil.hip.SHSU.2017.043.2017.12.14.day15,winter,2017.043,162.3,active,SHSU,162
soil.hip.SHSU.2017.043.2017.12.15.day16,winter,2017.043,172.55,active,SHSU,173
soil.hip.SHSU.2017.043.2017.12.13.day14,winter,2017.043,150.6,active,SHSU,151
soil.hip.SHSU.2017.043.2017.12.12.day13,winter,2017.043,143.4,active,SHSU,143
soil.hip.SHSU.2017.043.2017.12.09.day10,winter,2017.043,111.45,active,SHSU,111
soil.hip.SHSU.2017.043.2017.12.08.day9,winter,2017.043,103.65,active,SHSU,104
soil.hip.SHSU.2017.043.2017.12.06.day7,winter,2017.043,96.1,active,SHSU,96
soil.hip.SHSU.2017.043.2017.12.07.day8,winter,2017.043,100.55,active,SHSU,101
soil.hip.SHSU.2017.043.2017.12.05.day6,winter,2017.043,88.6,active,SHSU,89
soil.hip.SHSU.2017.043.2017.12.04.day5,winter,2017.043,72.5,active,SHSU,73
soil.hip.SHSU.2017.043.2017.12.02.day3,winter,2017.043,31.95,early,SHSU,32
soil.hip.SHSU.2017.043.2017.12.03.day4,winter,2017.043,49.45,early,SHSU,49
soil.hip.SHSU.2017.043.2017.12.01.day2,winter,2017.043,14.75,early,SHSU,15
soil.hip.SHSU.2017.043.2017.11.30.day1,winter,2017.043,0,day0,SHSU,0
soil.hip.UTK.K016.09.2017.Jan.26.day20,winter,K016.09,212.9,advanced,UTK,213
soil.hip.UTK.K016.09.2017.Jan.27.day21,winter,K016.09,215.9,advanced,UTK,216
soil.hip.UTK.K016.09.2017.Jan.25.day19,winter,K016.09,202.2,advanced,UTK,202
soil.hip.UTK.K016.09.2017.Jan.24.day18,winter,K016.09,194.1,active,UTK,194
soil.hip.UTK.K016.09.2017.Jan.22.day16,winter,K016.09,174.6,active,UTK,175
soil.hip.UTK.K016.09.2017.Jan.23.day17,winter,K016.09,186.2,active,UTK,186
soil.hip.UTK.K016.09.2017.Jan.21.day15,winter,K016.09,161,active,UTK,161
soil.hip.UTK.K016.09.2017.Jan.20.day14,winter,K016.09,148.3,active,UTK,148
soil.hip.UTK.K016.09.2017.Jan.18.day12,winter,K016.09,124.1,active,UTK,124
soil.hip.UTK.K016.09.2017.Jan.19.day13,winter,K016.09,133.9,active,UTK,134
soil.hip.UTK.K016.09.2017.Jan.17.day11,winter,K016.09,109.7,active,UTK,110
soil.hip.UTK.K016.09.2017.Jan.16.day10,winter,K016.09,94.1,active,UTK,94
soil.hip.UTK.K016.09.2017.Jan.14.day8,winter,K016.09,64.5,active,UTK,65
soil.hip.UTK.K016.09.2017.Jan.15.day9,winter,K016.09,80.4,active,UTK,80
soil.hip.UTK.K016.09.2017.Jan.13.day7,winter,K016.09,49.3,early,UTK,49
soil.hip.UTK.K016.09.2017.Jan.12.day6,winter,K016.09,32.8,early,UTK,33
soil.hip.UTK.K016.09.2017.Jan.10.day4,winter,K016.09,3.9,early,UTK,4
soil.hip.UTK.K016.09.2017.Jan.11.day5,winter,K016.09,15.8,early,UTK,16
soil.hip.UTK.K016.09.2017.Jan.09.day3,winter,K016.09,0,early,UTK,0
soil.hip.UTK.K016.09.2017.Jan.08.day2,winter,K016.09,0,early,UTK,0
soil.hip.UTK.K016.07.2017.Jan.26.day20,winter,K016.07,212.9,advanced,UTK,213
soil.hip.UTK.K016.07.2017.Jan.25.day19,winter,K016.07,202.2,advanced,UTK,202
soil.hip.UTK.K016.07.2017.Jan.23.day17,winter,K016.07,186.2,active,UTK,186
soil.hip.UTK.K016.07.2017.Jan.24.day18,winter,K016.07,194.1,active,UTK,194
soil.hip.UTK.K016.07.2017.Jan.22.day16,winter,K016.07,174.6,active,UTK,175
soil.hip.UTK.K016.07.2017.Jan.19.day13,winter,K016.07,133.9,active,UTK,134
soil.hip.UTK.K016.07.2017.Jan.20.day14,winter,K016.07,148.3,active,UTK,148
soil.hip.UTK.K016.07.2017.Jan.18.day12,winter,K016.07,124.1,active,UTK,124
soil.hip.UTK.K016.07.2017.Jan.17.day11,winter,K016.07,109.7,active,UTK,110
soil.hip.UTK.K016.07.2017.Jan.15.day9,winter,K016.07,80.4,active,UTK,80
soil.hip.UTK.K016.07.2017.Jan.16.day10,winter,K016.07,94.1,active,UTK,94
soil.hip.UTK.K016.07.2017.Jan.11.day5,winter,K016.07,15.8,early,UTK,16
soil.hip.UTK.K016.07.2017.Jan.12.day6,winter,K016.07,32.8,early,UTK,33
soil.hip.UTK.K016.07.2017.Jan.10.day4,winter,K016.07,3.9,early,UTK,4
soil.hip.UTK.K016.07.2017.Jan.06.day1,winter,K016.07,0,day0,UTK,0
soil.hip.UTK.K016.07.2017.Jan.08.day2,winter,K016.07,0,early,UTK,0
soil.hip.UTK.K016.08.2017.Jan.27.day21,winter,K016.08,215.9,advanced,UTK,216
soil.hip.UTK.K016.08.2017.Jan.26.day20,winter,K016.08,212.9,advanced,UTK,213
soil.hip.UTK.K016.08.2017.Jan.24.day18,winter,K016.08,194.1,active,UTK,194
soil.hip.UTK.K016.08.2017.Jan.23.day17,winter,K016.08,186.2,active,UTK,186
soil.hip.UTK.K016.08.2017.Jan.22.day16,winter,K016.08,174.6,active,UTK,175
soil.hip.UTK.K016.08.2017.Jan.20.day14,winter,K016.08,148.3,active,UTK,148
soil.hip.UTK.K016.08.2017.Jan.21.day15,winter,K016.08,161,active,UTK,161
soil.hip.UTK.K016.08.2017.Jan.19.day13,winter,K016.08,133.9,active,UTK,134
soil.hip.UTK.K016.08.2017.Jan.16.day10,winter,K016.08,94.1,active,UTK,94
soil.hip.UTK.K016.08.2017.Jan.17.day11,winter,K016.08,109.7,active,UTK,110
soil.hip.UTK.K016.08.2017.Jan.15.day9,winter,K016.08,80.4,active,UTK,80
soil.hip.UTK.K016.08.2017.Jan.14.day8,winter,K016.08,64.5,active,UTK,65
