sample_name	season	subjects	add_0c	add_0c_group	facility	climate	timepoint	traintest_0	traintest_1	traintest_2	traintest_3	traintest_4	traintest_5	traintest_6	traintest_7	traintest_8	traintest_9
soil.hip.UTK.K016.07.2017.Jan.26.day20	winter	K016.07	212.9	advanced	ARF	temperate	20	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.22.day16	winter	K016.07	174.6	active	ARF	temperate	16	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.07.2017.Jan.12.day6	winter	K016.07	32.8	early	ARF	temperate	6	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.16.day10	winter	K016.07	94.1	active	ARF	temperate	10	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.06.day1	winter	K016.07	0	initial	ARF	temperate	1	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.25.day19	winter	K016.07	202.2	advanced	ARF	temperate	19	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.19.day13	winter	K016.07	133.9	active	ARF	temperate	13	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.24.day18	winter	K016.07	194.1	active	ARF	temperate	18	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.10.day4	winter	K016.07	3.9	early	ARF	temperate	4	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.07.2017.Jan.23.day17	winter	K016.07	186.2	active	ARF	temperate	17	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.15.day9	winter	K016.07	80.4	active	ARF	temperate	9	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.18.day12	winter	K016.07	124.1	active	ARF	temperate	12	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.11.day5	winter	K016.07	15.8	early	ARF	temperate	5	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.07.2017.Jan.08.day2	winter	K016.07	0	early	ARF	temperate	2	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.07.2017.Jan.20.day14	winter	K016.07	148.3	active	ARF	temperate	14	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.07.2017.Jan.17.day11	winter	K016.07	109.7	active	ARF	temperate	11	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.15.day9	winter	K016.08	80.4	active	ARF	temperate	9	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.23.day17	winter	K016.08	186.2	active	ARF	temperate	17	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.08.2017.Jan.08.day2	winter	K016.08	0	early	ARF	temperate	2	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.17.day11	winter	K016.08	109.7	active	ARF	temperate	11	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.21.day15	winter	K016.08	161	active	ARF	temperate	15	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.08.2017.Jan.27.day21	winter	K016.08	215.9	advanced	ARF	temperate	21	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.08.2017.Jan.11.day5	winter	K016.08	15.8	early	ARF	temperate	5	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.16.day10	winter	K016.08	94.1	active	ARF	temperate	10	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.14.day8	winter	K016.08	64.5	active	ARF	temperate	8	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.26.day20	winter	K016.08	212.9	advanced	ARF	temperate	20	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.10.day4	winter	K016.08	3.9	early	ARF	temperate	4	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.13.day7	winter	K016.08	49.3	early	ARF	temperate	7	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.22.day16	winter	K016.08	174.6	active	ARF	temperate	16	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.06.day1	winter	K016.08	0	initial	ARF	temperate	1	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.20.day14	winter	K016.08	148.3	active	ARF	temperate	14	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.09.day3	winter	K016.08	0	early	ARF	temperate	3	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.24.day18	winter	K016.08	194.1	active	ARF	temperate	18	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.08.2017.Jan.19.day13	winter	K016.08	133.9	active	ARF	temperate	13	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.18.day14	spring	UTK.K016.01	176.9444445	active	ARF	temperate	14	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.17.day13	spring	UTK.K016.01	157.7777778	active	ARF	temperate	13	train	train	train	train	train	train	train	train	train	train
