sample_name,season,subjects,add_0c,add_0c_group,facility,climate,timepoint,traintest_0,traintest_1,traintest_2,traintest_3,traintest_4,traintest_5,traintest_6,traintest_7,traintest_8,traintest_9,metabolite_logratio,mag_logratio,18S_logratio,gene_module_logratio
soil.hip.UTK.K016.07.2017.Jan.26.day20,winter,K016.07,212.9,advanced,ARF,temperate,20,train,train,train,train,train,train,train,train,train,train,1.164884137481513,-6.617042849807156,-6.058528286287915,5.491613940375648
soil.hip.UTK.K016.07.2017.Jan.22.day16,winter,K016.07,174.6,active,ARF,temperate,16,test,test,test,test,test,test,test,test,test,test,1.0958982801170052,-5.667372635719833,-2.3650027225624797,5.546176906994395
soil.hip.UTK.K016.07.2017.Jan.12.day6,winter,K016.07,32.8,early,ARF,temperate,6,train,train,train,train,train,train,train,train,train,train,0.254516122721931,-6.1086794125857535,-4.533861048118791,6.651561905232674
soil.hip.UTK.K016.07.2017.Jan.16.day10,winter,K016.07,94.1,active,ARF,temperate,10,train,train,train,train,train,train,train,train,train,train,0.8145278435550463,-9.36251414591317,-9.141733140406313,5.361544025483554
soil.hip.UTK.K016.07.2017.Jan.06.day1,winter,K016.07,0.0,initial,ARF,temperate,1,train,train,train,train,train,train,train,train,train,train,0.5949395509642397,-10.13492390471617,-4.382938578875512,
soil.hip.UTK.K016.07.2017.Jan.25.day19,winter,K016.07,202.2,advanced,ARF,temperate,19,train,train,train,train,train,train,train,train,train,train,1.6222626829380857,-6.1199838493560375,-2.1465622970479004,4.408944271638385
soil.hip.UTK.K016.07.2017.Jan.19.day13,winter,K016.07,133.9,active,ARF,temperate,13,train,train,train,train,train,train,train,train,train,train,-1.7660456439283507,-5.0973248133562175,-5.258615027997899,
soil.hip.UTK.K016.07.2017.Jan.24.day18,winter,K016.07,194.1,active,ARF,temperate,18,train,train,train,train,train,train,train,train,train,train,0.6706722049685343,-6.23181279691133,-3.7542895654304234,5.779378652468843
soil.hip.UTK.K016.07.2017.Jan.10.day4,winter,K016.07,3.9,early,ARF,temperate,4,test,test,test,test,test,test,test,test,test,test,1.2420661930973047,,-4.478520028496704,
soil.hip.UTK.K016.07.2017.Jan.23.day17,winter,K016.07,186.2,active,ARF,temperate,17,train,train,train,train,train,train,train,train,train,train,0.66936061959127,-8.00231972962327,-6.505314602903998,5.089667955551275
soil.hip.UTK.K016.07.2017.Jan.15.day9,winter,K016.07,80.4,active,ARF,temperate,9,train,train,train,train,train,train,train,train,train,train,1.1077451134609984,-10.86665943531655,-8.086245682172635,
soil.hip.UTK.K016.07.2017.Jan.18.day12,winter,K016.07,124.1,active,ARF,temperate,12,train,train,train,train,train,train,train,train,train,train,1.3822509748529797,-9.392752064857746,-4.662471301164579,
soil.hip.UTK.K016.07.2017.Jan.11.day5,winter,K016.07,15.8,early,ARF,temperate,5,train,train,train,train,train,train,train,train,train,train,1.3247841237380076,-9.18995857565299,-4.008136613234982,
soil.hip.UTK.K016.07.2017.Jan.08.day2,winter,K016.07,0.0,early,ARF,temperate,2,test,test,test,test,test,test,test,test,test,test,0.9422194126107133,-8.588888144169344,-3.55540824172925,
soil.hip.UTK.K016.07.2017.Jan.20.day14,winter,K016.07,148.3,active,ARF,temperate,14,test,test,test,test,test,test,test,test,test,test,1.2786935330084344,-6.436855355226654,-3.8315406283204645,
soil.hip.UTK.K016.07.2017.Jan.17.day11,winter,K016.07,109.7,active,ARF,temperate,11,train,train,train,train,train,train,train,train,train,train,0.07471589036900284,-7.86226697462031,-7.751786411242134,
soil.hip.UTK.K016.08.2017.Jan.15.day9,winter,K016.08,80.4,active,ARF,temperate,9,train,train,train,train,train,train,train,train,train,train,1.5623443386619904,-8.885013038669879,-5.350501669005496,6.776594915314398
soil.hip.UTK.K016.08.2017.Jan.23.day17,winter,K016.08,186.2,active,ARF,temperate,17,test,test,test,test,test,test,test,test,test,test,0.8269575528934183,,-7.807651537850778,
soil.hip.UTK.K016.08.2017.Jan.08.day2,winter,K016.08,0.0,early,ARF,temperate,2,train,train,train,train,train,train,train,train,train,train,1.3350172913597422,,-2.491339648146294,5.113586166075585
soil.hip.UTK.K016.08.2017.Jan.17.day11,winter,K016.08,109.7,active,ARF,temperate,11,train,train,train,train,train,train,train,train,train,train,1.5858634164078413,-8.902957787014753,,
soil.hip.UTK.K016.08.2017.Jan.21.day15,winter,K016.08,161.0,active,ARF,temperate,15,test,test,test,test,test,test,test,test,test,test,-1.0107323298876594,-10.208602507590102,-8.886471379762629,5.776456968466713
soil.hip.UTK.K016.08.2017.Jan.27.day21,winter,K016.08,215.9,advanced,ARF,temperate,21,test,test,test,test,test,test,test,test,test,test,2.314774841148072,-5.984299008646995,-7.587701422291882,5.12993436546904
soil.hip.UTK.K016.08.2017.Jan.11.day5,winter,K016.08,15.8,early,ARF,temperate,5,train,train,train,train,train,train,train,train,train,train,0.9912954874142486,-8.092794807248785,-7.8432833111418985,
soil.hip.UTK.K016.08.2017.Jan.16.day10,winter,K016.08,94.1,active,ARF,temperate,10,train,train,train,train,train,train,train,train,train,train,1.338102698917723,-9.381098149621668,-5.523885457205924,
soil.hip.UTK.K016.08.2017.Jan.14.day8,winter,K016.08,64.5,active,ARF,temperate,8,train,train,train,train,train,train,train,train,train,train,0.9963633101434173,-7.1245457893800115,-8.48238568225859,
soil.hip.UTK.K016.08.2017.Jan.26.day20,winter,K016.08,212.9,advanced,ARF,temperate,20,train,train,train,train,train,train,train,train,train,train,2.4428500147728283,-7.0593500590295095,-8.272943325536934,
soil.hip.UTK.K016.08.2017.Jan.10.day4,winter,K016.08,3.9,early,ARF,temperate,4,train,train,train,train,train,train,train,train,train,train,2.603230188820289,-7.798995168830943,-8.063377822367027,
soil.hip.UTK.K016.08.2017.Jan.13.day7,winter,K016.08,49.3,early,ARF,temperate,7,train,train,train,train,train,train,train,train,train,train,1.7467032762424957,-9.360996252513695,-5.294115625539655,
soil.hip.UTK.K016.08.2017.Jan.22.day16,winter,K016.08,174.6,active,ARF,temperate,16,train,train,train,train,train,train,train,train,train,train,1.7367262540103034,-9.006450899576944,-7.511068382739269,
soil.hip.UTK.K016.08.2017.Jan.06.day1,winter,K016.08,0.0,initial,ARF,temperate,1,train,train,train,train,train,train,train,train,train,train,0.8897558315125718,-7.995117783388124,-6.773330630380399,
soil.hip.UTK.K016.08.2017.Jan.20.day14,winter,K016.08,148.3,active,ARF,temperate,14,train,train,train,train,train,train,train,train,train,train,1.1413910767054016,-9.05925624120361,-8.832616882049678,5.425571270744958
soil.hip.UTK.K016.08.2017.Jan.09.day3,winter,K016.08,0.0,early,ARF,temperate,3,train,train,train,train,train,train,train,train,train,train,2.604098305477052,,,
soil.hip.UTK.K016.08.2017.Jan.24.day18,winter,K016.08,194.1,active,ARF,temperate,18,train,train,train,train,train,train,train,train,train,train,-1.5751581704814317,-6.432296000008868,-4.796226737208986,
soil.hip.UTK.K016.08.2017.Jan.19.day13,winter,K016.08,133.9,active,ARF,temperate,13,train,train,train,train,train,train,train,train,train,train,1.9155518768879567,-6.533867917338337,-8.205469584699166,3.958306977073756
soil.hip.UTK.K016.01.2016.04.18.day14,spring,UTK.K016.01,176.9444445,active,ARF,temperate,14,train,train,train,train,train,train,train,train,train,train,2.6029033592214095,4.790586315876229,-5.916181947346993,3.9686830622132945
soil.hip.UTK.K016.01.2016.04.17.day13,spring,UTK.K016.01,157.7777778,active,ARF,temperate,13,train,train,train,train,train,train,train,train,train,train,2.405967195786003,6.479075012701616,,4.689293570247258
soil.hip.UTK.K016.01.2016.04.13.day9,spring,UTK.K016.01,90.27777779,active,ARF,temperate,9,train,train,train,train,train,train,train,train,train,train,2.637990988957972,-1.3821080365949623,,4.374659163724164
