axis1,0DH:ubiquinone oxidoreductase mitochondria,Acinetobacter baumannii B (s),Acinetobacter rudis (s),Adhesin protein transport system,Animalia ( k),Apiotrichum ( g),Arginine/lysine/histidine/glutamine transport system,Arginine/ornithine transport system,Bacteroides E (g),Benzene and substituted derivatives,Candida ( g),Carbamate esters,Carbazole degradation carbazole to 2-oxopent-4-enoate   anthranilate,Carboxylic acids,Catellicoccaceae (f),Curcuminoids,Cytochrome o ubiquinol oxidase,D-Methionine transport system,D0 polymerase II complex archaea,Debaryomycetaceae ( fs),Eurotiales ( os),Fatty Acyls,Fatty acid esters,Fatty acids and conjugates,Fatty amides,Fluoroquinolone transport system,Geotrichum ( g),Ignatzschineria (g),Ignatzschineria cameli (s),Ignatzschineria larvae (s),Klebsiella pneumoniae (s),Lineolic acids and derivatives,Long-chain fatty acids,Medium-chain fatty acids,Monosaccharides,Morganella morganii (s),Na -transporting 0DH:ubiquinone oxidoreductase-,Oblitimonas alkaliphila (s),Ornithine biosynthesis mediated by LysW glutamate to ornithine,Peptoniphilaceae (f),Planococcaceae (f),Putrescine transport system,R0 polymerase archaea,RNF complex,Rhabditida ( g),Savagea sp009740415 (s),Taurine transport system,Tissierellales (o),Trehalose transport system,Trichosporonaceae ( fs),Type I signiture cas proteins,Tyrosine biosynthesis prephanate to pretyrosine to tyrosine,Universal Cas proteins,Vagococcus A lutrae (s),Wohlfahrtiimonadaceae (f),Wohlfahrtiimonas chitiniclastica (s),Yarrowia ( g)
0DH:ubiquinone oxidoreductase mitochondria,0.9999999999999998,0.5905421216725987,0.7797113673394745,0.8987885523846411,0.6968789164037236,0.6656001729821305,0.8296124181172968,0.8244189651845448,0.5462238147015525,0.09729697736008792,0.5360497642333767,0.3735660305675321,0.6776450241747733,0.5696644888191573,0.5175264831063652,0.6846036018704654,0.6226671746194327,0.914025435623555,0.5673799511262477,0.18248144548046072,-0.01990240614380044,0.7466561739295412,0.6201142518232761,0.731550273381089,0.641308246911988,0.5054940799210274,0.6092992981418768,0.4849544883349291,0.605846218310448,0.4843705213588783,0.9464800073310115,0.39510252441479343,0.6748984224103782,0.7050950908778513,0.6500263056095137,0.8133928525134033,0.6809457068281165,0.5593460042537804,0.8151969028312381,0.583161696692732,0.44125679067598994,0.6122528115578677,0.41524586108314526,0.8021717503857355,0.23535949135880932,0.562841967032388,0.8094753882264857,0.4159001899725655,0.36455222625239503,0.5601369984607603,0.7725208999672057,0.8626085761620246,0.6764299427412779,0.6080472360752285,0.19229051112630438,0.6919702930662548,0.3525895692030136
Acinetobacter baumannii B (s),0.5905421216725987,1.0000000000000002,0.5579499596689411,0.6417315291111759,0.32394140456877646,0.007918952309684752,0.6569651690168247,0.19598084632293883,-0.1873941976049809,-0.7108151853576149,-0.199735216102507,-0.41444335822275136,0.3010755200932284,0.7615443798260592,-0.14342673796464284,0.7279656586519798,0.5466201318293326,0.4171114705033255,0.12453290832616205,-0.5485758086011273,-0.6796672524344203,-0.02423954677447928,-0.07260446322706215,0.21240999026755,0.7915011832308342,0.20695957280933802,0.28359379686808045,-0.11719839149774589,-0.04219641366181605,-0.19156743942699567,0.7782753272153403,-0.03850550675924731,0.5340127911847216,-0.027408031781384262,0.574693811346314,0.5974016585927174,0.11724282134996461,-0.09956087041498642,0.6850304969849234,-0.17881283397427583,-0.2834080452186186,0.24429672935168037,0.04410886880263205,0.2883282354553917,-0.6352611775118804,-0.15094822536889085,0.5553361792819878,-0.36065868577916477,-0.1873055312028463,-0.2666658252860815,0.19791812394879124,0.41521254418555414,-0.0778743055029498,-0.005876230280187509,-0.591647148202485,0.1731331587926377,-0.18579854735856838
Acinetobacter rudis (s),0.7797113673394745,0.557949959668941,1.0000000000000002,0.9723245644293592,0.6709884504903135,0.3621706321923623,0.7228500642836779,0.8435223786124969,0.6716666279882209,-0.12660954808825542,0.5959486768173935,-0.07257771025555934,0.07175855351000919,0.5563901836554452,0.7289830324921771,0.9494159216207609,0.88028317344696,0.8456612314066355,0.32521305009738943,0.3833010275392829,0.11589745167559612,0.3091164895081811,0.18325644866216156,0.1541540548319427,0.8535941204703391,0.24376325440702032,0.8710583905954151,0.753235466899833,0.7927366612436044,0.680019891742844,0.8414728548436796,0.290025689209913,0.7114917188415721,0.3348172414971225,0.6810618223743522,0.9971916345532407,0.8581952009568649,0.7400492330552899,0.4527641741124411,0.6769497242294504,0.6262497797002519,0.9038308177646234,0.19168531238186087,0.904970430827942,0.13417907610181218,0.7148556307043916,0.9967465740086477,0.5482969580948325,0.1674711201730022,0.4671107783237598,0.8757999377385031,0.9595975840860892,0.697066122842753,0.8188301555095847,0.3104595494653205,0.9048843479166341,0.5525322842462984
Adhesin protein transport system,0.8987885523846411,0.6417315291111759,0.9723245644293592,1.0,0.688928673509981,0.44795179443935756,0.7914620071852287,0.8503823858657115,0.6225387722309038,-0.11094888414847352,0.5541736853087258,0.038589988118502665,0.29692472511322443,0.6381240335416264,0.6577941586713594,0.9222765163629892,0.8235779591968033,0.9123135272048977,0.39059391853729575,0.28188365567439444,0.010732030378259342,0.4552803835533954,0.3331191235522868,0.35992931812025075,0.8544062727000135,0.31887780810868116,0.7956214698477425,0.6575686358756174,0.7353562214854449,0.6135231028246196,0.9401331732891214,0.3333383157059011,0.7528941302406369,0.45333512933812353,0.7378806045191922,0.9831722183043253,0.8207061723662458,0.6712091038630466,0.6103289241648957,0.6374672715204717,0.5503048832628346,0.8206321374051044,0.24142209830411984,0.9046353583643497,0.12087371038794988,0.6569970556943,0.9778220656925591,0.4827042597832201,0.1948509682596173,0.4720097467636006,0.8542311187085821,0.9641323424653949,0.682922090853606,0.7559343851778072,0.22876753050517226,0.8558365598857682,0.4665444004041736
Animalia ( k),0.6968789164037236,0.32394140456877646,0.6709884504903135,0.6889286735099812,0.8263833317408293,0.757685499137665,0.8438330404684479,0.7992986123658433,0.5545117340809813,0.2715078776677487,0.7282856560525671,0.3628804906820355,0.2718985268761156,0.028823013581615004,0.5052285784212353,0.5098340966204148,0.7847734508784453,0.5604564597043397,0.7958605173606151,0.33308876207304705,0.3807894615455473,0.49395343354490834,0.2627503139459225,0.4161449769072831,0.3326034438882333,0.7479006994354579,0.8099263775111364,0.6126533572460459,0.5833776353250416,0.42983298012463567,0.5877093685421739,0.17474623870917175,0.32766116345521357,0.5663417652768499,0.12294220387514497,0.697976554574277,0.5341534222597021,0.6953031989482118,0.6656304982668485,0.5971909060381035,0.5035507219042445,0.7583240925450087,0.7300910922695598,0.576752028456242,0.35151735499295084,0.6154808162036624,0.7169902864513388,0.494993941872974,0.697731419154659,0.6817649456459366,0.7980941800484338,0.7021509887130676,0.7287624957474845,0.5918977273202581,0.3852191396833053,0.6085116622937394,0.5905681901356523
Apiotrichum ( g),0.6656001729821305,0.007918952309684762,0.36217063219236234,0.4479517944393576,0.757685499137665,0.9783898047396914,0.7116167999538412,0.7520358244341826,0.5655716090762285,0.6762725150604677,0.786903577816267,0.8132298087594227,0.576295300124278,-0.21710306808194701,0.44407148264327806,0.10663793657755553,0.4518496242107326,0.49035834983558574,0.9324281098113869,0.4115508237840729,0.5414993450907846,0.8122899302996288,0.5916243714208591,0.7374185898210138,-0.0630029497057404,0.8647394127838229,0.568818561128556,0.5056123818307777,0.5052076920233766,0.39428443902208565,0.4123614306703145,0.2708573928791877,0.13811214225536017,0.842081474610376,-0.0804195445968972,0.39966900110281073,0.4068647086484199,0.6411680474980263,0.6845481226565352,0.6270398156968322,0.507071438248889,0.5119415154767782,0.8779186336336627,0.4399767600650681,0.6561217428007861,0.5975676315103677,0.431647337846187,0.5589852398020705,0.9099213828165679,0.8625869958754452,0.6945647576622326,0.5266202015073271,0.7734032608486792,0.4855396224730692,0.5328064449387445,0.439370281874132,0.5471571424654715
Arginine/lysine/histidine/glutamine transport system,0.8296124181172968,0.6569651690168247,0.722850064283678,0.7914620071852287,0.8438330404684479,0.7116167999538412,1.0000000000000002,0.7344063240395713,0.35142087873252853,0.001300317100082512,0.5318244514104465,0.22496315674477804,0.4294420200967357,0.2678424620871101,0.30662226327430886,0.6415616950568364,0.8435637817156407,0.6017953314730453,0.7985042892984998,0.020245384889400756,0.05617420253326026,0.459898199844985,0.23300354572986448,0.5180189158571563,0.514190539797716,0.800175904505445,0.7582056140309684,0.41412164758654235,0.4179052338505681,0.22144026349348955,0.7841214786054223,0.11938127151765729,0.4359074672315288,0.51984963525609,0.2587140337911398,0.7690864354880055,0.4282858175193062,0.5109682538742213,0.8987538787770826,0.3983352916368821,0.26329346044866914,0.684174443426915,0.718840917086364,0.5409093227978495,0.06264568716644525,0.4176225545617131,0.7696514577483486,0.2381363133521707,0.591252636388774,0.4896114731937076,0.7225441537703047,0.7088529326565378,0.5718409455759089,0.4357392986554687,0.07022094976869946,0.5144730907039015,0.39885779635981444
Arginine/ornithine transport system,0.8244189651845448,0.1959808463229389,0.8435223786124969,0.8503823858657115,0.7992986123658435,0.7520358244341826,0.7344063240395713,1.0,0.8814553825719124,0.41224275717045517,0.902748619108066,0.4578188555921568,0.3003003813899104,0.19861818106516188,0.8600430863533126,0.6367000603510196,0.7528861151167635,0.8551437210025375,0.6445859833769895,0.6601052951627745,0.5064113842419866,0.6872003948387425,0.5072109118902078,0.4598544279382198,0.47582595362688446,0.5177476192977386,0.8763354378461311,0.8817496830562539,0.9124021665599662,0.8164768486565643,0.704548371432727,0.4119905283762968,0.5390529219469855,0.7075718728791711,0.4222229462769554,0.8480305295218536,0.888100734404666,0.9292089445314143,0.513009677731114,0.9118129050562971,0.837713759539917,0.8958794459676809,0.5206817830883206,0.9013078356970043,0.602948238366798,0.9150171677250465,0.8726124123757948,0.8194904948533721,0.584247772939852,0.8630765664236846,0.9913806603848373,0.9398937323180202,0.9622071054864223,0.9125185094448198,0.665243090575663,0.9161668215431604,0.741391608682708
Bacteroides E (g),0.5462238147015525,-0.1873941976049809,0.6716666279882209,0.6225387722309038,0.5545117340809813,0.5655716090762284,0.3514208787325284,0.8814553825719125,0.9733647663337199,0.5729642356520206,0.9047335212249914,0.4656500562624584,0.07337039773955496,0.037374327702513976,0.9727603696231044,0.43708047546540696,0.5013148388184211,0.732485193949244,0.37998605461517326,0.9036237239585281,0.6978858279344526,0.5991950648133477,0.48971624275512926,0.24332587040756332,0.2850506383394567,0.20787322008481882,0.7281888210307297,0.9494783740621962,0.9704514436912073,0.9635748723840699,0.40922170371167865,0.45581282833117565,0.41335214311327995,0.602118726779781,0.3491851623920695,0.6464698057088455,0.9169514631445802,0.9504998941128164,0.09280614433707216,0.9842789400156217,0.9779925281366204,0.7970921673005698,0.273034023877561,0.8520771458086673,0.7885029040366299,0.9816677665912302,0.6820544040704644,0.9701947145331583,0.44412074045794947,0.8671025036064008,0.8847534747351766,0.803184602871714,0.9434697981500886,0.960315758816795,0.8812567092272896,0.9071870969223479,0.7794495405127945
Benzene and substituted derivatives,0.09729697736008792,-0.7108151853576149,-0.12660954808825542,-0.11094888414847352,0.27150787766774875,0.6762725150604676,0.0013003171000824886,0.41224275717045517,0.5729642356520206,1.0000000000000002,0.693496926833149,0.90421769134472,0.2616597967358378,-0.6156278916131164,0.45916069977750085,-0.42945383596278786,-0.12141153806951853,0.1266869888355527,0.5177600297296656,0.7091464798122457,0.8374758854774019,0.6622329946655638,0.5645391845468556,0.42856203623267203,-0.5727514675353131,0.39772771538307267,0.16214160454702203,0.45027525872062,0.4261422351189645,0.4703718541106546,-0.2160794658098942,0.2838348996950507,-0.2217971350588765,0.6605341978137347,-0.3681349496218316,-0.13029921176279918,0.2605244447410101,0.529291778325796,-0.013117617386688148,0.6083106324969954,0.5942951452469551,0.16733084926640382,0.5185229299582036,0.16698727380558656,0.9489909295962655,0.5578531093158992,-0.07941830068354998,0.6857313481825861,0.7209701231926521,0.8115618671546497,0.35978185190871986,0.11377092382172309,0.6227177121568789,0.3828044032226818,0.8164458850442514,0.2259888342663161,0.5011361855823065
