axis1,0DH:ubiquinone oxidoreductase mitochondria,Acinetobacter baumannii B (s),Acinetobacter rudis (s),Adhesin protein transport system,Animalia ( k),Apiotrichum ( g),Arginine/lysine/histidine/glutamine transport system,Arginine/ornithine transport system,Bacteroides E (g),Benzene and substituted derivatives,Candida ( g),Carbamate esters,Carbazole degradation carbazole to 2-oxopent-4-enoate   anthranilate,Carboxylic acids,Catellicoccaceae (f),Curcuminoids,Cytochrome o ubiquinol oxidase,D-Methionine transport system,D0 polymerase II complex archaea,Debaryomycetaceae ( fs),Eurotiales ( os),Fatty Acyls,Fatty acid esters,Fatty acids and conjugates,Fatty amides,Fluoroquinolone transport system,Geotrichum ( g),Ignatzschineria (g),Ignatzschineria cameli (s),Ignatzschineria larvae (s),Klebsiella pneumoniae (s),Lineolic acids and derivatives,Long-chain fatty acids,Medium-chain fatty acids,Monosaccharides,Morganella morganii (s),Na -transporting 0DH:ubiquinone oxidoreductase-,Oblitimonas alkaliphila (s),Ornithine biosynthesis mediated by LysW glutamate to ornithine,Peptoniphilaceae (f),Planococcaceae (f),Putrescine transport system,R0 polymerase archaea,RNF complex,Rhabditida ( g),Savagea sp009740415 (s),Taurine transport system,Tissierellales (o),Trehalose transport system,Trichosporonaceae ( fs),Type I signiture cas proteins,Tyrosine biosynthesis prephanate to pretyrosine to tyrosine,Universal Cas proteins,Vagococcus A lutrae (s),Wohlfahrtiimonadaceae (f),Wohlfahrtiimonas chitiniclastica (s),Yarrowia ( g)
0DH:ubiquinone oxidoreductase mitochondria,41.55582611707464,54.45231865212108,36.56134262272194,32.02572604997361,20.83314691913321,28.362735636436366,40.05064178775452,33.030623088741834,33.65720601622739,1.5818228784357093,29.74619095245034,5.428861227876818,35.10696818203866,11.786091631574887,33.13416636603461,5.3906470600875975,21.121825220482226,50.64650393871332,30.08940064931482,11.763644398647713,-1.5417706277789345,8.664870502987888,7.786744964858723,6.806380363270234,18.83855882815571,32.027092553869075,24.950000451329732,34.60037716388444,40.02884722201262,28.27551910406822,41.26666262378426,5.908434665175898,13.117645616480592,5.157282753837201,7.179739711470729,36.58937161700351,33.01219937822962,58.8349526599193,29.75198609852698,40.932024209861304,31.52295239948326,20.275853957579564,23.90254115638748,37.49877189743563,9.687934324823159,44.51451940995581,25.087219386199827,29.167451004263867,26.437127002553346,24.77225138769042,31.948233388548733,22.212104776142333,23.27093909405451,39.60356084008022,16.93975763895355,42.99685397872069,16.635859712102434
Acinetobacter baumannii B (s),54.45231865212108,204.5969118247379,58.05198807216995,50.737423117668285,15.461955963586176,0.42344568120602116,70.37366304693231,17.422721644250096,-26.443023164360977,-25.641815918381052,-24.593167793714642,-13.364112525350242,34.60988004712326,34.960646881486,-20.37544806872643,12.718801450795567,41.142878445617555,51.28341062489305,14.65403617006386,-78.46814830486858,-116.82723694511975,-0.6241651094761735,-3.249569838711177,4.385110628124315,51.59005564137178,29.095145763081966,25.76737536303377,-18.553894287654273,-6.186140790508976,-24.81350725397838,75.29302438846251,-5.148073582142166,24.132563648801074,-1.238900671372203,14.084708560505515,59.62859825736049,12.611937532520315,-23.23684334076921,55.474950668492916,-27.848800541363083,-44.92429140910987,17.95145256673233,5.633758928975787,29.906833442084583,-58.02102027170334,-26.41820860091876,38.1890120998709,-56.122800114620915,-30.13968312265433,-26.168098002981534,18.161668869828617,23.72356676295766,-5.944548151384053,-0.8492377695181617,-115.65001437454295,23.870584836598397,-27.087003339227312
Acinetobacter rudis (s),36.56134262272194,58.05198807216994,52.910835505795255,39.09390554511088,21.1676896084609,17.27438203449897,39.37665396073082,38.13482439375144,46.80820492815599,-2.3226368503239354,37.31568871586284,-1.190148010089074,4.194895023904765,12.989321740585353,52.664411971445666,8.435572817241468,33.69412813437822,52.87421847418734,19.460942330071205,27.881716590957733,10.130815813370733,4.047808315404289,2.664051017411913,1.6183905752942238,28.293626454941812,17.427136386169362,40.247925276239506,60.64108460220428,59.1011558570171,44.793072058197076,41.39847686521245,5.008136601361848,15.421923500709276,1.7867697924335566,8.488298691491568,50.616204403761536,46.946628047748604,87.83585452780598,18.645835400260022,53.61508473101125,50.482333300696475,33.77472807493872,12.450418471833707,47.73538391418964,6.232189006888896,63.780991874973694,34.85699788712965,43.389190157955355,13.704108151814397,23.310278202428908,40.869363131738986,27.881840419713164,27.059602460778834,60.17929492685284,30.861050918071353,63.44518316238077,33.204339660171335
Adhesin protein transport system,32.02572604997361,50.737423117668285,39.093905545110886,30.552797648141798,16.664115653136008,16.290547309824184,32.76225900718472,29.214104611863036,32.934945238788075,-1.5466461839711008,26.36827282220835,0.48086762563142427,13.190065940176323,11.320491915387466,36.11129092704399,6.226907304858985,23.95464395579848,43.345581789693156,17.761292251004832,15.581260989883143,0.7128622354214764,4.530330500252248,3.5572426738697382,2.8714337036822046,21.520621570397573,17.323485181794414,27.935465056373943,40.22818807105925,41.65987711895794,30.709541712113808,35.14688268096454,4.212540353889401,12.49958675899773,2.3224265503103037,6.988329829587917,37.92221786704511,34.11608632239606,60.537187249367086,19.09971668736862,38.36557005276849,33.70919508973724,23.302709367890145,11.91585786496164,36.26041507169071,4.266196494162034,44.54834304214696,25.984732123659104,29.02685753241162,12.116204715149946,17.899121541450057,30.291552376238226,21.287375708553224,20.145209061047794,42.217309225571796,17.280378644405243,45.59839919882543,20.70144528101567
Animalia ( k),20.833146919133213,15.461955963586178,21.1676896084609,16.664115653136008,20.49203573757384,26.61226935724927,30.050208185127897,24.144022601268677,26.43309479390654,4.791635129228081,32.516555386628944,5.164622412142999,11.621656035228172,-1.3983744486527143,24.20393880553006,2.4053750245262475,18.881820286544823,21.465956575456133,34.535149635731436,18.37308703505926,27.598976029503394,4.780103892921543,3.490511561083694,3.2174770982491196,4.682157141193793,38.75037266102196,24.413263617563654,33.10520046018223,28.65355232460634,18.758652880468844,16.908238715283733,2.666023260956274,3.2649287907097566,3.307334610764883,0.1573493495981224,21.279747337787796,18.256942164958406,56.4579413830265,18.146744327468387,32.71468943104784,28.180947600192724,18.267546525228212,35.11798339623473,18.705416209381575,13.765235849234985,37.5719651623353,15.246687524840715,28.039902651926187,43.444920129700584,24.99949827293315,24.666479697351505,12.72839152205281,19.674732592326844,28.384580652467758,29.968516501737138,26.808391692514462,22.163209232933703
Apiotrichum ( g),28.362735636436366,0.42344568120602116,17.27438203449897,16.290547309824177,26.612269357249264,42.84201183384467,35.089275649546266,30.87311988312224,35.778281592617404,11.33795037190997,44.775784708881424,12.18380781448496,30.807304367034053,-4.6189221530895965,29.170453161657232,0.831310130360232,15.554244488824802,27.89410361459277,50.66611571629367,27.2954919664303,43.07575842993972,9.7117006081765,8.567197451290122,7.068549819651959,-1.9893912138965248,56.10218612675555,23.7376406526312,36.92024147075236,34.22171144147191,23.650283456369237,18.382384149166512,5.469556032626904,2.196889909058513,6.748017053042875,-0.9087389240149703,18.301134341695946,20.218657860732524,69.07874457446228,25.584083926784654,45.1889098265747,37.19270477384825,17.280166990757582,51.763314730672285,21.078278311226455,27.83430225497067,48.467345882420894,13.627495377245728,40.282875543280035,67.66911078723855,39.1821650672455,29.401275758112217,13.871620465098516,27.29700589083376,32.39970988361279,48.28427438240436,27.93315335017859,25.809809918315135
Arginine/lysine/histidine/glutamine transport system,40.05064178775453,70.37366304693231,39.37665396073083,32.76225900718472,30.0502081851279,35.089275649546266,56.0836862164532,34.18279068004159,24.861707243900177,0.024558966858290843,34.28442484762852,3.7980010058980067,25.846272821217294,6.437724825619268,22.806018384198538,5.868707438326524,33.242655844420035,38.73845715341061,49.194791033860255,1.5161826696674332,5.055375438688954,6.200196318026367,3.906016608889037,5.599122537197847,17.547176651997155,58.89646456605732,36.068592144395154,34.32496460875828,32.076783086362994,15.017297599111057,39.716737645349376,1.9583072519984825,9.619774540579218,4.147766256599347,3.3197094163023753,40.19130113651099,24.12114845974707,62.43830460489007,38.106278251242195,32.48069641578779,21.851329801672897,26.32191783183923,48.06997177045207,29.374904472903495,2.995663044454078,38.383626151237834,27.71055923294796,19.401588958820263,49.81153303705255,25.155046247159305,34.713892742533204,21.204810585900777,22.854338205677593,32.970532590354225,7.18651527578187,37.13763205895788,19.631006850656256
Arginine/ornithine transport system,33.03062308874184,17.422721644250093,38.134824393751444,29.214104611863032,24.144022601268677,30.87311988312224,34.182790680041585,38.628306124198886,52.55884430208967,6.461724090813877,48.298090062747164,6.414634418094276,14.999743333803302,3.9619276265108394,53.088511773155716,4.833630871448806,24.62303787077044,45.68432092375842,32.95772920689987,41.0273308831768,37.822873075862404,7.688855310873419,6.656968715590743,4.125050626919717,13.47615041168459,31.62688531579247,34.597691858713745,60.65436131490475,58.121104893143496,45.95297462376426,29.61662661552697,7.018477503588019,9.643018092960872,4.626981203783402,4.496312334413397,36.77925759626806,41.51079725525703,94.23345663818557,18.05160706288861,61.70450007979778,57.698962637174446,28.60452965788631,28.89668460102542,40.621850148967006,23.92854941842879,69.74886804276267,26.073968546026357,55.4102552723384,40.84965944739473,36.8008132309669,39.52882683321228,23.334127541112814,31.91512262689759,57.302750951215124,56.502359395007296,54.88588380521522,37.09442759110563
Bacteroides E (g),33.65720601622739,-26.44302316436097,46.80820492815599,32.934945238788075,26.433094793906537,35.778281592617404,24.861707243900177,52.55884430208967,90.21382417340573,13.934899066379025,74.80315759013476,10.095482271016643,5.526219524617926,1.1445466124948638,93.04705358792057,5.103771735460148,25.12377667985762,60.48793920969541,29.647091530120463,87.17385683542932,80.77390590399682,10.364175336216263,9.969718872927846,3.347510848440652,12.411172658989274,19.085488587253003,44.27171566623505,101.07556707791696,95.71391126180487,84.10120984221842,26.402507577686812,12.682560867614484,11.10921315664697,5.944186903123053,5.768761286865687,43.18478696231831,66.36718869564241,149.05304593785613,4.726401599218496,103.13639341274987,104.39382074863695,39.256554104084884,22.990853023231594,59.40946441512425,48.550031112346694,115.81349274426833,31.40075771016639,101.67688503265754,47.64114898350209,57.15666074270223,54.45333370550775,30.784502043545064,48.37570962490983,93.3513989149482,116.1098581068694,84.07839367721412,63.945608312417576
Benzene and substituted derivatives,1.5818228784357098,-25.641815918381052,-2.322636850323935,-1.546646183971101,4.791635129228081,11.337950371909974,0.024558966858291287,6.461724090813878,13.934899066379026,6.36040964617714,15.055576039500776,5.140921189745945,5.303403308406992,-4.983053349826484,11.500977731770687,-1.322954136350261,-1.6112466136616477,2.7463114511683604,10.74223516833646,17.884866814394726,25.3812541254322,3.006621886565845,3.1236120270834626,1.5599558918898264,-6.58223896582541,9.858568996539494,2.5975321406240774,12.568530915923192,11.01518625046395,10.742386972003455,-3.685767903749671,2.4905157581955897,-1.9499500368536649,2.123008644865023,-1.5907846852559273,-2.2930998781670278,4.941252371722043,21.780939060275344,-0.18729879543288308,16.704220821064858,16.6097941580354,2.1679585032720268,11.677054636634855,3.0539339443353777,15.282278655101887,17.248552429933845,-0.962932960999819,18.814381480519053,20.45494679831777,14.041691749447521,5.82106497762027,1.1461298141575602,8.381251791163141,9.75439696208701,28.13865448159321,5.493672873281537,10.185767287523804
Candida ( g),29.74619095245035,-24.593167793714642,37.31568871586285,26.36827282220835,32.516555386628944,44.775784708881424,34.284424847628514,48.29809006274718,74.80315759013476,15.055576039500776,74.10040540010765,11.694069246780467,7.567358395968204,-6.218507260575156,73.19991073128878,3.333384284766926,27.371316810034568,43.41966515510196,48.93004719569478,72.43939149265145,85.40314085164535,9.645641299666261,8.363034493124827,3.982445757800868,3.8692196429764985,46.508153918166,44.619736419070364,87.11434687701323,77.23064491736467,63.49661262679098,19.446837154208943,9.295202424548611,5.170281891900151,6.238286360327129,0.7235818950757317,35.39762581153038,49.255734577616934,135.62512347045543,13.249427798582353,87.76688839466775,86.33204282522377,36.47512173075614,47.93483636558259,43.76206878505048,45.35998452264755,99.2260370603677,26.220212313826057,86.22775911084422,73.4688620991856,57.24474611579685,49.958635870464775,24.904158814695162,44.794684167893855,75.21981263657948,103.68470641006418,65.62585971255048,58.80497129952365
Carbamate esters,5.428861227876818,-13.364112525350242,-1.1901480100890731,0.48086762563142427,5.164622412143001,12.18380781448496,3.798001005898007,6.414634418094276,10.095482271016643,5.140921189745945,11.694069246780465,5.082188919728426,11.660233190214282,-2.720592346691213,7.280234299424589,-0.9556895125464427,-1.2219211713475102,5.616676584156935,12.050319618030672,10.433773634141845,15.491443590243897,3.5381390020313477,3.60523616813307,2.5014415483504417,-4.538792455304069,12.402596410270574,1.5259945153466008,7.21570674414592,7.647702583782246,6.801943218322872,0.9181161964789359,2.3006740708698743,-0.6736104870621533,2.447470774432415,-0.7695086922792752,-0.7647110767334652,3.7174694243929407,15.18215753673458,4.399212319182058,12.703373135239172,10.766554094778456,1.0504240366438067,12.391396995896722,3.4323479826586567,11.808718521277859,12.316764446330584,-0.1279203495691963,12.87704399924334,18.849881353822322,12.01927113787049,5.268592930792153,1.7066061420486696,7.101753882978037,6.5137152824875,18.307491719305276,3.903454958752512,5.6941399918642315
