iteration,mean_CV,std_CV
0,1927.0199029638873,2016.506224197432
1,517.0229554582128,508.6827398903402
2,156.22813399973046,109.84296037332683
3,261.0482895008772,367.3319260752672
4,82.58426241266221,95.69062114878678
5,79.67069046144917,102.76777032986979
6,278.0814609738365,400.2398492168655
7,168.7081896591002,246.49043441039487
8,291.2056784406942,308.29032477430377
9,288.5455136364093,249.33319892196727
10,310.1620660348681,295.1975299123937
11,320.08246660334964,243.161950974319
12,303.2521179917136,295.5545697875681
13,297.9167170404721,255.76566099398235
14,311.32597254601035,284.77030324942115
