axis1,0DH dehydrogenase ubiquinone 1 alpha subcomplex,0DH dehydrogenase ubiquinone 1 beta subcomplex,1-hydroxy-2-unsubstituted benzenoids,70-9 (f),Acetoin utilization transport system,Actinoplanes (g),Agaricomycetes ( cs),Allovahlkampfia ( g),Alteraurantiacibacter (g),Animalia ( k),Anisoles,Archangium (g),Aspergillus ( g),Cationic peptide transport system,Cercomonadidae ( g),Chrysophyceae ( cs),D0 polymerase alpha / primase complex,Diarylheptanoids,Dicarboxylic acids and derivatives,Dinophyceae ( cs),Dipeptides,F420 biosynthesis,Fatty acid esters,Fatty acids and conjugates,Flamella ( g),Flavobacterium (g),Fungi ( k),GMQP-bins7 (g),Glycosphingolipids,Hydroxy acids and derivatives,JACDBZ01 (g),Knoellia (g),Korotnevella ( g),Lentzea (g),Lineolic acids and derivatives,Long-chain fatty acids,Monocystis ( g),Monosiga ( g),Multidrug/hemolysin transport system,Nocardioides (g),Oligogalacturonide transport system,PTS system N-acetylgalactosamine-specific II component,PTS system fructoselysine/glucoselysine-specific II component,PTS system galactitol-specific II component,PTS system sucrose-specific II component,Peptides,Polyethylene glycols,Pseudonocardia (g),Pucciniomycotina ( ps),Putative lysine transport system,R0 polymerase I eukaryotes,R0 polymerase II eukaryotes,Rhogostoma ( g),Salpingoeca ( g),Secondary alcohols,Sphingomicrobium (g),Steroids and steroid derivatives,Subtype III-U factors,TMAO,Triacylglycerols,Tubulinea ( g),Tylenchida ( g),Uncharacterized ABC transport system,Vitamin B12 transport system,uncultured ( g)
0DH dehydrogenase ubiquinone 1 alpha subcomplex,1.0000000000000002,0.7462575461049251,-0.5061774262546904,0.1680322357124897,0.41445016654180106,0.5538663280107784,0.7042088973808369,0.17011026289539974,0.5299827799467303,0.4504686850802364,-0.440266729076264,0.6917798985852237,0.31186048909887704,0.9336753159485869,0.423750363062074,0.15978677837626698,0.8276218515679157,-0.8899961155209922,-0.12457510870230207,0.5384181712178195,-0.8901037451074011,0.8630305414376218,0.021664153213090283,-0.0863325644698194,0.16570807174191265,0.4538386665691565,0.5618499370459151,0.3161539976117651,-0.5397761575915517,-0.4593598947300429,0.6340730764721411,0.5408767451520655,0.5801996423949619,0.4913010538750727,0.04762981932682567,0.04629788442164136,-0.039399349996917445,0.004618906822370585,0.8130592908762876,0.504818567496008,0.5937057610361309,0.5751737802547683,0.5584270412025109,0.9306689460685407,0.6507734880532354,0.17635002679624914,0.16441326848574814,0.45906579508435374,0.14341143930573017,0.5211544256715185,0.7504425922724579,0.6694675830448042,-0.17968229860600707,0.27327053465672196,-0.27513799738369854,0.4797911754966497,-0.1774438816063793,0.6984638054451136,0.2736169854841529,0.1617575056685345,0.3015208132799853,0.46497940650851655,0.21655659711147537,0.6500874367807419,0.4758488926944151
0DH dehydrogenase ubiquinone 1 beta subcomplex,0.7462575461049251,0.9999999999999999,-0.16606803696243516,0.34413959338085626,0.8889215098422711,0.4425438983070588,0.10656352044890498,0.7576514270111774,0.29042154305349066,0.5120741093119157,0.24392249664252563,0.3723869440816829,-0.07494736866705742,0.6963112620702394,-0.28646320377175083,0.10228255717369693,0.30825204949415663,-0.7369233878554121,-0.7427415294619127,-0.055430171657205325,-0.7063061180488173,0.9250464954624039,0.31084644811059803,-0.7027586161190066,0.7659691711565231,0.7642843074400145,-0.10066059226593947,0.36427349020801164,-0.9618883268367044,-0.8621193028015107,0.3334178316568268,0.23326561988711336,-0.04801657354017842,0.2662758404962855,-0.299589709255814,-0.45286334326958966,0.5205289836537701,0.6235257687787746,0.22731778159189092,0.14055428793984656,0.7354167242012278,0.8059461486954337,0.9039239194279585,0.8046754259193057,0.9711658367037024,-0.500286562442645,-0.5049005390683198,0.46020644600482413,0.7005831950055101,0.9522706220132197,0.13044015865252848,0.4476373765224912,0.5157097429615395,-0.42112030171986464,-0.5771983139545923,0.2131065576365005,-0.6328684582478318,0.2903913779507105,0.7383872749575202,-0.5102421236254636,0.34815785331711596,0.41010622875078834,0.7519736654541176,0.728669888612412,0.22205830219473605
1-hydroxy-2-unsubstituted benzenoids,-0.5061774262546904,-0.1660680369624352,1.0,0.6226100045534961,0.23829518445431935,-0.09873410844054926,-0.7814522976434259,0.07022443751398526,-0.4240646573480534,-0.05937503809552349,0.5927736984591756,-0.5168662700181562,-0.597948880838158,-0.5093422222128711,-0.4817998065499034,0.6877354365834406,-0.3622531248352425,0.735703092085967,-0.17701948346512833,-0.16494876151928564,0.0707414351141881,-0.11206101814286104,-0.5826023573598796,-0.0483436999338833,0.06062596281700409,0.3958777246588413,-0.6715187853644121,0.6346156781145734,-0.017743551093174915,-0.008373933805000126,-0.5529544881269854,-0.33798715221157616,-0.7916066690415048,-0.0977744250109782,-0.658182991313011,-0.45867195514750764,0.7330351691255111,0.49931649155681446,-0.49827542594475677,-0.09708372614166122,0.34968368354202284,-0.01207315423288708,0.23310587136969763,-0.15740880616450995,-0.008811254161930867,-0.48419560006194473,-0.4356969262429982,0.06841258028727805,-0.0931721522119104,0.046800004516018845,-0.4930654208266386,-0.3030935078587577,0.49883764817220705,-0.27272528238437266,0.20965459325203128,-0.45459501188616924,-0.6493806401902363,-0.4029005666564654,0.5295301614315742,-0.4928029345283506,-0.24124314436396363,0.44294416018875854,0.46932963094570457,-0.1744049480960832,0.2637335338835655
70-9 (f),0.1680322357124897,0.3441395933808563,0.6226100045534961,0.8623946413371595,0.4539684665766695,-0.037236308209328654,-0.23106960156804707,0.12325273337220302,-0.3910922834532572,0.5805146312153487,0.2078589493640267,-0.3180331121114185,-0.67276105825107,-0.019729503321290923,-0.2054248560499713,0.8224054464638433,0.25200699594252374,0.19143829646455368,-0.21381057981119278,0.2787651540659416,-0.527459459174701,0.40532664431222276,-0.47242853600710727,-0.14958233533086537,0.20117253246791555,0.6882315529447993,-0.20832086468815705,0.8693555152962488,-0.3697483141483023,-0.49667917917663185,-0.4036434764809397,-0.2975456389461465,-0.4601759408323023,-0.10891413262260743,-0.8536453132480873,-0.6221239158277923,0.6807246156908383,0.39648116321745436,0.033771324069309216,-0.06143180451618017,0.8118483747831564,0.6067275149991582,0.6667344746823031,0.4640684579825375,0.5041077619084184,-0.27642916251094146,-0.21864864028835834,0.03851039941997733,0.11210032481763482,0.36566980401765453,0.03429143573046067,0.43772410095971565,0.3808347497472323,-0.12485823335109147,0.29050540095942606,-0.4572052509340611,-0.7937456303211194,0.309190913633398,0.6467012991852662,-0.29260931626023196,-0.03668766306437252,0.856845690974548,0.6750405582670918,0.5311918647522111,0.35507633772894276
Acetoin utilization transport system,0.41445016654180106,0.8889215098422711,0.23829518445431935,0.45396846657666956,1.0000000000000002,0.43034812977793846,-0.34281541679496375,0.8884156699552378,0.18254741987018291,0.3071862752657074,0.6277333402667189,0.17832194524143377,-0.23491573329545448,0.43211894494045483,-0.6079014417108061,0.2216748288989957,-0.03602324627819718,-0.40871011323396744,-0.9070543996584124,-0.33030681846582,-0.5121200851122242,0.7983776936289585,0.1863207654720737,-0.8063868240533146,0.8623107010272766,0.8551661656289093,-0.5171114548625964,0.46903543097308414,-0.9689854229552038,-0.8014989482356146,0.147630630193169,0.13096332683411877,-0.4334122839285016,0.2535524692223338,-0.44679744604865196,-0.5945216360849914,0.8256965594354597,0.908077112517655,-0.1325357395343616,0.08349457214092174,0.7299172865700564,0.6673735578537568,0.9180916472283598,0.5961130832069702,0.9004073105996688,-0.8146957328359452,-0.810970420705172,0.5366329174969032,0.7234965376575483,0.9791875936871408,-0.23966341958474846,0.1108681446626721,0.8020054080722041,-0.65429551696774,-0.6466631951188795,0.10109372507991754,-0.8428834684642816,-0.09331183720504865,0.9418688408090923,-0.8243847467855865,0.2505916287251691,0.3935673745588861,0.9143725678413237,0.49447302547714056,0.24962614886394882
Actinoplanes (g),0.5538663280107783,0.44254389830705876,-0.09873410844054928,-0.037236308209328654,0.43034812977793846,0.9225159767971791,0.17454379564905426,0.25016635577460444,0.8802343556408168,-0.3557621796724014,-0.008654693477572722,0.8600835178399325,0.6386724559611288,0.775770629116778,0.1973806731354861,0.14857712115149946,0.35210971755223763,-0.5588292033279346,-0.21029881040557635,0.14922036397998736,-0.5527768105788805,0.6542837494839834,-0.2432704245238477,0.0029188748705419204,0.07556497161828075,0.37915953217434006,0.0818755042272846,0.2529605824260314,-0.3786230738825468,0.03377522747937488,0.8388032158148733,0.8975525680686464,0.34904064816064095,0.937408725128262,0.3549742250092985,0.31685702273377986,0.14485608990086374,0.29183580176419033,0.4580057581194932,0.8712374581421354,0.31411471914972533,-0.066836573617486,0.2892912433087297,0.5751762558489926,0.279976142144298,-0.14422381730114026,-0.17727173276082472,0.941516176924381,-0.11252966780468455,0.41010596447183184,0.3473217682089424,-0.17166168119100644,-0.028900605542341223,0.18374547647259293,-0.6548182261294382,0.8465489807971771,-0.17215383136964355,-0.08163573416240463,0.38969741525764295,-0.15887404946020914,0.15507556830491712,0.16803232336396406,0.10700583431048608,-0.11542889783623755,0.7661619110618259
Agaricomycetes ( cs),0.7042088973808369,0.106563520448905,-0.7814522976434259,-0.23106960156804704,-0.34281541679496363,0.17454379564905426,0.9999999999999999,-0.46031984692097533,0.36873772879368766,0.26610740554585877,-0.9241164483768431,0.5414233657127127,0.48554993783597716,0.6099216643083067,0.8617235152331201,-0.11114594614196478,0.8353481185355288,-0.637135122214609,0.5285141925761617,0.7436226148168656,-0.46954134280470594,0.2509038190222891,0.0060277326516731695,0.45981925285473796,-0.43014704214370497,-0.22820383682114997,0.9718191137123443,-0.12765919111299104,0.1651464796418649,0.09236833403089788,0.5141086528611982,0.3989060017931496,0.9278725253978096,0.2307684459120564,0.4087453071695103,0.4790223658111682,-0.7082249708318877,-0.6990710777693132,0.8964269255335496,0.362308378709746,0.0009243478460536144,0.11301364966813648,-0.13787942984547932,0.46344116792129486,-0.0010729159147035555,0.7940921589932496,0.7759340109763894,-0.013059598612662232,-0.31942577243373044,-0.19682831530295483,0.9169601332369124,0.6251219574967942,-0.7755649850002828,0.7190140033106085,0.19405719763464688,0.38254565894765163,0.502905790920837,0.7951480054797687,-0.4784374353124923,0.7892152394986356,0.14331212655066322,0.10054263054345727,-0.4802775829146484,0.3277955747466006,0.17979989259029272
Allovahlkampfia ( g),0.17011026289539974,0.7576514270111774,0.07022443751398522,0.12325273337220302,0.8884156699552376,0.2501663557746045,-0.46031984692097533,0.9999999999999998,0.1302195563679325,0.13737282458314207,0.7641989955180314,0.07168013443194789,-0.16856918869071658,0.23801687818689568,-0.7912166196908392,-0.20991166054631832,-0.3828459413058062,-0.3657215883819941,-0.993121346443805,-0.6871881851688973,-0.12031094423069184,0.5326491522856202,0.5601045795366674,-0.9613509352608591,0.9747322093762648,0.5849665539304107,-0.655615381287772,0.03850220726609088,-0.8919778596319244,-0.7333853223867695,0.09032535729241381,0.007062399061997255,-0.49093186421809076,0.06138154982913451,-0.23539099125503968,-0.5398407087771172,0.6779248400437083,0.889062114378413,-0.4209520641879483,-0.16827632896683636,0.357349615303901,0.49529284280515834,0.6909951642251998,0.25204978115329435,0.745592965164831,-0.8954029567913878,-0.9103819418711917,0.3547023747692879,0.8973561841309458,0.900791162772818,-0.5216454542609292,-0.1218519247319208,0.8729932682030295,-0.872027180049985,-0.77692137243869,0.07496816663959945,-0.6057934577819272,-0.3487450429609227,0.7392186192753322,-0.8934721149436203,0.26475201494794953,-0.04740987698641027,0.7756650168713641,0.31470960142052656,-0.1396438902439879
Alteraurantiacibacter (g),0.5299827799467303,0.29042154305349055,-0.4240646573480534,-0.39109228345325725,0.18254741987018294,0.8802343556408168,0.36873772879368766,0.13021955636793253,1.0,-0.5130774355541505,-0.1972195432348143,0.9747109605231953,0.8995421854854003,0.7931738266229292,0.3609049965211376,-0.19303807933707384,0.3266959575546798,-0.664527202637479,-0.05075334869001809,0.11804967869739477,-0.36251560362784907,0.4771631695627124,-0.03814740630481447,0.11127274512713033,-0.05550027891181429,0.05883034657249838,0.2708052467031666,-0.11623378203463132,-0.18939838993596442,0.22782026732023447,0.9846701380447395,0.9831658064550416,0.6065798656144984,0.9271098402375515,0.699462634080413,0.5832541316561607,-0.2112300521052446,0.03389035803348181,0.5141136537281935,0.8634972869785172,-0.020744940861541078,-0.2759791407371683,-0.0033463165618950663,0.40715749031345316,0.06742432979942549,0.06688987174975532,0.012305651393474558,0.8460807490388315,-0.18014242815742104,0.21586082806697812,0.4147439068685791,-0.2473959497895377,-0.26279323707742874,0.2996100833156287,-0.6896311123885929,0.9958529967821997,0.20445354522344902,-0.09630352134478724,0.05424564741266063,0.05908558596193633,0.17489594910855297,-0.16134993045765209,-0.2149449195534803,-0.2660115974588246,0.5860885366184574
Animalia ( k),0.4504686850802364,0.5120741093119157,-0.05937503809552346,0.5805146312153487,0.3071862752657074,-0.3557621796724014,0.2661074055458587,0.137372824583142,-0.5130774355541505,1.0000000000000002,-0.15145225521306183,-0.33219933181679895,-0.6509146677941233,0.11501473301181457,-0.04235490505296697,0.3260271339499064,0.4329562958986597,-0.22564747336889357,-0.1739067101805948,0.33246234814287995,-0.50630920323532,0.4043229949746776,0.132527531096571,-0.30606576228234256,0.3264448440064429,0.44069830391852904,0.2064319113761248,0.42656760253171166,-0.4272708513826341,-0.7714316826743658,-0.396756967784194,-0.4994957416923171,-0.10987755935797311,-0.4872670690465666,-0.7056292730916149,-0.6208790257281179,0.24539014164043382,0.056974478640519355,0.21906359754868285,-0.4318701371866839,0.6381091730334933,0.9104743559818813,0.6234111151894199,0.5148871360350877,0.6495636063388723,0.013531541539423105,0.05693979925842129,-0.40435806018863474,0.43028851423208186,0.3815098016283252,0.2513515310464975,0.9107779111693638,0.18723243800292158,-0.13791294819808803,0.36923373024731654,-0.5635053433143646,-0.4448778108669451,0.7568416159038263,0.28295926348167694,0.0077877929298946595,0.14465670267066227,0.6143432270579096,0.5159648708074304,0.9566924187965972,-0.17067996865562926
