sample_name,season,subjects,add_0c,add_0c_group,facility,climate,timepoint,traintest_0,traintest_1,traintest_2,traintest_3,traintest_4,traintest_5,traintest_6,traintest_7,traintest_8,traintest_9,metabolite_logratio,mag_logratio,18S_logratio,gene_module_logratio
soil.hip.UTK.K016.07.2017.Jan.26.day20,winter,K016.07,212.9,advanced,ARF,temperate,20,train,train,train,train,train,train,train,train,train,train,0.4481277018112362,-5.182591095314857,-3.4450359216811925,1.0414024404861042
soil.hip.UTK.K016.07.2017.Jan.22.day16,winter,K016.07,174.6,active,ARF,temperate,16,test,test,test,test,test,test,test,test,test,test,0.17840136101182402,-3.5037157162054893,-2.0771314619337975,1.3714325935587723
soil.hip.UTK.K016.07.2017.Jan.12.day6,winter,K016.07,32.8,early,ARF,temperate,6,train,train,train,train,train,train,train,train,train,train,0.17277985804111395,-5.176809643508674,-2.7765273055438087,0.8224104689468836
soil.hip.UTK.K016.07.2017.Jan.16.day10,winter,K016.07,94.1,active,ARF,temperate,10,train,train,train,train,train,train,train,train,train,train,0.7771749934650689,-7.3080837205716325,-3.627467456641808,0.7740576754596571
soil.hip.UTK.K016.07.2017.Jan.06.day1,winter,K016.07,0.0,initial,ARF,temperate,1,train,train,train,train,train,train,train,train,train,train,0.1970609085975532,-7.336101215975865,-3.039734816936413,1.327576109386266
soil.hip.UTK.K016.07.2017.Jan.25.day19,winter,K016.07,202.2,advanced,ARF,temperate,19,train,train,train,train,train,train,train,train,train,train,0.41348875021791365,-4.242528915133528,-2.081780291094862,1.50065165497249
soil.hip.UTK.K016.07.2017.Jan.19.day13,winter,K016.07,133.9,active,ARF,temperate,13,train,train,train,train,train,train,train,train,train,train,1.231885469678529,-1.2042092103386786,-3.3553364724659485,1.4993919852431068
soil.hip.UTK.K016.07.2017.Jan.24.day18,winter,K016.07,194.1,active,ARF,temperate,18,train,train,train,train,train,train,train,train,train,train,0.13200187893717086,-3.7455763654113987,-2.8041385003213133,1.0239996696055664
soil.hip.UTK.K016.07.2017.Jan.10.day4,winter,K016.07,3.9,early,ARF,temperate,4,test,test,test,test,test,test,test,test,test,test,0.2270658282196898,-7.64428581474233,-2.5403677579946162,1.1814455570092868
soil.hip.UTK.K016.07.2017.Jan.23.day17,winter,K016.07,186.2,active,ARF,temperate,17,train,train,train,train,train,train,train,train,train,train,0.20388385165629686,-6.552855168290389,-4.221520779936332,0.21526797512628626
soil.hip.UTK.K016.07.2017.Jan.15.day9,winter,K016.07,80.4,active,ARF,temperate,9,train,train,train,train,train,train,train,train,train,train,0.31180553591518567,-8.430178821742029,-3.594528686247779,0.8756453460467171
soil.hip.UTK.K016.07.2017.Jan.18.day12,winter,K016.07,124.1,active,ARF,temperate,12,train,train,train,train,train,train,train,train,train,train,0.419856915842848,-7.425793026313919,-2.533402903635686,1.1867228791253295
soil.hip.UTK.K016.07.2017.Jan.11.day5,winter,K016.07,15.8,early,ARF,temperate,5,train,train,train,train,train,train,train,train,train,train,0.21231628287823057,-7.719684655156662,-2.7880720565450794,1.007587586406748
soil.hip.UTK.K016.07.2017.Jan.08.day2,winter,K016.07,0.0,early,ARF,temperate,2,test,test,test,test,test,test,test,test,test,test,0.2781074738386895,-7.553077080953289,-2.2745097330723087,1.0206881802052035
soil.hip.UTK.K016.07.2017.Jan.20.day14,winter,K016.07,148.3,active,ARF,temperate,14,test,test,test,test,test,test,test,test,test,test,0.25343574170790895,-3.1639781176812374,-2.512500799033557,1.198182201704669
soil.hip.UTK.K016.07.2017.Jan.17.day11,winter,K016.07,109.7,active,ARF,temperate,11,train,train,train,train,train,train,train,train,train,train,0.37569646729454576,-6.559181469852851,-3.1354465934799176,1.41971154464591
soil.hip.UTK.K016.08.2017.Jan.15.day9,winter,K016.08,80.4,active,ARF,temperate,9,train,train,train,train,train,train,train,train,train,train,0.33459134428409953,-8.04327555924231,-3.1597420975316304,0.8908272128745329
soil.hip.UTK.K016.08.2017.Jan.23.day17,winter,K016.08,186.2,active,ARF,temperate,17,test,test,test,test,test,test,test,test,test,test,0.6455334288583945,-8.322623481692297,-3.927766134153808,0.9849208453328506
soil.hip.UTK.K016.08.2017.Jan.08.day2,winter,K016.08,0.0,early,ARF,temperate,2,train,train,train,train,train,train,train,train,train,train,0.7445525296765041,-9.399032362655392,-2.343710307552234,1.336018554001999
soil.hip.UTK.K016.08.2017.Jan.17.day11,winter,K016.08,109.7,active,ARF,temperate,11,train,train,train,train,train,train,train,train,train,train,0.6442370825709602,-7.706092927199405,-4.969492924981431,1.071648844402425
soil.hip.UTK.K016.08.2017.Jan.21.day15,winter,K016.08,161.0,active,ARF,temperate,15,test,test,test,test,test,test,test,test,test,test,0.8719577129125486,-9.034676011984162,-4.132736412656785,0.9436460802449487
