axis1,0DH dehydrogenase ubiquinone 1 alpha subcomplex,0DH dehydrogenase ubiquinone 1 beta subcomplex,70-9 (f),AI-2 transport system,Acetoin utilization transport system,Actinomycetia (c),Actinoplanes (g),Alveolata ( k),Amino acids,Araeolaimida ( g),Benzene and substituted derivatives,Carboxylic acids,Chrysophyceae ( g),Cystofilobasidium ( g),D0 polymerase alpha / primase complex,D0 polymerase delta complex,D0 polymerase epsilon complex,DP-20 (g),Dicarboxylic acids and derivatives,Dipeptides,Diterpenoids,Eugregarinorida ( fs),Eugregarinorida ( g),Fatty acid esters,Fatty amides,Flavobacterium (g),GMQP-bins7 (g),Heteroaromatic compounds,JACVSB01 (g),Kribbellaceae (f),Medium-chain fatty acids,Monhysterida ( g),Monocystis ( g),Multidrug/hemolysin transport system,N-acyl amines,N-acyl-alpha amino acids,Neogregarinorida ( g),Nitrogen fixation nitrogen to ammonia,Nocardioides (g),Oligogalacturonide transport system,PTS system fructose-specific II-like component,PTS system fructoselysine/glucoselysine-specific II component,PTS system galactitol-specific II component,PTS system sucrose-specific II component,Peronosporomycetes ( fs),Prenol lipids,Primary alcohols,Pseudolabrys (g),Pseudonocardia (g),Putative lysine transport system,Pythium ( g),R0 polymerase I eukaryotes,SKKL01 (f),Solirubrobacteraceae (f),Spumella ( g),Straight chain fatty acids,Succinate dehydrogenase ubiquinone,Triacylglycerols,Uncharacterized ABC transport system,VAZQ01 (g),thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]
0DH dehydrogenase ubiquinone 1 alpha subcomplex,31.979090488299203,22.311462256486692,10.51007576107326,34.109481633836886,19.99121875631688,29.836778382334234,27.084526815432067,15.363125383215715,3.211343051445827,19.57983241611005,1.0295131717875572,3.554456357842195,33.187893446302894,21.55727257693703,34.881932666152466,34.47555237402631,36.49420791298537,23.70765280453098,1.2033581957728527,2.940671887334671,-1.8066625378837151,18.5223583109309,25.228722002437966,1.7793141768733698,0.47824748028225644,19.93549050941284,16.235186456660337,6.622830330163227,34.3216590270457,10.214932544824102,10.449464139256293,23.721191435231855,19.316541850483645,29.125264840445123,2.899429336457147,3.564034272436689,22.072927721519342,34.350297015097254,27.746272399055073,18.64249757328544,37.709222747457076,19.818425660509323,25.94132248824191,26.89009668828506,18.78156440140262,5.84229899508083,5.828696302363885,28.78913952275889,23.19096818432759,23.335326096779486,23.8355582120392,30.41648421665151,40.66802898824895,34.390535780805806,24.32606574788856,1.8672947820034362,34.50249370729537,5.305463624379535,11.858150659668125,18.321862754058543,32.69606619807381
0DH dehydrogenase ubiquinone 1 beta subcomplex,22.311462256486696,27.951974342837,21.16068022592406,10.808787923533787,40.08700025375143,19.46352346359225,16.692913719166018,6.881417265915759,2.456623904381488,30.781476484691655,-1.4293999762800622,6.430100025868429,33.256212062206906,19.32807613123928,12.14640489434059,28.07692067652144,12.687935364916024,11.395202495812825,3.2096145861243848,2.3811479391092663,6.2485180989768425,33.01095121819287,16.2256910109114,4.781358559449516,6.391584255327309,22.774080009272637,17.488773796663907,-10.46797719995449,15.29790719620923,43.93114895747355,9.051519759788413,20.74802836365962,22.770565099771343,7.612972585839902,3.4166671093655583,1.85496994353051,17.568036898300797,17.36519184342299,7.22248444882107,21.589347892392592,33.06877806128148,29.992162531054465,20.96963247426382,37.51708602304279,18.122119963100342,6.5303566001258275,1.1713946837212013,15.716843737385682,21.735509921152534,39.8640134778586,18.844028720589762,4.942834249402348,24.644847755299047,22.805731148344627,23.192953756682773,4.628112924629406,23.993181096422138,-1.0279767654396619,38.49651073634443,26.310989536736745,27.223919599958066
70-9 (f),10.51007576107326,21.16068022592406,85.38429137487347,-3.1348004808935332,43.485061669983494,88.83593598370862,-1.2711143153026248,81.4127205328667,0.8863401801306577,67.99511181770373,7.533060876931228,9.14628800508901,47.45459588233322,44.72720141952752,16.842447777958355,23.412860420343677,17.458355049616017,116.98160977828081,8.88301084457353,0.7230333339564396,15.36784127307093,103.89203005743882,110.35912414755582,7.759353850723358,8.615991742830369,47.58860748871178,77.26538032730224,1.611041004166525,-1.1578036648775982,127.42120223759268,5.335955603539171,40.54329946986023,75.32050850995756,0.44723890803587096,3.2877432522579673,0.262803628130027,90.56056033905526,44.66758406884394,-8.24592512637506,45.7919831447188,18.960457391188832,44.50304793504316,23.584591565226475,40.726600728285206,120.44507824864827,8.563066451038063,-8.11871044052797,114.00617464480395,4.4930288697302565,33.87734871217039,53.650017022369695,0.09014466749420702,88.4662605716369,104.91839298501284,43.34435157033391,5.2326259723886945,12.154392832784511,-7.3280644411510085,69.77623999167139,146.45345598150413,43.15845410808439
AI-2 transport system,34.109481633836886,10.808787923533783,-3.134800480893536,75.63317756771256,4.2947942542340005,53.56595541890736,62.59240341638334,26.238061344890745,2.4767882691557155,5.065781528762787,7.3026632095867505,0.2570722057627832,29.132735753354442,17.587713234416082,48.60975559782054,26.74285675731941,51.2676890641648,45.49006672343794,-0.21039078121440324,2.5235286182585606,-6.453489491559327,14.397485090227876,40.67923964212195,-2.5404127307954236,-5.29512605472598,16.68261997184021,24.88498624883978,17.736671169094045,69.93003980428514,-8.81435587604319,7.371681294131079,22.836374325020497,18.677574622233507,46.53453759000088,1.6030246551509564,3.1341314186623355,24.69033707667357,42.97084704986857,80.96126241544331,14.181044609485909,40.9511369003541,5.02955329165925,28.17041803574115,5.206649644292693,27.835684669796436,1.5752899872170452,11.00290866337685,52.01222898599371,57.834382345901886,4.575115742162291,24.699286436744444,48.860444694164556,55.002566447453106,56.66004240805746,34.92996613826213,-0.2518511822607568,49.74599346188908,12.069561336856106,-17.522442200771255,13.804420258592488,47.301178340737366
Acetoin utilization transport system,19.99121875631688,40.08700025375143,43.4850616699835,4.294794254233998,72.75582976989236,33.30417818724619,24.089144588413756,13.163045218077679,2.124301075652602,54.13232265677954,-1.1841917364075711,11.216394988284193,46.73017618138495,25.946770979237055,-2.290088590300927,28.56915689907941,-2.2962310865747515,23.204998361971427,6.8289327943280504,2.354959018970502,16.946506684302182,69.02083372135458,29.800878129304657,8.66132234936165,13.501189350074446,36.67109970420459,36.32997498582264,-27.91024759854019,12.693310532752761,101.26895365506373,9.462057515969704,27.708399488895225,41.610203958673225,-7.161129329705883,4.832576812925962,0.3336745430313659,29.085540226093556,12.003460991609499,6.921949303987098,34.57063257510939,40.888594614355576,49.1461603106042,25.062615331573042,56.11802388392129,40.14926079123941,8.439653539244121,-2.5433047821617345,28.15951087397924,40.89046973294845,66.1323859358764,25.21838665670491,-14.651906384390143,29.814823049036875,37.517052578930254,37.884330557335765,8.792955723807603,26.709093711363533,-6.5154235707810155,75.52132114409768,57.874945587799196,39.81935868040396
Actinomycetia (c),29.83677838233424,19.46352346359225,88.83593598370861,53.56595541890736,33.30417818724619,141.35884759312407,40.84326679901183,116.86912004970077,1.9092599940037844,69.41100718589722,15.901363250808101,7.677848447562953,63.82217307618356,58.66691259291341,55.75807661163694,36.3423469970082,58.474264974142436,173.31930472340878,8.707626139170932,1.7582296175116265,9.289480934802288,118.58980512930067,158.67459715960584,4.6004281523423325,2.265156520882351,58.996861714429464,104.1699061863983,23.471298113605666,48.653051233005414,120.6977436246752,7.965323311044858,57.13258060127967,94.01882754946939,36.368140795465315,3.472856724649007,2.1037933115025735,120.87062804038761,81.5884492316241,52.951198987430125,55.4294862254583,39.401621408113066,41.505834392266316,40.98475398116326,33.29223215352847,158.6678803264246,8.267300101328805,-1.0975798784042932,172.8141738751389,40.32148851208566,22.518408685234004,75.67432529992634,39.64317530527552,140.27570581407767,161.75833779135422,68.5512881564023,3.4520978737449806,43.39567714023618,2.020894101686126,47.826258499788544,173.83047066564268,76.66370778617431
Actinoplanes (g),27.084526815432067,16.692913719166015,-1.271114315302623,62.59240341638335,24.08914458841376,40.843266799011836,62.72227709605934,11.24914922039159,1.8454665474632717,11.109786534640048,4.957555058840761,2.6292369979252377,28.610870582194295,12.47525651756974,27.763081113908775,20.460501575964365,29.544874061563014,25.478819217800794,1.1183959017618714,2.176765266218524,0.336774477270501,22.404475947098845,24.403549545351368,-0.39547363934144875,-0.20287227557471343,17.385547512859016,22.11625248973105,0.04514566376765217,60.66171756602248,15.388369384059686,6.1826761582064185,18.382482768876535,17.325754755303613,28.952325701728167,2.080932342369483,1.5253956531382262,12.885669870642943,24.70011524819932,73.4684529149419,14.727372413741636,40.43382987236714,12.5722647589872,24.354580983807182,13.472739055441766,18.109241897701658,1.495342416970228,8.40460627735158,32.64833289470425,67.46782070599703,20.996347695145346,16.59928536117068,26.873065079027477,35.139662130986714,41.010129164314314,35.12510606289326,2.406506473722941,44.89231189401396,7.563543302860232,2.715041769430732,8.567350424273787,44.54063028411673
Alveolata ( k),15.363125383215719,6.88141726591576,81.4127205328667,26.23806134489075,13.163045218077679,116.86912004970077,11.24914922039159,107.6267643981959,0.8195335303023762,56.03187150946403,13.659035479531964,4.943206664073251,44.40225803088798,48.66088042748792,43.25195887144964,23.23995503680266,45.17293871870066,155.58462974263816,7.143997572012986,0.5107169383628837,6.729662948985099,97.51523467517177,140.86503943250835,3.505138838145768,0.528868007929589,45.620194581127336,87.84222677576633,26.461270028343744,21.128561671931283,98.2544792492959,3.9724503964958546,44.54119203665379,79.1613780203209,24.537865052357688,1.8991104116310067,1.3688668711678404,108.74888629213088,67.81894312014254,20.962253877210934,43.49407173855561,16.55392027596097,28.875565679140934,26.716886303786456,19.544242795433497,142.09062124685659,6.320103234875483,-4.1645259430922,151.52388298163777,6.6686795220839326,4.72826650787362,63.66600996281629,29.535671898762835,118.48700344753453,136.11603595213595,47.60655423621609,1.2392366989105397,20.523710981964847,-0.26341694232032753,35.629609590532,158.41471052127795,51.41594469592784
Amino acids,3.211343051445827,2.456623904381488,0.8863401801306579,2.4767882691557155,2.124301075652602,1.9092599940037847,1.8454665474632717,0.8195335303023757,0.3490633897546375,1.94569778611862,-0.10382110504755607,0.3869641951572423,3.232983010601155,2.0645754705933,3.2130433650877954,3.649317094224635,3.3510852205865644,1.1727589903596638,0.09863897501130667,0.3123078906171808,-0.19085633381048722,1.30848985324012,1.530212948742207,0.2411869880282922,0.12796430408508377,1.8338366031905522,0.9460654312800257,0.44729310142756207,2.6305120827292567,0.6301077309405687,1.134660165131991,2.229520040331831,1.5242054461079615,2.6118725889535837,0.3115093779073028,0.38552376066087957,1.664353653034409,3.102114818937879,1.5109925141319855,1.7454195731015125,3.6907640937900523,2.1267401638741705,2.483977464204933,3.0677416478768826,0.9426425334208016,0.6642507190869094,0.527116524253627,1.6763397452461966,1.3878807635892219,2.6313058686380706,2.122629289219865,2.738314178665062,3.317903672037575,2.3262247223380097,1.9417687593253625,0.20501570867191662,3.096067088260781,0.4325967767412554,1.4790348268610027,1.0731072149103718,2.7128197775068195
Araeolaimida ( g),19.57983241611005,30.781476484691655,67.99511181770373,5.0657815287627805,54.13232265677954,69.41100718589722,11.10978653464004,56.03187150946403,1.9456977861186198,62.91184714412894,4.0972405183080305,9.96200740189291,50.753426322693464,40.02089215218263,16.514177407509194,31.05245029590988,17.191426836782234,81.9271174528141,7.819595274622735,1.8445696961570452,14.375943596227671,88.46051360822524,80.64083528196575,7.981525300180003,9.79233141592789,44.707345835288486,61.08574490260399,-6.822311242805769,9.211265484929786,111.58192430854322,8.637969952840018,38.387959001389554,62.68940535475064,3.6676147527116143,4.196633642363646,1.073602369894055,68.4019642032396,37.864289629981954,0.8480192985853261,42.738261212656695,32.42824199048267,47.27303203200595,27.695092537991655,49.07583754401006,88.82423683558767,9.294866768128841,-4.63515824596812,82.74606602564909,19.01688980217918,47.16070332847284,45.442478518535864,1.3452673593686701,70.94193525088559,81.49160186675374,42.85236428245608,6.417216849233108,22.614257725057154,-5.593667910812092,69.66818219393545,110.57010077477695,45.014316094921696
