CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3860	4933	1	0.9242	73.947
4385	4904	1	0.9285	17.875
4812	8020	1	0.9352	0.001
4370	4385	1	0.9817	-0.000
4370	4904	1	0.9439	17.875
4385	7969	1	0.9369	-58.167
545	702	1	0.9854	0.001
4370	11031	1	0.9332	-58.170
4933	11031	1	0.9279	-104.082
417	545	1	0.8877	312.973
702	7138	1	0.8704	-267.186
3860	4370	1	0.9343	28.034
4812	4933	1	0.8787	42.011
4933	7056	1	0.8895	-42.019
7969	11031	1	0.9846	-0.002
4904	4933	1	0.8924	28.038
7056	8020	1	0.9466	0.009
545	7138	1	0.9029	-267.185
545	826	1	0.9069	4.031
4812	7056	1	0.9306	-0.008
4370	7969	1	0.942	-58.168
702	826	1	0.9497	4.031
3860	11031	1	0.9202	-30.136
4370	5354	1	0.9082	-15.995
4904	11031	1	0.9293	-76.045
3477	5354	1	0.8782	-58.005
4933	8020	1	0.915	-42.010
3860	7969	1	0.8951	-30.134
826	4385	1	0.9158	-312.100
3860	4385	1	0.9229	28.034
4385	8020	1	0.878	3.902
4385	11031	1	0.9292	-58.169
3860	4904	1	0.9317	45.909
4904	7969	1	0.9272	-76.043
4385	5354	1	0.8654	-15.994
417	702	1	0.8967	312.974
2481	2938	2	0.9609	-176.105
2427	2562	2	0.9856	-88.051
2562	3392	2	0.9786	-88.052
2430	2507	2	0.9748	-88.052
2413	2504	2	0.953	-176.103
2544	2859	2	0.9723	44.026
2481	2574	2	0.9944	-28.031
2481	2519	2	0.9924	-44.026
2614	4457	2	0.9781	-88.053
2544	2614	2	0.9546	-176.105
2507	2562	2	0.9418	-84.094
2427	2430	2	0.9624	84.095
2445	3391	2	0.9698	-132.079
2503	2574	2	0.9548	-112.125
2474	2581	2	0.9873	-88.052
2551	3418	2	0.9537	-56.063
2581	3392	2	0.9754	-28.034
2554	2938	2	0.9938	-28.032
4567	6116	2	0.9779	-50.000
2471	2527	2	0.9834	56.059
2448	2477	2	0.9747	-84.095
2938	6127	2	0.9675	-88.052
2409	2613	2	0.9536	-176.106
1598	2562	2	0.9698	132.049
2556	2938	2	0.9859	-88.053
2427	2477	2	0.9784	88.052
2413	2474	2	0.9655	-132.076
2410	2426	2	0.9758	88.053
2410	2474	2	0.9842	-88.050
2527	2551	2	0.97	-84.092
2429	2574	2	0.9785	-56.061
2427	2429	2	0.989	44.027
2430	2519	2	0.9512	-112.125
2409	2445	2	0.9735	-88.052
2474	2614	2	0.9728	-56.065
2409	2481	2	0.964	-112.125
2448	2527	2	0.9545	44.026
2444	2556	2	0.9558	-56.063
2445	2613	2	0.9727	-88.053
2581	4457	2	0.9619	-56.066
2477	2627	2	0.9702	-56.060
2507	3391	2	0.9793	-88.052
2409	2430	2	0.9887	-44.026
2483	2503	2	0.9768	44.027
2444	2581	2	0.9692	-132.077
2562	2614	2	0.9976	-28.031
2426	2448	2	0.9731	56.061
2483	2497	2	0.9847	-44.026
1598	2508	2	0.9576	176.074
2445	2507	2	0.9898	-44.026
2614	2938	2	0.9895	-44.026
2504	2554	2	0.9655	-28.032
3391	6116	2	0.9453	-44.027
2410	2519	2	0.9708	-56.062
2519	2938	2	0.9708	-132.079
2938	4457	2	0.9925	-44.027
2497	2503	2	0.9561	88.054
4178	4567	2	0.9729	-44.025
2474	2562	2	0.9771	-28.034
2481	2556	2	0.9829	-88.052
2554	3392	2	0.9823	-44.026
2410	2444	2	0.9904	-44.026
2504	2613	2	0.9552	56.060
2508	3392	2	0.9682	-132.077
2574	4138	2	0.9962	-44.026
2444	2474	2	0.9891	-44.024
2551	2859	2	0.9846	-28.033
2409	2429	2	0.9815	-84.095
2481	2503	2	0.9615	84.094
2430	2613	2	0.9622	-132.079
2481	2544	2	0.9915	44.026
2471	2551	2	0.9815	-28.034
2613	6116	2	0.9576	-88.052
2544	2627	2	0.9809	-28.031
2477	2551	2	0.9846	44.029
2413	2471	2	0.9569	88.056
2554	2613	2	0.9562	84.093
2527	2859	2	0.9739	-112.125
2429	2477	2	0.9874	44.025
2471	3418	2	0.9696	-84.097
2556	4457	2	0.9718	-132.080
2507	2613	2	0.9768	-44.027
2444	2508	2	0.9554	-28.033
2410	2413	2	0.9833	44.026
2519	4138	2	0.9919	-28.031
1598	3392	2	0.9972	43.997
2519	2544	2	0.9811	88.052
2429	2508	2	0.9709	-88.053
2544	2556	2	0.9655	-132.078
2430	3391	2	0.9488	-176.105
2413	2481	2	0.9622	-56.062
2427	4138	2	0.9814	-56.060
2426	2627	2	0.964	-84.094
2409	2448	2	0.9882	44.026
1598	6116	2	0.9457	84.064
2410	2430	2	0.954	56.062
2430	2448	2	0.9645	88.052
2427	2554	2	0.9659	-132.077
2413	2426	2	0.9812	44.027
2508	2562	2	0.9926	-44.025
2477	2544	2	0.9917	-28.029
2410	2581	2	0.9598	-176.102
4457	6127	2	0.9765	-44.026
2574	2627	2	0.9833	44.026
2413	2503	2	0.9615	28.032
2410	2427	2	0.9734	-28.033
2504	2581	2	0.9889	-44.025
2429	2562	2	0.9678	-132.078
2508	2554	2	0.9853	-88.051
2448	2544	2	0.9551	-112.125
2519	2556	2	0.9941	-44.026
2519	2614	2	0.9896	-88.053
2614	6127	2	0.9499	-132.079
2426	2477	2	0.9875	-28.034
2504	2938	2	0.9621	-56.064
2429	2481	2	0.9891	-28.030
3392	4457	2	0.9888	-28.032
2471	2859	2	0.9812	-56.066
2554	2562	2	0.9906	44.026
2474	2504	2	0.964	-44.027
2410	4138	2	0.9654	-84.093
2613	3391	2	0.9728	-44.026
2477	2508	2	0.9605	-132.078
2413	2444	2	0.9781	-88.052
1598	2554	2	0.9781	88.023
2859	3418	2	0.9619	-28.031
2519	4457	2	0.9543	-176.106
2426	2444	2	0.957	-132.078
2413	2574	2	0.9613	-84.093
1598	6127	2	0.9872	-28.061
2426	2471	2	0.9676	44.029
2613	2938	2	0.9447	-112.125
2430	2445	2	0.9905	-44.026
2551	2749	2	0.968	44.022
2409	2574	2	0.9459	-140.156
2556	2614	2	0.9976	-44.026
2444	2504	2	0.9802	-88.052
2427	2551	2	0.9537	132.081
2427	2519	2	0.9934	-28.029
4178	6116	2	0.9605	-94.026
2409	2507	2	0.9527	-132.079
2527	3418	2	0.9648	-140.156
2445	2448	2	0.9415	132.078
2627	4138	2	0.9708	-88.051
2429	2503	2	0.973	56.065
2508	2556	2	0.9951	-28.030
2627	3418	2	0.9439	44.027
2481	2614	2	0.9755	-132.079
2477	2562	2	0.9514	-176.103
2429	2551	2	0.9627	88.055
2426	2544	2	0.9892	-56.063
2409	2503	2	0.9769	-28.030
2426	2474	2	0.9465	-176.103
2413	2429	2	0.9581	-28.033
2410	2504	2	0.9783	-132.077
2427	2508	2	0.9862	-44.026
3324	3474	3	0.9491	52.030
2079	3474	3	0.9542	-27.996
3474	4283	3	0.9734	-52.032
1811	2079	3	0.9236	84.060
2079	4278	3	0.93	-80.028
2685	3463	3	0.9468	2.016
3474	6408	3	0.9315	2.012
3474	4278	3	0.9527	-52.032
2685	6408	3	0.9332	30.044
1964	2685	3	0.9879	26.015
3463	4278	3	0.9248	-26.016
3463	4283	3	0.9232	-26.016
4278	6408	3	0.8925	54.044
3324	4278	3	0.986	-0.002
1964	3474	3	0.9894	54.047
1964	4277	3	0.9234	-18.010
4369	6535	3	0.9702	115.088
4283	6414	3	0.9038	2.017
4290	6427	3	0.9763	-89.047
4278	6414	3	0.9429	2.017
3324	3463	3	0.9264	26.015
4290	6535	3	0.9615	-25.991
3054	4277	3	0.8602	68.061
1811	3463	3	0.9412	30.049
1964	6408	3	0.9348	56.059
4278	6388	3	0.9105	28.030
1964	4283	3	0.9638	2.015
4283	6408	3	0.8883	54.044
1964	2079	3	0.9581	82.043
4332	4369	3	0.9457	-113.048
2079	3463	3	0.948	-54.012
2685	6388	3	0.904	4.031
3463	6408	3	0.974	28.028
4332	6535	3	0.9332	2.039
2685	4283	3	0.9704	-24.000
1811	6388	3	0.9034	32.063
2079	6408	3	0.9254	-25.984
1811	6408	3	0.9309	58.076
2079	4283	3	0.9307	-80.028
3474	6388	3	0.905	-24.001
3463	6388	3	0.9532	2.014
