Metabolite ID,Log-fold Change,,,,P-value,,,,Q-value,,,,Standard Error,,,,W-value,,,
,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion,Intercept (initial soil),early decompostion,active decompostion,advanced decompostion
3707,-4.40E-06,-1.89E-06,-5.78E-06,1.76E-05,,,,,,,,,,,,,,,,
1100,0.008376875,-2.01E-04,-7.73E-05,-0.001228569,,,,,,,,,,,,,,,,
1098,0.002627305,7.75E-05,0.001892223,0.007567976,,,,,,,,,,,,,,,,
1316,5.20E-05,-1.54E-05,-1.92E-05,-2.40E-05,,,,,,,,,,,,,,,,
4311,-4.40E-06,-1.89E-06,1.08E-04,1.88E-04,,,,,,,,,,,,,,,,
4776,-4.40E-06,-1.89E-06,-8.42E-06,1.44E-05,,,,,,,,,,,,,,,,
1157,7.27E-05,2.86E-05,2.10E-05,3.67E-05,,,,,,,,,,,,,,,,
2043,0.003792753,8.14E-04,1.42E-04,-9.54E-04,,,,,,,,,,,,,,,,
3312,5.18E-04,-3.53E-04,-3.60E-04,-3.45E-04,,,,,,,,,,,,,,,,
1088,4.65E-05,3.44E-06,-1.40E-05,-2.96E-05,,,,,,,,,,,,,,,,
1119,9.52E-04,-1.74E-04,-2.50E-04,-2.20E-04,,,,,,,,,,,,,,,,
351,0.002826947,1.42E-04,8.33E-05,-6.21E-05,,,,,,,,,,,,,,,,
3944,-4.40E-06,-1.89E-06,-1.11E-05,-2.96E-06,,,,,,,,,,,,,,,,
3584,-4.40E-06,-1.89E-06,-1.06E-05,-4.87E-06,,,,,,,,,,,,,,,,
3324,-4.40E-06,-1.89E-06,1.48E-04,5.94E-04,,,,,,,,,,,,,,,,
3539,-4.40E-06,-1.89E-06,-3.98E-06,1.14E-04,,,,,,,,,,,,,,,,
3716,-4.40E-06,-1.89E-06,-3.24E-06,2.74E-05,,,,,,,,,,,,,,,,
499,0.002234906,5.02E-04,1.54E-04,-4.41E-04,,,,,,,,,,,,,,,,
3922,-1.27E-06,2.28E-06,2.87E-05,2.43E-04,,,,,,,,,,,,,,,,
338,1.64E-04,1.81E-04,3.58E-04,2.25E-04,,,,,,,,,,,,,,,,
3688,4.81E-05,-8.72E-06,-9.54E-07,1.63E-04,,,,,,,,,,,,,,,,
526,2.22E-04,-4.76E-05,3.85E-05,-6.10E-05,,,,,,,,,,,,,,,,
3180,-4.40E-06,3.17E-06,3.93E-05,9.94E-05,,,,,,,,,,,,,,,,
5936,-4.40E-06,-1.89E-06,-8.03E-06,5.59E-06,,,,,,,,,,,,,,,,
182,8.15E-04,-3.10E-04,-1.61E-04,-3.59E-04,,,,,,,,,,,,,,,,
1577,1.33E-05,2.53E-05,2.31E-05,7.85E-06,,,,,,,,,,,,,,,,
4067,1.73E-05,-1.03E-05,-2.48E-05,-1.84E-05,,,,,,,,,,,,,,,,
2207,-4.40E-06,-1.89E-06,2.55E-05,2.84E-04,,,,,,,,,,,,,,,,
6534,-4.40E-06,-1.89E-06,8.53E-06,3.32E-05,,,,,,,,,,,,,,,,
1444,4.28E-04,1.02E-04,7.49E-05,1.11E-04,,,,,,,,,,,,,,,,
5815,-4.40E-06,-1.89E-06,-3.50E-06,1.00E-04,,,,,,,,,,,,,,,,
1105,1.84E-04,1.58E-05,1.08E-04,2.42E-04,,,,,,,,,,,,,,,,
2872,-4.40E-06,-1.89E-06,1.38E-05,1.33E-04,,,,,,,,,,,,,,,,
3836,-4.40E-06,-1.89E-06,1.68E-05,5.42E-05,,,,,,,,,,,,,,,,
1089,1.59E-04,-5.85E-05,2.25E-08,-7.67E-06,,,,,,,,,,,,,,,,
564,1.62E-05,-8.43E-06,-2.23E-05,-3.66E-05,,,,,,,,,,,,,,,,
2899,-4.40E-06,-1.89E-06,1.03E-04,6.77E-04,,,,,,,,,,,,,,,,
3570,-4.40E-06,-1.89E-06,-1.95E-06,1.73E-04,,,,,,,,,,,,,,,,
517,3.93E-04,4.29E-05,3.01E-04,5.46E-04,,,,,,,,,,,,,,,,
560,2.71E-04,1.06E-05,-6.83E-06,-2.69E-05,,,,,,,,,,,,,,,,
876,2.91E-04,7.82E-05,9.64E-05,3.29E-04,,,,,,,,,,,,,,,,
3955,-4.40E-06,-1.89E-06,-3.03E-06,5.49E-06,,,,,,,,,,,,,,,,
3592,-4.40E-06,-1.89E-06,1.67E-05,2.80E-04,,,,,,,,,,,,,,,,
306,0.004664908,-0.002186436,-0.001236423,-5.05E-04,,,,,,,,,,,,,,,,
3233,0.003563436,1.44E-04,-5.34E-04,-0.002115967,,,,,,,,,,,,,,,,
5743,-4.40E-06,-1.89E-06,-9.22E-06,2.20E-05,,,,,,,,,,,,,,,,
4115,-4.40E-06,-1.89E-06,1.13E-05,1.37E-04,,,,,,,,,,,,,,,,
4079,1.05E-05,6.80E-06,2.56E-05,1.16E-05,,,,,,,,,,,,,,,,
2158,-4.40E-06,1.53E-05,4.92E-05,2.55E-05,,,,,,,,,,,,,,,,
4897,-4.40E-06,-6.35E-07,2.04E-06,2.79E-05,,,,,,,,,,,,,,,,
2380,1.09E-04,-8.22E-06,2.25E-05,2.19E-06,,,,,,,,,,,,,,,,
3782,-4.40E-06,-1.89E-06,1.04E-05,7.57E-05,,,,,,,,,,,,,,,,
