id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
3707,1.161308540416812e-5,1.3150720738340947e-5,1.5714574839185742e-5,1.2509809788869237e-5
1100,5.601347026296949e-4,6.075085570219574e-4,6.268161084609394e-4,5.93322183453312e-4
1098,3.854165165184556e-4,5.075084842850922e-4,6.848686902509925e-4,4.223873741133057e-4
1316,1.744539087713225e-5,1.8890973678326165e-5,2.0054062800595566e-5,1.8618673287992772e-5
4311,1.1613085404172667e-5,2.9108796108428888e-5,3.661680742519065e-5,1.2509809788873252e-5
4776,1.1613085404167849e-5,1.3368030369543072e-5,1.5517519760213612e-5,1.2509809788869017e-5
1157,1.8351085043565124e-5,2.0393906765972177e-5,2.280973675006153e-5,1.9853650118766043e-5
2043,3.456554419862593e-4,3.6852114089176274e-4,3.73388656198151e-4,3.7576937930418797e-4
3312,2.6140369061800826e-4,2.682734710754507e-4,2.6743571666291586e-4,2.690468119247587e-4
1088,1.4254604046818196e-5,1.61011843296148e-5,1.7758068332466186e-5,1.5457162272698186e-5
1119,2.0470168728648912e-4,2.168733029374831e-4,2.190304618547688e-4,2.28607256496676e-4
351,3.812210459499551e-4,3.9957957671437575e-4,4.091502208451607e-4,4.070529104912813e-4
3944,1.1613085404168055e-5,1.34087918159389e-5,1.478858850616753e-5,1.2509809788869193e-5
3584,1.1613085404167833e-5,1.3418832151565362e-5,1.563690319523041e-5,1.2509809788869017e-5
3324,1.1613085404178233e-5,3.604720832294173e-5,7.693031679712243e-5,1.2509809788877716e-5
3539,1.1613085404166583e-5,1.3219905827696871e-5,3.629654765432034e-5,1.2509809788867813e-5
3716,1.1613085404168005e-5,1.2932563260123045e-5,1.4846168899148234e-5,1.2509809788869116e-5
499,2.1836139080871797e-4,2.3397525443423278e-4,2.3296063268928762e-4,2.4227370158505442e-4
3922,1.2539015818789002e-5,1.720545893692398e-5,4.169508537384943e-5,1.5319033515846162e-5
338,8.775365869507567e-5,1.1628765510617754e-4,1.0133912387824403e-4,1.1509451072277303e-4
3688,5.5776317034285634e-5,6.282355966352014e-5,8.431067860628448e-5,7.226026166713843e-5
526,5.972822675506491e-5,6.51637168030676e-5,6.378793599105299e-5,6.233055893075495e-5
3180,1.1613085404164244e-5,2.5755544391034466e-5,3.675625769070413e-5,1.2865562873731025e-5
5936,1.161308540416777e-5,1.3562286859273152e-5,1.7404951587492636e-5,1.250980978886893e-5
182,5.61243911642903e-4,5.889596621242989e-4,5.876888290235289e-4,5.990866762209914e-4
1577,1.286266609674146e-5,1.5517801967956006e-5,1.6851729551852664e-5,1.471272792019898e-5
4067,1.5805329251608408e-5,1.7411207950910733e-5,2.3373245196360592e-5,1.699809364629058e-5
2207,1.1613085404170354e-5,1.4395219809320123e-5,3.263180257822707e-5,1.2509809788871284e-5
6534,1.1613085404167454e-5,1.3886635355738589e-5,1.778741886404166e-5,1.2509809788868621e-05
1444,1.0718343898630536e-4,1.1509129714683063e-4,1.2037295821491988e-4,1.19589428837507e-4
5815,1.161308540416911e-5,1.3074865066167542e-5,2.5735650377584833e-5,1.2509809788870174e-5
1105,5.433726922752464e-5,6.118388694216611e-5,6.585992577265787e-5,6.205781943890862e-5
2872,1.1613085404168811e-5,1.4411276331242388e-5,2.976534545895967e-5,1.2509809788869881e-5
3836,1.1613085404167828e-5,1.424276112556042e-5,2.9737870886814432e-5,1.2509809788869204e-5
1089,5.3567068064607814e-5,6.0914950781047256e-5,6.202346219805478e-5,6.0150540888794886e-5
564,1.8836100545057107e-5,2.020859615081211e-5,2.1280125473258847e-5,1.9938219645133954e-5
2899,1.161308540417215e-5,2.9072658979340258e-5,7.91986644951028e-5,1.2509809788872775e-5
3570,1.1613085404165055e-5,1.3196777529659162e-5,3.9836047879838253e-5,1.2509809788865924e-5
517,6.448308670008678e-5,8.215085353547332e-5,1.1936170089203827e-4,7.314208018106814e-5
560,4.3692012084039737e-05,4.730761358683279e-5,4.8807515660683406e-5,4.967354259518686e-5
876,3.9936387930888156e-5,4.4390054008023734e-5,5.1548674661372716e-5,4.510825975772135e-5
3955,1.1613085404167706e-5,1.3093928096793345e-5,1.547405189196263e-5,1.2509809788868885e-5
3592,1.1613085404169089e-5,1.4214561849573978e-5,3.269585269740701e-5,1.2509809788869666e-5
