id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
3707,1.0480411082988669e-5,1.1435780981731074e-5,1.1845411544303226e-5,1.1803266516964418e-5
1100,5.51525445473356e-4,5.86622616238957e-4,5.821184500656348e-4,5.936623184297343e-4
1098,2.448413604493696e-4,2.766728799920705e-4,3.2174751417210614e-4,2.639652902869432e-4
4311,1.0480411082988555e-5,1.1375708553742614e-5,1.1886544338873688e-5,1.1803266516964292e-5
4776,1.0480411082988713e-5,1.130918634141116e-5,1.1923071574208719e-5,1.1803266516964448e-5
1157,1.1174754928751179e-5,1.204972663627081e-5,1.2388407094791636e-5,1.2269970778888082e-5
2043,1.763806991689128e-4,1.891477632235954e-4,1.8778588633250069e-4,1.892696688225575e-4
3312,2.366307201393251e-5,2.4122714170511937e-5,2.6726309147179984e-5,2.427795422062202e-5
1088,1.0394006375632382e-5,1.13752872461535e-5,1.1824957708679426e-5,1.1732210231014804e-5
1119,9.376877026394223e-5,1.013007466907231e-4,9.985340378120305e-5,1.0127989862044707e-4
351,1.6399419154537476e-4,1.7217003555211393e-4,1.7259846944694005e-4,1.8290983718586963e-4
3944,1.0480411082988704e-5,1.1383503987814257e-5,1.1897119279203898e-5,1.180326651696444e-5
3584,1.0480411082988359e-5,1.3814132531378867e-5,1.182012570853666e-5,1.1803266516964124e-5
3324,1.0480411082988389e-5,1.14620463046474e-5,1.3045546602096379e-5,1.180326651696416e-5
3539,1.0480411082988735e-5,1.1445034201465722e-5,1.3881905019389408e-5,1.1803266516964451e-5
3716,1.0480411082988677e-5,1.13462336699017e-5,1.181589097886641e-5,1.1803266516964424e-5
499,7.840373840624456e-5,8.461017065867762e-5,8.343618693025623e-5,8.346022106629543e-5
3922,1.0480411082989055e-5,1.1833596753046216e-5,1.556859372349295e-5,1.1803266516964673e-5
338,1.67385735523091e-4,1.731067628322036e-4,1.7692938387648752e-4,2.2764245983928507e-4
3688,1.0480411082988669e-5,1.3346331185108604e-5,1.8132547550051325e-5,1.1803266516964424e-5
526,1.5926048364987508e-5,1.7194775112303584e-5,1.749172064589099e-5,1.746137363244166e-5
3180,1.0480411082988523e-5,1.1465300474009438e-5,1.3852992400209682e-5,1.1837864348462316e-5
182,2.2057192527422752e-4,2.35585659853166e-4,2.3646647006645628e-4,2.3506618907572226e-4
1577,9.88138692060178e-6,1.0947269018328971e-5,1.152904556773023e-5,1.1279355636364485e-5
4067,1.048041108298887e-5,1.1457406055019931e-5,1.2899466405270672e-5,1.1803266516964604e-5
2207,1.0480411082988933e-5,1.5275688120306757e-5,1.1934890404624457e-5,1.1803266516964595e-5
1444,7.806647921770345e-5,8.285260016866314e-5,8.321780450202259e-5,8.22264520854163e-5
5815,1.0480411082988406e-5,1.1466164237398395e-5,1.1930023765040834e-5,1.1803266516964182e-5
1105,4.97297669022907e-5,5.218233443164159e-5,5.200098312232831e-5,5.2172473053507615e-5
2872,1.0480411082988169e-5,1.146616423739817e-5,1.4873627252165623e-5,1.180326651696398e-5
3836,1.0480411082988594e-5,1.1382611552112404e-5,1.188808140398631e-5,1.1803266516964335e-5
1089,8.690982918233528e-5,9.262557917034896e-5,9.609780856320036e-5,9.162960514321935e-5
564,1.0383760985984605e-5,1.1466595765338972e-5,1.1830731191753727e-5,1.1749501590765966e-5
2899,1.0480411082989116e-5,1.1976182236461846e-5,2.3201228684363062e-5,1.1803266516964899e-5
3570,1.0480411082988826e-5,1.2334064277697271e-5,1.1804856535057656e-5,1.1803266516964526e-5
517,7.229556718414175e-5,7.60560212110928e-5,7.379689555860195e-5,7.581231930349178e-5
560,3.952905913369934e-5,4.1134583004023784e-5,4.17997585324135e-5,4.104085341675558e-5
876,4.529593231678487e-5,4.854284127076791e-5,4.7530797713245836e-5,4.7648617625983616e-5
3955,1.048041108298856e-5,1.1466164237398536e-5,1.187347720497645e-5,1.180326651696432e-5
3592,1.048041108298877e-5,1.1333249049673952e-5,1.1906346390518386e-5,1.1803266516964499e-5
306,0.001497850094714489,0.0015631994975981503,0.0015644303274803077,0.0015958521274878504
3233,1.0480411082987015e-5,4.4545483532171084e-5,1.8509924935850033e-5,2.5790270226841817e-5
5743,1.0480411082988497e-5,1.146616423739848e-5,1.1920281200933767e-5,1.1803266516964265e-5
4115,1.0480411082988497e-5,1.146616423739847e-5,1.1903604884372662e-5,1.1803266516964257e-5
4079,1.0480411082988345e-5,1.1466164237398338e-5,1.1920240239250428e-5,1.180326651696413e-5
2158,1.0480411082988875e-5,1.5856139607998148e-5,1.3744394796206734e-5,1.2255151052511454e-5
4897,1.0480411082988669e-5,1.1382937155283594e-5,1.1922072784218521e-5,1.1803266516964394e-5
2380,8.233606385289181e-5,8.563164056313881e-5,8.481445825177912e-5,8.376937930212647e-5
3782,1.048041108298859e-5,1.1455196112215657e-5,1.1923071574208602e-5,1.1803266516964331e-5
2895,1.0480411082988397e-5,1.1384039459917155e-5,1.2121825077391083e-5,1.1803266516964167e-5
524,4.879491785133476e-5,5.3630984237688956e-5,5.226997484511569e-5,5.262151848256989e-5
1438,1.31274537997156e-5,1.439411781548116e-5,1.433868803467516e-5,1.4472265568926806e-5
1048,1.1323882856431765e-5,1.2246004497888205e-5,1.2607628866600361e-5,1.2560558274893187e-5
915,1.5187230818469419e-5,1.8618879805730518e-5,7.867990278570502e-5,1.723016226494083e-5
3036,1.0480411082988467e-5,1.2174232053447276e-5,1.71706517765454e-5,1.180326651696429e-5
348,4.630637614014199e-5,4.9589183104756864e-5,5.2026927583050313e-5,5.508123928470575e-5
3331,1.0480411082987655e-5,2.244466440715537e-5,1.2155763431548643e-5,1.1803266516963593e-5
3565,1.0480411082988616e-5,1.1454405161719874e-5,1.188083728075028e-5,1.1803266516964355e-5
648,2.5639585419640983e-5,2.660410879190268e-5,2.712697262347898e-5,2.750470023347995e-5
1758,1.0480411082991725e-5,1.8959096456890292e-5,2.9887820404623475e-5,1.2354462642217919e-5
2598,1.430743027399181e-5,1.542863007501778e-5,1.5486045600239985e-5,1.5265408411957408e-5
2860,1.048041108298859e-5,1.1334476459606761e-5,1.6649100332355206e-5,1.1803266516964316e-5
307,0.0037239592843999114,0.003946958413911927,0.003942088088191819,0.004040475463350001
534,2.9962584436324618e-5,3.0645784729697214e-5,3.063873670935073e-5,3.056210241539555e-5
712,2.926649596539725e-5,3.1971569666229806e-5,3.195939717824821e-5,3.2366889721084454e-5
2047,1.0480411082988594e-5,1.1484458417787404e-5,1.2016661212207255e-5,1.1846592993839445e-5
2194,1.0480411082987722e-5,1.3181608096597351e-5,2.13241860643108e-5,1.1803266516963677e-5
746,1.9408649283970818e-5,2.1705319651968712e-5,2.433588772193671e-5,2.1073003429984415e-5
928,8.808888499733902e-5,9.13907516709782e-5,9.177488576193517e-5,9.227055452236764e-5
2394,6.720430352833687e-5,7.094419715326147e-5,7.02589619038573e-5,6.894004690287201e-5
496,1.0480411082988906e-5,1.146616423739878e-5,1.4367353574432597e-5,1.1803266516964541e-5
3620,1.048041108298859e-5,1.1435559026909463e-5,1.1797305861250516e-5,1.1803266516964346e-5
4662,1.0480411082988503e-5,1.1466164237398483e-5,1.1853507775059926e-5,1.180326651696427e-5
