relativeIndex	absoluteIndex	id	name	parentId	description
0	0	CHEMONT:0000000	Organic compounds	CHEMONT:9999999	Compounds that contain at least carbon atom, excluding isocyanide/cyanide and their non-hydrocarbyl derivatives, thiophosgene, carbon diselenide, carbon monosulfide, carbon disulfide, carbon subsulfide, carbon monoxide, carbon trioxide, Carbon suboxide, and dicarbon monoxide.
1	1	CHEMONT:0000001	Inorganic compounds	CHEMONT:9999999	Compounds that do not contain a C atom.
2	2	CHEMONT:0000002	Organoheterocyclic compounds	CHEMONT:0000000	Compounds containing a ring with least one carbon atom and one non-carbon atom.
3	3	CHEMONT:0000003	Thiepanes	CHEMONT:0000002	Organic compounds containing a heptane ring in which one carbon atom is replaced by a sulfur atom.
4	4	CHEMONT:0000004	Organosulfur compounds	CHEMONT:0000000	Organic compounds containing a carbon-sulfur bond.
5	6	CHEMONT:0000006	Benzoxazolines	CHEMONT:0000002	Organic compounds containing a benzene ring fused to an oxazoline ring. Oxazoline is five-membered unsaturated ring with a nitrogen atom and an oxygen atom at the 1- and 3-position, respectively. Additionally, it contains two double bonds.
6	7	CHEMONT:0000007	Amidines	CHEMONT:0000278	Derivatives of oxoacids RnE(=O)OH in which the hydroxy group is replaced by an amino group and the oxo group is replaced by =NR. Amidines include carboxamidines, sulfinamidines and phosphinamidines.
7	8	CHEMONT:0000008	Cembrane diterpenoids	CHEMONT:0001551	Diterpenoids with a structure based a cembrane skeleton, which is characterized by the presence of an isopropyl group at C-1 and by three symmetrically disposed methyl groups a the t C-4, -8 and -12 positions.
8	11	CHEMONT:0000011	Carbohydrates and carbohydrate conjugates	CHEMONT:0000323	Monosaccharides, disaccharides, oligosaccharides, polysaccharides, and their derivatives.
9	12	CHEMONT:0000012	Lipids and lipid-like molecules	CHEMONT:0000000	Fatty acids and their derivatives, and substances related biosynthetically or functionally to these compounds.
10	13	CHEMONT:0000013	Amino acids, peptides, and analogues	CHEMONT:0000265	Organic compounds containing an amino acid or a peptide backbone, or derivatives thereof.
11	14	CHEMONT:0000014	Phenylbutylamines	CHEMONT:0002279	Compounds containing a phenylbutylamine moiety, which consists of a phenyl group substituted at the fourth carbon by an butan-1-amine.
12	15	CHEMONT:0000015	Dibenzofurans	CHEMONT:0000301	Compounds containing a dibenzofuran moiety, which consists of two benzene rings fused to a central furan ring.
13	16	CHEMONT:0000016	Allenes	CHEMONT:0000000	Compounds in which one carbon atom has double bonds with each of its two adjacent carbon centers. The definition includes both the hydrocarbon molecules and their derivatives obtained by substitution.
