rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	2	0.9993362938060594	-312.4714843148865	0.4527638190954774	38.48808250943741	C46H82N2O10	[M + H]+	XSVXHEMLPLUNSG	InChI=1S/C46H82N2O10/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24-31-41(52)48-37(35-57-46-45(56)44(55)43(54)39(34-49)58-46)42(53)38(50)30-26-32-40(51)47-33-25-19-18-21-27-36-28-22-20-23-29-36/h20,22-23,28-29,37-39,42-46,49-50,53-56H,2-19,21,24-27,30-35H2,1H3,(H,47,51)(H,48,52)	null	CCCCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C(CCCC(=O)NCCCCCCC2=CC=CC=C2)O)O	9.30000019	137321184	PubChem:(137321184);PubChem class - bio and metabolites	16777218	823.6022	NaN	2204_specs_ms_FEATURE_2206
2	1	1	1	0.9990452122170146	-40.210468783673726	0.9999999999999999	50.907391249300794	C23H39NO5	[M + H]+	KUOWDMBZTRBDRI	InChI=1S/C23H39NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(25)24-20(23(28)29)18-19-22(26)27/h6-7,9-10,20H,2-5,8,11-19H2,1H3,(H,24,25)(H,26,27)(H,28,29)	Glutamic acid lineolamide	CCCCCC=CCC=CCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O	5.80000019	197003;6444189;20839795	MeSH:(6444189);PubChem class - safety and toxic;PubChem:(197003 6444189 20839795);PubMed	67108934	410.2881	NaN	1716_specs_ms_FEATURE_1718
3	2	1	1	0.9987866180703193	-68.08964763918608	0.9979899497487437	31.8875319180785	C23H39NO5	[M + H]+	KUOWDMBZTRBDRI	InChI=1S/C23H39NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(25)24-20(23(28)29)18-19-22(26)27/h6-7,9-10,20H,2-5,8,11-19H2,1H3,(H,24,25)(H,26,27)(H,28,29)	Glutamic acid lineolamide	CCCCCC=CCC=CCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O	5.80000019	197003;6444189;20839795	MeSH:(6444189);PubChem class - safety and toxic;PubChem:(197003 6444189 20839795);PubMed	67108934	410.2896	NaN	2156_specs_ms_FEATURE_2158
4	1	1	1	0.998677966982341	-39.96751827636453	0.9999999999999999	62.78593041869242	C23H39NO5	[M + H]+	KUOWDMBZTRBDRI	InChI=1S/C23H39NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(25)24-20(23(28)29)18-19-22(26)27/h6-7,9-10,20H,2-5,8,11-19H2,1H3,(H,24,25)(H,26,27)(H,28,29)	Glutamic acid lineolamide	CCCCCC=CCC=CCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O	5.80000019	197003;6444189;20839795	MeSH:(6444189);PubChem class - safety and toxic;PubChem:(197003 6444189 20839795);PubMed	67108934	410.2899	NaN	2161_specs_ms_FEATURE_2163
5	1	1	1	0.9976131231407577	-25.879332325490658	0.9999999999999999	35.30996386959043	C23H41NO5	[M + H]+	UUFVSGRELDGPGL	InChI=1S/C23H41NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(25)24-20(23(28)29)18-19-22(26)27/h9-10,20H,2-8,11-19H2,1H3,(H,24,25)(H,26,27)(H,28,29)	Oleoyl glutamic acid	CCCCCCCCC=CCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O	6.5	215144;350647;5784185;5385829;6445422;6913738;123132023;135240008	PubChem:(215144 350647 5784185 5385829 6445422 6913738 123132023 135240008);CHEBI:(136713 134122)	34	412.3048	NaN	928_specs_ms_FEATURE_930
6	2	1	1	0.9970374766356241	-44.68467975531154	0.9999999999999999	4.291908645358762	C23H41NO5	[M + H]+	UUFVSGRELDGPGL	InChI=1S/C23H41NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(25)24-20(23(28)29)18-19-22(26)27/h9-10,20H,2-8,11-19H2,1H3,(H,24,25)(H,26,27)(H,28,29)	Oleoyl glutamic acid	CCCCCCCCC=CCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O	6.5	215144;350647;5784185;5385829;6445422;6913738;123132023;135240008	PubChem:(215144 350647 5784185 5385829 6445422 6913738 123132023 135240008);CHEBI:(136713 134122)	34	412.3059	NaN	2781_specs_ms_FEATURE_2783
7	1	1	2	0.9966542111850474	-391.32021131028074	0.7763819095477387	33.71284911462554	C31H64O10	[M + H]+	BKXWJEGSRDVZLW	InChI=1S/C31H64O10/c1-11-12-13-33-15-24(3)35-17-26(5)37-19-28(7)39-21-30(9)41-22-31(10)40-20-29(8)38-18-27(6)36-16-25(4)34-14-23(2)32/h23-32H,11-22H2,1-10H3	null	CCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O	3.4000001	20485683	PubChem:(20485683);COCONUT:(CNP0346947)	2097154	597.4574	NaN	234_specs_ms_FEATURE_236
8	2	1	2	0.99657776313536	-314.5460369278568	0.6422110552763819	12.194222562479855	C42H74N2O10	[M + H]+	SITXHTZUBKGTAF	InChI=1S/C42H74N2O10/c1-2-3-4-5-6-7-8-9-10-11-12-13-20-27-37(48)44-33(31-53-42-41(52)40(51)39(50)35(30-45)54-42)38(49)34(46)26-22-28-36(47)43-29-21-15-14-17-23-32-24-18-16-19-25-32/h16,18-19,24-25,33-35,38-42,45-46,49-52H,2-15,17,20-23,26-31H2,1H3,(H,43,47)(H,44,48)	null	CCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C(CCCC(=O)NCCCCCCC2=CC=CC=C2)O)O	7.0999999	137321183	PubChem:(137321183);PubChem class - bio and metabolites	16777218	767.5402	NaN	2783_specs_ms_FEATURE_2785
9	1	1	1	0.9965413878082539	-38.46839783729012	0.9999999999999999	41.605543869015	C19H35NO5	[M + H]+	MTJZWYHTZFVEGI	InChI=1S/C19H35NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-17(21)20-16(19(24)25)14-15-18(22)23/h16H,2-15H2,1H3,(H,20,21)(H,22,23)(H,24,25)	Myristoyl glutamic acid	CCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O	5.30000019	10110327;10216105;18634845;58133400	NORMAN:(NS00040737);PubChem:(10110327 10216105 18634845 58133400);PubMed	262210	358.2579	NaN	1789_specs_ms_FEATURE_1791
10	1	1	1	0.9955798520096578	-26.066596728252897	0.9999999999999999	48.02908512070585	C21H39NO5	[M + H]+	KMAOMYOPEIRFLB	InChI=1S/C21H39NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(23)22-18(21(26)27)16-17-20(24)25/h18H,2-17H2,1H3,(H,22,23)(H,24,25)(H,26,27)	Palmitoylglutamic acid	CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O	6.4000001	161955;3649795;23390005;102467867	NORMAN:(NS00013935);PubChem:(161955 3649795 23390005 102467867);PubChem class - bio and metabolites;MeSH:(161955);PubChem class - safety and toxic;PubMed	84148294	386.2899	NaN	1390_specs_ms_FEATURE_1392
