#SampleID	env_package	empo_1	empo_2	empo_3
10172.1247	human-skin			
14446.658	water	Free-living	Non-saline	Water (non-saline)
14446.2722	wastewater/sludge	Free-living	Non-saline	Water (non-saline)
11442.G72442	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.066.Fly.19.L	host-associated		Host-associated	Host-associated (non-saline)
14446.2335	water	Free-living	Non-saline	Water (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
11442.G79588	misc environment	free-living	non-saline	surface (non-saline)
11442.G79342	misc environment	free-living	non-saline	surface (non-saline)
11442.G75698	misc environment	free-living	non-saline	surface (non-saline)
11442.G79536	misc environment	not applicable	not applicable	not applicable
11404.000063503	human-associated			
13301.2014.053.Fly.5.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G86981	misc environment	free-living	non-saline	surface (non-saline)
11442.G86980	misc environment	free-living	non-saline	surface (non-saline)
11442.G73441	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
14446.3285	wastewater/sludge	Free-living	Non-saline	Water (non-saline)
11404.000063268	human-skin			
13301.2014.006.Fly.23.O	host-associated		Host-associated	Host-associated (non-saline)
10317.000063227	human-associated	host-associated	animal	animal secretion
11404.000063417	human-associated			
13301.2015.015.Fly.15.T	host-associated		Host-associated	Host-associated (non-saline)
10317.000063232	human-skin	host-associated	animal	animal surface
10370.23F11	human-skin			
12227.SAL.RAS.B.49.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2015.015.Fly.12.L	host-associated		Host-associated	Host-associated (non-saline)
11272.Cl.V1.2A7.LB	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11052.2.14.14.rk.rh	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2015.015.Fly.6.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G79542	misc environment	not applicable	not applicable	not applicable
14446.681	wastewater/sludge	Free-living	Non-saline	Water (non-saline)
13301.2014.042.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
