#SampleID	env_package	empo_1	empo_2	empo_3
13301.2015.017.Fly.5.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
11405.subject726.timepoint24	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11692.11441.29o15	host-associated	Host-associated	Animal	Animal secretion
10370.21E1	human-skin			
11519.19A030709.S15.3E	soil	Free-living	Non-saline	Soil (non-saline)
11712.BLANK12.11H	misc environment	Control	Negative	Sterile water blank
10321.2014.009.Fly.34.T				
10218.T1.R3.6	soil			
14446.3089	water	Free-living	Non-saline	Water (non-saline)
10370.7D9	human-skin			
13301.2015.015.Fly.6.O	host-associated		Host-associated	Host-associated (non-saline)
10218.3.6.13CtrlC	soil			
10218.MS00048	soil			
10934.ntc.blank.3.5m	misc environment	Control	Negative	Sterile water blank
13301.2014.066.Fly.29.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G78950	misc environment	free-living	non-saline	surface (non-saline)
11548.A21.112.teeth	host-associated	Host-associated	Animal-associated	Animal corpus
10218.G.CTRL.soil.T0.5	soil			
13301.2014.004.Fly.39.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.24.T	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.18.T				
11712.SUBJECT8.STOOL.1151	human-gut	Host-associated	Animal-associated	Animal distal gut
11052.4.14.19.RK.LH	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2015.017.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT20.STOOL.427	human-gut	Host-associated	Animal-associated	Animal distal gut
10218.G.CTRL.soil.T0.4	soil			
10353.QM	host-associated	Host-associated	Animal	Animal distal gut
11953.L181.tp4.bis	host-associated	Host-associated	Animal-associated	Animal distal gut
11442.G73701	misc environment	free-living	non-saline	surface (non-saline)
550.L2S143.s.2.sequence	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2015.015.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
13092.000117212.covid	built environment	Free-living	Non-saline	Surface (non-saline)
13301.2014.006.Fly.19.L	host-associated		Host-associated	Host-associated (non-saline)
10218.DM97	built environment			
13301.2015.017.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
11815.JCK.10150.TongueEtOH.2	host-associated	Host-associated	Animal-associated	Animal secretion
13301.2014.066.Fly.30.L	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.63.67	human-associated	Host-associated	Animal	Animal secretion
11740.39.3.MonTues.Vacuum.cr	built environment			
10370.23C5	human-skin			
13301.2014.042.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
10403.7.11.14.L38.S5	human-skin	Host-associated	Animal	Animal surface
13301.2015.015.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79575	misc environment	free-living	non-saline	surface (non-saline)
11442.G75805	misc environment	not applicable	not applicable	not applicable
10218.F.CTRL.soil.T0.3	soil			
10442.WSB357	water			
10442.WSB594	water			
11405.subject833.timepoint2	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79755	misc environment	not applicable	not applicable	not applicable
11405.BLANK08.D10	misc environment	Control	Negative	Sterile water blank
10218.RK46	built environment			
11405.subject892.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11405.subject858.timepoint6	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11624.J40.120.26	human-associated	Host-associated	Animal	Animal secretion
13301.2014.042.Fly.10.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT22.STOOL.476	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.042.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.20.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
10172.2282	built environment			
11519.19A030709.S15.3D	soil	Free-living	Non-saline	Soil (non-saline)
11293.C.0450	human-oral	Host-associated	Animal	Animal secretion
11865.table.ins.seat.2.t2	built environment	Free-living	Non-saline	Surface (non-saline)
13301.2014.042.Fly.13.O	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB324	water			
11548.A21.111.teeth	host-associated	Host-associated	Animal-associated	Animal corpus
11405.subject833.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
1747.slasher.32.101112	host-associated	Host-associated	Animal	Animal surface
10317.000015217	human-skin	host-associated	animal	animal surface
11624.K40.115.67	human-associated	Host-associated	Animal	Animal secretion
10218.Gulf.Oil.1.6.A	sediment			
13301.2015.017.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
10218.5.11.13.S.CtrlA	soil			
11624.J40.126.51	human-associated	Host-associated	Animal	Animal secretion
13301.2014.066.Fly.10.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
10218.JB.lh	built environment			
10321.2014.006.Fly.23.T				
13092.000117129.covid	built environment	Free-living	Non-saline	Surface (non-saline)
11712.SUBJECT16.STOOL.201	human-gut	Host-associated	Animal-associated	Animal distal gut
10403.7.11.14.L43.S5	human-skin	Host-associated	Animal	Animal surface
11442.G75789	misc environment	free-living	non-saline	surface (non-saline)
10370.23B9	human-skin			
13301.2014.042.Fly.40.T	host-associated		Host-associated	Host-associated (non-saline)
