#SampleID	env_package	empo_1	empo_2	empo_3
10442.WSB755	water			
10245.86.Drnum9.day53.Bag6		Host-associated	Plant	Plant corpus
11442.G79752	misc environment	not applicable	not applicable	not applicable
13301.2014.028.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79574	misc environment	free-living	non-saline	surface (non-saline)
10137.Day.807.A				
11815.BN.594.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13301.2014.066.Fly.19.T	host-associated		Host-associated	Host-associated (non-saline)
10218.5.9.13.S.H.A	soil			
11442.G79343	misc environment	free-living	non-saline	surface (non-saline)
10218.3.9.13CtrlB	soil			
10353.ntc1.pcr	misc environment	Control	Negative	Sterile water blank
11442.G79714	misc environment	host-associated	not applicable	not applicable
11442.G79576	misc environment	free-living	non-saline	surface (non-saline)
10137.Day.751.A				
10353.PM	host-associated	Host-associated	Animal	Animal distal gut
13301.2014.066.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
13301.2014.004.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
10137.Day.549.A				
10172.1776	human-skin			
13301.2014.042.Fly.1.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.39.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75813	misc environment	not applicable	not applicable	not applicable
11442.G79538	misc environment	not applicable	not applicable	not applicable
10218.5.13.13.S.LA.F	soil			
11442.G79577	misc environment	free-living	non-saline	surface (non-saline)
10353.P2.Os8F.W4	host-associated	Host-associated	Animal	Animal distal gut
10137.Day.795.A				
10863.PBS1.8H	microbial mat/biofilm			
10137.Day.525.A				
13301.2014.042.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB757	water			
10137.Day.699.A				
13301.2014.042.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
10218.5.11.13.S.RA.G	soil			
10137.Day.843.G				
13114.mousseau.88.s011	host-associated	Host-associated	Animal	Animal distal gut
10353.P.water.T7.T8.T9.W0	water	Free-living	Non-saline	Water (non-saline)
10218.3.7.13.A	soil			
10403.3.11.14.NL29.S3	human-skin	Host-associated	Animal	Animal surface
13301.2014.042.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
