#SampleID	env_package	empo_1	empo_2	empo_3
12227.137.FT.5.skin	host-associated	Host-associated	Animal	Animal surface
10218.5.13.13.S.LA.F	soil			
11712.SUBJECT19.STOOL.373	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G78950	misc environment	free-living	non-saline	surface (non-saline)
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79360	misc environment	not applicable	not applicable	not applicable
10863.PBS1.8H	microbial mat/biofilm			
11442.G75805	misc environment	not applicable	not applicable	not applicable
11442.G75650	misc environment	free-living	non-saline	surface (non-saline)
11624.K40.105.61	human-associated	Host-associated	Animal	Animal secretion
13301.2014.066.Fly.22.L	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB170A	water			
10442.WSB320	water			
11712.SUBJECT43.STOOL.1070	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.004.Fly.17.T	host-associated		Host-associated	Host-associated (non-saline)
12227.control.feed3	misc environment	Free-living	Non-saline	Surface (non-saline)
11712.SUBJECT9.STOOL.1208	human-gut	Host-associated	Animal-associated	Animal distal gut
11624.K40.96.89	human-associated	Host-associated	Animal	Animal secretion
