#SampleID	env_package	empo_1	empo_2	empo_3
12227.SAL.RAS.A.24.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79570	misc environment	free-living	non-saline	surface (non-saline)
11442.G79573	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.A.29.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.A.20.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79574	misc environment	free-living	non-saline	surface (non-saline)
11740.47.2.MonTues.Vacuum.cr	built environment			
13301.2015.017.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.31.skin	host-associated	Host-associated	Animal	Animal surface
11442.G79649	misc environment	host-associated	not applicable	not applicable
11166.ATL.24495.starling	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G75805	misc environment	not applicable	not applicable	not applicable
11442.G75661	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.006.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.B.44.skin	host-associated	Host-associated	Animal	Animal surface
11442.G75647	misc environment	free-living	non-saline	surface (non-saline)
11442.G79537	misc environment	not applicable	not applicable	not applicable
10442.WSB138C	water			
11624.K40.76.54	human-associated	Host-associated	Animal	Animal secretion
12227.SAL.RAS.B.48.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.006.Fly.9.O	host-associated		Host-associated	Host-associated (non-saline)
13414.99.midg	host-associated	Host-associated	Host-associated (saline)	Animal (saline)
11442.G79576	misc environment	free-living	non-saline	surface (non-saline)
2192.H06b.Foot.3230.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G75700	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.028.Fly.32.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.23.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.009.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79536	misc environment	not applicable	not applicable	not applicable
12227.SAL.RAS.A.28.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.B.51.skin	host-associated	Host-associated	Animal	Animal surface
11442.G79748	misc environment	not applicable	not applicable	not applicable
12227.SAL.75Pft.10.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.A.59.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79540	misc environment	not applicable	not applicable	not applicable
11442.G79541	misc environment	not applicable	not applicable	not applicable
11442.G79755	misc environment	not applicable	not applicable	not applicable
10321.2014.009.Fly.36.T				
11400.sunshine.U238.sputum	human-associated			
10370.CF7	human-skin			
12227.SAL.75Pft.7.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.B.46.skin	host-associated	Host-associated	Animal	Animal surface
13301.2014.066.Fly.35.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G74020	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.75Pft.13.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G83216	misc environment	host-associated	plant	plant-corpus
12227.SAL.RAS.B.42.skin	host-associated	Host-associated	Animal	Animal surface
13301.2015.017.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.10.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.B.52.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.control.feed3	misc environment	Free-living	Non-saline	Surface (non-saline)
11442.G75808	misc environment	not applicable	not applicable	not applicable
12227.SAL.RAS.A.57.skin	host-associated	Host-associated	Animal	Animal surface
12227.control.feed6	misc environment	Free-living	Non-saline	Surface (non-saline)
13301.2015.017.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
10218.5.13.13.S.LA.F	soil			
12227.SAL.RAS.B.42.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2015.015.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75698	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.B.40.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11815.JCK.10381.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10321.2014.006.Fly.10.T				
12227.137.FT.5.skin	host-associated	Host-associated	Animal	Animal surface
10321.2014.009.Fly.4.T				
11442.G79572	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.75Pft.1.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G78937	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.58.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10317.000066825	human-associated	host-associated	animal	animal surface
11405.subject854.timepoint24	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.009.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT18.STOOL.325	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.009.Fly.10.T	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.75Pft.18.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79538	misc environment	not applicable	not applicable	not applicable
10321.2014.006.Fly.25.T				
12227.SAL.75Pft.11.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.B.47.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.A.27.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10423.1LWSMADX16WWM	built environment			
