#SampleID	env_package	empo_1	empo_2	empo_3
11442.G79538	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT25.STOOL.547	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G83216	misc environment	host-associated	plant	plant-corpus
11442.G79343	misc environment	free-living	non-saline	surface (non-saline)
11442.G79536	misc environment	not applicable	not applicable	not applicable
11442.G79542	misc environment	not applicable	not applicable	not applicable
13301.2014.066.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
10245.35.Drnum4.day15.Bag5		Host-associated	Plant	Plant corpus
13414.99.g	host-associated	Host-associated	Host-associated (saline)	Animal (saline)
11442.G73517	misc environment	host-associated	animal	animal-secretion
11442.G79574	misc environment	free-living	non-saline	surface (non-saline)
1747.slasher.34.101112	host-associated	Host-associated	Animal	Animal surface
11442.G75813	misc environment	not applicable	not applicable	not applicable
11442.G79540	misc environment	not applicable	not applicable	not applicable
13414.99.midg	host-associated	Host-associated	Host-associated (saline)	Animal (saline)
13301.2014.066.Fly.28.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79344	misc environment	free-living	non-saline	surface (non-saline)
11442.G79572	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.066.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.26.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79649	misc environment	host-associated	not applicable	not applicable
11442.G79570	misc environment	free-living	non-saline	surface (non-saline)
11442.G79573	misc environment	free-living	non-saline	surface (non-saline)
11442.G78950	misc environment	free-living	non-saline	surface (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
11442.G79539	misc environment	not applicable	not applicable	not applicable
11166.UM.24877.vfinch	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10442.WSB170B	water			
11442.G79360	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT25.STOOL.552	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G79541	misc environment	not applicable	not applicable	not applicable
10218.5.13.13.S.LA.F	soil			
11712.SUBJECT26.STOOL.569	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G83177	misc environment	not applicable	not applicable	not applicable
11442.G79755	misc environment	not applicable	not applicable	not applicable
11442.G79578	misc environment	free-living	non-saline	surface (non-saline)
11442.G79533	misc environment	not applicable	not applicable	not applicable
11442.G79565	misc environment	host-associated	animal	animal-secretion
11442.BLANK14.11D	misc environment	control	negative	sterile water blank
11953.L220.tp8	host-associated	Host-associated	Animal-associated	Animal distal gut
11442.G79576	misc environment	free-living	non-saline	surface (non-saline)
11442.G79483	misc environment	free-living	non-saline	surface (non-saline)
11442.G79537	misc environment	not applicable	not applicable	not applicable
11442.G75815	misc environment	not applicable	not applicable	not applicable
11442.G79342	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.75Pft.5.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10442.WSB378	water			
11442.G79345	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.066.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT25.ORAL.535	human-oral	Host-associated	Animal-associated	Animal secretion
11442.G79748	misc environment	not applicable	not applicable	not applicable
11442.G79577	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.A.25.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10218.5.11.13.S.RA.G	soil			
11442.G79534	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.38.L	host-associated		Host-associated	Host-associated (non-saline)
11933.UM.24877.vfinch	host-associated	Host-associated	Animal-associated	Animal distal gut
12227.SAL.RAS.A.36.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.042.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB242	water			
11442.G83225	misc environment	not applicable	not applicable	not applicable
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
10245.34.Drnum4.day15.Bag4		Host-associated	Plant	Plant corpus
11712.SUBJECT20.STOOL.424	human-gut	Host-associated	Animal-associated	Animal distal gut
11993.MI395H	human-gut	Host-associated	Animal-associated	Animal distal gut
10218.3.7.13.A	soil			
10442.WSB717	water			
11442.G73692	misc environment	host-associated	plant	plant-corpus
11712.SUBJECT18.STOOL.320	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.042.Fly.7.T	host-associated		Host-associated	Host-associated (non-saline)
11713.22.S.22D	human-skin	Host-associated	Animal-associated	Animal surface
12227.control.feed5	misc environment	Free-living	Non-saline	Surface (non-saline)
10172.1703	human-skin			
10442.WSB335	water			
10245.33.Drnum4.day15.Bag3		Host-associated	Plant	Plant corpus
11166.ATL.24537.pigeon	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.004.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.B.47.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.042.Fly.25.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G79708	misc environment	host-associated	plant	plant-corpus
12227.SAL.RAS.B.44.skin	host-associated	Host-associated	Animal	Animal surface
11405.subject718.timepoint48	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10172.7231	built environment			
11442.G79492	misc environment	host-associated	plant	plant-corpus
11519.17A260609.S11a.9F	soil	Free-living	Non-saline	Soil (non-saline)
