#SampleID	env_package	empo_1	empo_2	empo_3
11442.G79755	misc environment	not applicable	not applicable	not applicable
11442.G79342	misc environment	free-living	non-saline	surface (non-saline)
10403.7.15.14.NL7.S6	human-skin	Host-associated	Animal	Animal surface
11712.SUBJECT19.STOOL.365	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G79577	misc environment	free-living	non-saline	surface (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT23.STOOL.500	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT20.STOOL.431	human-gut	Host-associated	Animal-associated	Animal distal gut
11624.K40.123.55	human-associated	Host-associated	Animal	Animal secretion
11712.SUBJECT29.STOOL.618	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT25.ORAL.536	human-oral	Host-associated	Animal-associated	Animal secretion
13414.99.midg	host-associated	Host-associated	Host-associated (saline)	Animal (saline)
11712.SUBJECT20.ORAL.397	human-oral	Host-associated	Animal-associated	Animal secretion
11442.G83216	misc environment	host-associated	plant	plant-corpus
11442.G79538	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT22.STOOL.478	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT43.STOOL.1074	human-gut	Host-associated	Animal-associated	Animal distal gut
10442.WSB330	water			
11442.G79576	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.028.Fly.14.O	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB161A	water			
11713.25.S.25E	human-skin	Host-associated	Animal-associated	Animal surface
10442.WSB603	water			
11712.SUBJECT24.STOOL.522	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT17.STOOL.263	human-gut	Host-associated	Animal-associated	Animal distal gut
11335.patient1.F2	not provided			
11712.SUBJECT23.ORAL.488	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT18.STOOL.320	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.BLANK12.11G	misc environment	Control	Negative	Sterile water blank
11712.SUBJECT43.ORAL.1024	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT18.ORAL.279	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT18.ORAL.275	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2014.042.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
11405.subject723.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G78950	misc environment	free-living	non-saline	surface (non-saline)
11442.G79649	misc environment	host-associated	not applicable	not applicable
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
11712.BLANK14.9H	misc environment	Control	Negative	Sterile water blank
11442.G75815	misc environment	not applicable	not applicable	not applicable
11442.G75813	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT18.STOOL.323	human-gut	Host-associated	Animal-associated	Animal distal gut
11405.subject892.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10863.PBS2.8H	microbial mat/biofilm			
11712.SUBJECT43.STOOL.1064	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.042.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT23.STOOL.506	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G78938	misc environment	free-living	non-saline	surface (non-saline)
11624.K40.76.54	human-associated	Host-associated	Animal	Animal secretion
11442.G79573	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT18.ORAL.268	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT16.STOOL.196	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT29.ORAL.608	human-oral	Host-associated	Animal-associated	Animal secretion
10442.WSB427	water			
11548.A21.111.teeth	host-associated	Host-associated	Animal-associated	Animal corpus
11624.J40.56.39	human-associated	Host-associated	Animal	Animal secretion
11442.G78880	misc environment	free-living	non-saline	surface (non-saline)
11624.K40.78.44	human-associated	Host-associated	Animal	Animal secretion
11442.G83221	misc environment	host-associated	plant	plant-corpus
13301.2014.004.Fly.35.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT42.STOOL.1015	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT18.STOOL.321	human-gut	Host-associated	Animal-associated	Animal distal gut
10863.C.BC4	microbial mat/biofilm			
10863.PBS1.8H	microbial mat/biofilm			
10934.ntc.blank.3.5m	misc environment	Control	Negative	Sterile water blank
11712.SUBJECT20.STOOL.421	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G79574	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT43.STOOL.1068	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT43.STOOL.1073	human-gut	Host-associated	Animal-associated	Animal distal gut
11624.K40.123.4	human-associated	Host-associated	Animal	Animal secretion
11442.G79344	misc environment	free-living	non-saline	surface (non-saline)
11624.K40.115.67	human-associated	Host-associated	Animal	Animal secretion
11712.SUBJECT22.STOOL.477	human-gut	Host-associated	Animal-associated	Animal distal gut
10442.WSB293	water			
11712.SUBJECT27.STOOL.582	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT26.STOOL.569	human-gut	Host-associated	Animal-associated	Animal distal gut
11713.2.F.2G	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT25.STOOL.547	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G79537	misc environment	not applicable	not applicable	not applicable
10218.3.7.13.A	soil			
10218.5.13.13.S.LA.F	soil			
10442.WSB550	water			
11442.G79343	misc environment	free-living	non-saline	surface (non-saline)
10317.000017647	human-gut	host-associated	animal	animal distal gut
11712.SUBJECT20.STOOL.430	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.BLANK14.2G	misc environment	Control	Negative	Sterile water blank
11712.SUBJECT25.STOOL.546	human-gut	Host-associated	Animal-associated	Animal distal gut
11624.K40.128.100	human-associated	Host-associated	Animal	Animal secretion
11442.G79541	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT43.ORAL.1037	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT42.STOOL.1012	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT20.STOOL.425	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT26.STOOL.572	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.BLANK12.11E	misc environment	Control	Negative	Sterile water blank
11712.SUBJECT22.STOOL.476	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT24.STOOL.523	human-gut	Host-associated	Animal-associated	Animal distal gut
10218.5.11.13.S.RA.G	soil			
10442.WSB138A	water			
11712.SUBJECT17.ORAL.215	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT42.ORAL.980	human-oral	Host-associated	Animal-associated	Animal secretion
10442.WSB335	water			
11712.SUBJECT9.STOOL.1223	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT43.ORAL.1029	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT43.STOOL.1070	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT17.STOOL.254	human-gut	Host-associated	Animal-associated	Animal distal gut
11713.8.F.8D	human-gut	Host-associated	Animal-associated	Animal distal gut
