#SampleID	env_package	empo_1	empo_2	empo_3
11335.patient1.E9	not provided			
10218.5.13.13.S.LA.F	soil			
11712.SUBJECT19.ORAL.340	human-oral	Host-associated	Animal-associated	Animal secretion
14062.19526	human-oral	Host-associated	Animal	Animal secretion
13301.2014.066.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79533	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT14.STOOL.140	human-gut	Host-associated	Animal-associated	Animal distal gut
11624.K40.63.67	human-associated	Host-associated	Animal	Animal secretion
11712.SUBJECT43.ORAL.1033	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2014.066.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT23.ORAL.487	human-oral	Host-associated	Animal-associated	Animal secretion
11052.10.4.13.rk.rh	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11712.SUBJECT43.STOOL.1075	human-gut	Host-associated	Animal-associated	Animal distal gut
10245.35.Drnum4.day15.Bag5		Host-associated	Plant	Plant corpus
12227.137.FT.5.skin	host-associated	Host-associated	Animal	Animal surface
11442.G79538	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
13414.99.g	host-associated	Host-associated	Host-associated (saline)	Animal (saline)
11953.L833.tp4	host-associated	Host-associated	Animal-associated	Animal distal gut
10245.113.Drnum12.day113.Bag3		Host-associated	Plant	Plant corpus
12227.control.feed4	misc environment	Free-living	Non-saline	Surface (non-saline)
10863.PBS1.8H	microbial mat/biofilm			
1883.2011.248.Crump.Artic.LTREB.main.lane4.NoIndex	water	Free-living	Non-saline	Water (non-saline)
11442.G79360	misc environment	not applicable	not applicable	not applicable
11442.G79541	misc environment	not applicable	not applicable	not applicable
550.L3S35.s.3.sequence	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
10317.000016405	human-gut	host-associated	animal	animal distal gut
13301.2014.066.Fly.28.T	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB335	water			
11712.SUBJECT43.STOOL.1065	human-gut	Host-associated	Animal-associated	Animal distal gut
10218.5.11.13.S.RA.G	soil			
11335.patient1.A3	not provided			
11712.SUBJECT43.STOOL.1073	human-gut	Host-associated	Animal-associated	Animal distal gut
11519.19A030709.S15.3E	soil	Free-living	Non-saline	Soil (non-saline)
11405.subject930.timepoint12	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10863.49.3	microbial mat/biofilm			
13301.2014.066.Fly.38.L	host-associated		Host-associated	Host-associated (non-saline)
11405.subject854.timepoint2	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11713.21.S.21G	human-skin	Host-associated	Animal-associated	Animal surface
550.L2S143.s.2.sequence	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79539	misc environment	not applicable	not applicable	not applicable
11442.G79540	misc environment	not applicable	not applicable	not applicable
10317.000009693	human-gut	host-associated	animal	animal distal gut
10934.ntc.swab.2.1	misc environment	Control	Negative	Sterile water blank
11405.subject854.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11624.J40.120.26	human-associated	Host-associated	Animal	Animal secretion
11405.subject859.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G83177	misc environment	not applicable	not applicable	not applicable
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT20.STOOL.425	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT22.STOOL.477	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G79537	misc environment	not applicable	not applicable	not applicable
13301.2014.052.Fly.24.T	host-associated		Host-associated	Host-associated (non-saline)
10317.000016458	human-gut	host-associated	animal	animal distal gut
11405.subject844.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10317.000012976	human-gut	host-associated	animal	animal distal gut
11442.G79748	misc environment	not applicable	not applicable	not applicable
11442.G75813	misc environment	not applicable	not applicable	not applicable
10317.000016408	human-gut	host-associated	animal	animal distal gut
11442.G79755	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT41.ORAL.935	human-oral	Host-associated	Animal-associated	Animal secretion
11713.17.F.17F	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G79751	misc environment	not applicable	not applicable	not applicable
10317.000014430	human-gut	host-associated	animal	animal distal gut
11712.SUBJECT41.ORAL.943	human-oral	Host-associated	Animal-associated	Animal secretion
10522.2600.54958	host-associated			
13301.2014.042.Fly.2.L	host-associated		Host-associated	Host-associated (non-saline)
11713.4.F.4C	human-gut	Host-associated	Animal-associated	Animal distal gut
10317.000015607	human-gut	host-associated	animal	animal distal gut
11624.K40.123.4	human-associated	Host-associated	Animal	Animal secretion
10317.000017657	human-gut	host-associated	animal	animal distal gut
11405.BLANK08.E09	misc environment	Control	Negative	Sterile water blank
10317.000018065	human-gut	host-associated	animal	animal distal gut
10317.000015999	human-gut	host-associated	animal	animal distal gut
13301.2014.028.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
10317.000014630	human-gut	host-associated	animal	animal distal gut
11335.patient1.F2	not provided			
10317.000013618	human-gut	host-associated	animal	animal distal gut
11293.C.0332	human-oral	Host-associated	Animal	Animal secretion
11713.BLANK4.4F	misc environment	Control	Negative	Sterile water blank
550.L4S173.s.4.sequence	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
12227.control.feed2	misc environment	Free-living	Non-saline	Surface (non-saline)
12227.43.RAS.ozone.1.gill	host-associated	Host-associated	Animal	Animal surface
13301.2014.066.Fly.13.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT42.STOOL.1012	human-gut	Host-associated	Animal-associated	Animal distal gut
1845.RJB21				
11713.17.F.17B	human-gut	Host-associated	Animal-associated	Animal distal gut
10172.8055	built environment			
12227.control.feed5	misc environment	Free-living	Non-saline	Surface (non-saline)
13301.2014.066.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
11712.BLANK14.2G	misc environment	Control	Negative	Sterile water blank
14062.19483	human-oral	Host-associated	Animal	Animal secretion
11442.G79649	misc environment	host-associated	not applicable	not applicable
11442.G83216	misc environment	host-associated	plant	plant-corpus
11405.subject833.timepoint48	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.22.L	host-associated		Host-associated	Host-associated (non-saline)
14062.19319	human-oral	Host-associated	Animal	Animal secretion
11442.G74113	misc environment	free-living	non-saline	soil (non-saline)
11713.21.S.21B	human-skin	Host-associated	Animal-associated	Animal surface
11442.G79345	misc environment	free-living	non-saline	surface (non-saline)
10863.PBS2.8H	microbial mat/biofilm			
11712.SUBJECT18.ORAL.285	human-oral	Host-associated	Animal-associated	Animal secretion
10317.000017651	human-gut	host-associated	animal	animal distal gut
10442.WSB171C	water			
11442.G79344	misc environment	free-living	non-saline	surface (non-saline)
1845.DR23GM				
13301.2014.042.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.1.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.15.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.7.L	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB328	water			
11405.subject858.timepoint24	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11335.patient1.E11	not provided			
550.L3S48.s.3.sequence	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10317.000016409	human-gut	host-associated	animal	animal distal gut
11405.subject723.timepoint12	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11624.K40.88.82	human-associated	Host-associated	Animal	Animal secretion
10317.000001820	human-gut	host-associated	animal	animal distal gut
12227.control.feed6	misc environment	Free-living	Non-saline	Surface (non-saline)
11519.19A030709.S15.3D	soil	Free-living	Non-saline	Soil (non-saline)
11712.BLANK14.9H	misc environment	Control	Negative	Sterile water blank
10317.000017121	human-gut	host-associated	animal	animal distal gut
11405.subject833.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10317.000017335	human-gut	host-associated	animal	animal distal gut
550.L4S185.s.4.sequence	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10218.3.7.13.A	soil			
10317.000004888	human-gut	host-associated	animal	animal distal gut
11712.SUBJECT17.STOOL.263	human-gut	Host-associated	Animal-associated	Animal distal gut
550.L3S86.s.3.sequence	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.10.L	host-associated		Host-associated	Host-associated (non-saline)
14062.19683	human-oral	Host-associated	Animal	Animal secretion
13301.2014.028.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
