#SampleID	env_package	empo_1	empo_2	empo_3
13301.2014.052.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.40.T	host-associated		Host-associated	Host-associated (non-saline)
10863.PBS1.8H	microbial mat/biofilm			
11358.1137	human-skin	Host-associated	Animal-associated	Animal surface
13301.2014.052.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT22.STOOL.477	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.17.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.19.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT23.ORAL.487	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT26.ORAL.555	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2014.042.Fly.35.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
10863.PBS2.8H	microbial mat/biofilm			
13301.2014.066.Fly.6.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
11624.BLANK18.6E	misc environment	Control	Negative	Sterile water blank
13301.2014.028.Fly.37.O	host-associated		Host-associated	Host-associated (non-saline)
11405.subject854.timepoint2	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.31.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.23.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.36.L	host-associated		Host-associated	Host-associated (non-saline)
11405.subject859.timepoint24	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11405.subject726.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.38.L	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.006.Fly.7.T				
11712.SUBJECT23.STOOL.500	human-gut	Host-associated	Animal-associated	Animal distal gut
13957.Apt.B.building.southern.door.floor	built environment	Free-living	Non-saline	Surface (non-saline)
11442.G74085	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT17.STOOL.263	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.053.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
11692.11441.14o3	host-associated	Host-associated	Animal	Animal secretion
11366.14HM501.M.1	human-associated			
13301.2014.066.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.63.67	human-associated	Host-associated	Animal	Animal secretion
13301.2014.052.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
11366.BLANK8.3E	misc environment			
11712.SUBJECT14.STOOL.140	human-gut	Host-associated	Animal-associated	Animal distal gut
11358.1565	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.5.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT20.STOOL.430	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT30.ORAL.657	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2014.066.Fly.30.L	host-associated		Host-associated	Host-associated (non-saline)
11624.J40.120.26	human-associated	Host-associated	Animal	Animal secretion
13301.2014.004.Fly.31.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT22.STOOL.476	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.009.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.2.T				
10321.2014.009.Fly.36.T				
13301.2014.042.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.76.14	human-associated	Host-associated	Animal	Animal secretion
11712.SUBJECT43.STOOL.1074	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT42.ORAL.980	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2014.052.Fly.6.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G72667	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT23.STOOL.505	human-gut	Host-associated	Animal-associated	Animal distal gut
11405.subject892.timepoint6	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10321.2014.009.Fly.25.T				
13301.2014.066.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.004.Fly.38.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
11366.14HM493.M.1	human-associated			
11405.subject718.timepoint48	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.35.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT19.STOOL.367	human-gut	Host-associated	Animal-associated	Animal distal gut
11713.18.S.18C	human-skin	Host-associated	Animal-associated	Animal surface
13301.2014.042.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.24.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT20.STOOL.431	human-gut	Host-associated	Animal-associated	Animal distal gut
11624.BLANK10.10A	misc environment	Control	Negative	Sterile water blank
11692.11441.14o0	host-associated	Host-associated	Animal	Animal secretion
13301.2014.042.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.14.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.15.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject859.timepoint6	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
1802.H13Do				
11712.SUBJECT19.STOOL.370	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.066.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.15.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
11692.11441.35o15	host-associated	Host-associated	Animal	Animal secretion
13301.2014.028.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
11692.11441.2o0	host-associated	Host-associated	Animal	Animal secretion
13301.2014.042.Fly.32.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.1.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.40.O	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT43.STOOL.1068	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.028.Fly.25.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G78959	misc environment	free-living	non-saline	surface (non-saline)
11166.fmnh.1097	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.052.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.7.O	host-associated		Host-associated	Host-associated (non-saline)
11166.fmnh.1143	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11712.SUBJECT18.ORAL.281	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2014.052.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT24.STOOL.523	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT9.STOOL.1210	human-gut	Host-associated	Animal-associated	Animal distal gut
11405.subject859.timepoint2	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.009.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.006.Fly.40.T				
13301.2014.052.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.21.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.39.T				
11166.UM.24899.vfinch	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.35.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.40.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT26.ORAL.558	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2014.052.Fly.34.L	host-associated		Host-associated	Host-associated (non-saline)
11712.BLANK12.12E	misc environment	Control	Negative	Sterile water blank
13301.2014.066.Fly.17.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.22.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject833.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.028.Fly.32.L	host-associated		Host-associated	Host-associated (non-saline)
11692.11441.24o0	host-associated	Host-associated	Animal	Animal secretion
10801.GF3.I1	host-associated	Host-associated	Animal-associated	Animal proximal gut
11712.BLANK12.11F	misc environment	Control	Negative	Sterile water blank
13301.2014.004.Fly.28.T	host-associated		Host-associated	Host-associated (non-saline)
