#SampleID	env_package	empo_1	empo_2	empo_3
11712.SUBJECT23.STOOL.498	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT20.STOOL.425	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.042.Fly.1.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G79343	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT25.ORAL.535	human-oral	Host-associated	Animal-associated	Animal secretion
11442.G79650	misc environment	host-associated	plant	plant-corpus
11712.SUBJECT25.STOOL.547	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT42.ORAL.982	human-oral	Host-associated	Animal-associated	Animal secretion
10863.PBS2.8H	microbial mat/biofilm			
13301.2014.066.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79536	misc environment	not applicable	not applicable	not applicable
11442.G79535	misc environment	not applicable	not applicable	not applicable
11442.G79750	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT19.STOOL.364	human-gut	Host-associated	Animal-associated	Animal distal gut
11624.K40.102.55	human-associated	Host-associated	Animal	Animal secretion
13301.2014.042.Fly.22.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75806	misc environment	host-associated	plant	plant-corpus
11624.K40.110.89	human-associated	Host-associated	Animal	Animal secretion
11442.G75185	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.28.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT23.STOOL.503	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.028.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79477	misc environment	free-living	non-saline	surface (non-saline)
11624.K40.105.61	human-associated	Host-associated	Animal	Animal secretion
11405.subject718.timepoint48	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11712.SUBJECT18.STOOL.323	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.BLANK14.9H	misc environment	Control	Negative	Sterile water blank
11712.SUBJECT14.STOOL.140	human-gut	Host-associated	Animal-associated	Animal distal gut
10317.000007034	human-skin	host-associated	animal	animal surface
10218.3.9.13CtrlB	soil			
11442.G79538	misc environment	not applicable	not applicable	not applicable
11442.G79656	misc environment	not applicable	not applicable	not applicable
11442.G79649	misc environment	host-associated	not applicable	not applicable
11712.SUBJECT18.STOOL.322	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G79541	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT30.ORAL.655	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2014.052.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.26.T	host-associated		Host-associated	Host-associated (non-saline)
11166.vbat.DR12.colon.vbat	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11713.BLANK4.4C	misc environment	Control	Negative	Sterile water blank
11624.J40.126.51	human-associated	Host-associated	Animal	Animal secretion
11405.subject892.timepoint6	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11548.A18.97.13	host-associated	Host-associated	Animal-associated	Animal distal gut
13301.2014.042.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.31.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
11405.subject723.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.052.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
11713.24.S.24C	human-skin	Host-associated	Animal-associated	Animal surface
11624.K40.107.61	human-associated	Host-associated	Animal	Animal secretion
11442.G83175	misc environment	not applicable	not applicable	not applicable
13301.2014.028.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject859.timepoint24	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79570	misc environment	free-living	non-saline	surface (non-saline)
11442.G75787	misc environment	free-living	non-saline	surface (non-saline)
