#SampleID	env_package	empo_1	empo_2	empo_3
13301.2014.066.Fly.18.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75792	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.21.T	host-associated		Host-associated	Host-associated (non-saline)
10370.16B3	human-skin			
13301.2015.015.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79748	misc environment	not applicable	not applicable	not applicable
10172.239	built environment			
11442.G75813	misc environment	not applicable	not applicable	not applicable
11166.NATL.24263.frog	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
12227.137.FT.7.skin	host-associated	Host-associated	Animal	Animal surface
10321.2014.006.Fly.23.T				
10321.2014.006.Fly.4.T				
11442.G75808	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
10172.767	built environment			
13301.2014.006.Fly.23.O	host-associated		Host-associated	Host-associated (non-saline)
11272.Cl.V7.4D12.UB	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
12227.control.feed5	misc environment	Free-living	Non-saline	Surface (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.28.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.21.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
10403.1.16.15.L16.S10	human-skin	Host-associated	Animal	Animal surface
11442.G83216	misc environment	host-associated	plant	plant-corpus
11166.NATL.24740.armadillo	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G86924	misc environment	free-living	non-saline	surface (non-saline)
11442.G79481	misc environment	free-living	non-saline	surface (non-saline)
11442.G79315	misc environment	free-living	non-saline	surface (non-saline)
11166.NATL.24372.frog	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79538	misc environment	not applicable	not applicable	not applicable
11442.G75806	misc environment	host-associated	plant	plant-corpus
11815.JCK.10366.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
11442.G75650	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.30.L	host-associated		Host-associated	Host-associated (non-saline)
11366.14HM501.M.1	human-associated			
11442.G75791	misc environment	free-living	non-saline	surface (non-saline)
10218.5.11.13.S.RA.G	soil			
10442.WSB218	water			
11366.14HM393.M.1	human-associated			
10485.B647	host-associated			
13301.2014.009.Fly.26.L	host-associated		Host-associated	Host-associated (non-saline)
10172.632	built environment			
11442.G79755	misc environment	not applicable	not applicable	not applicable
11815.PWW.3413.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13301.2014.006.Fly.23.T	host-associated		Host-associated	Host-associated (non-saline)
11166.NATL.24245.rat	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
10285.Hippo.JS19	host-associated	Host-associated	Animal	Animal distal gut
10321.2014.006.Fly.16.T				
11815.JCK.10339.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10512.AC	host-associated			
11366.14HM38.M.4	human-associated			
10442.WSB216	water			
10172.620	built environment			
10442.WSB203	water			
13301.2014.006.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
11400.NCF1.3.12.17	human-associated			
11442.G79344	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB553	water			
10321.2014.009.Fly.21.T				
13301.2014.009.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB568	water			
13301.2014.006.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
