#SampleID	env_package	empo_1	empo_2	empo_3
12227.SAL.RAS.A.27.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G75791	misc environment	free-living	non-saline	surface (non-saline)
11442.G75814	misc environment	host-associated	not applicable	not applicable
10934.AB.w.PVC1	built environment	Free-living	Saline	Surface (saline)
1802.H15Kc				
11442.G79471	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.A.26.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.A.24.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G78935	misc environment	free-living	non-saline	surface (non-saline)
11442.G79315	misc environment	free-living	non-saline	surface (non-saline)
11442.G79343	misc environment	free-living	non-saline	surface (non-saline)
11442.G79473	misc environment	free-living	non-saline	surface (non-saline)
11442.G75790	misc environment	free-living	non-saline	surface (non-saline)
11442.G83413	misc environment	free-living	non-saline	surface (non-saline)
11442.G75792	misc environment	free-living	non-saline	surface (non-saline)
11442.G75805	misc environment	not applicable	not applicable	not applicable
13301.2014.009.Fly.10.T	host-associated		Host-associated	Host-associated (non-saline)
10403.1.8.15.L12.S9	human-skin	Host-associated	Animal	Animal surface
11442.G79318	misc environment	free-living	non-saline	surface (non-saline)
11442.G79550	misc environment	free-living	non-saline	surface (non-saline)
11442.G79316	misc environment	free-living	non-saline	surface (non-saline)
10317.000009724	human-skin	host-associated	animal	animal surface
11442.G75815	misc environment	not applicable	not applicable	not applicable
11442.G79344	misc environment	free-living	non-saline	surface (non-saline)
11442.G79342	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB753	water			
11442.G75808	misc environment	not applicable	not applicable	not applicable
12227.SAL.75Pft.11.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2015.015.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79324	misc environment	free-living	non-saline	surface (non-saline)
11442.G78938	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75650	misc environment	free-living	non-saline	surface (non-saline)
10934.AB.w.G3	built environment	Free-living	Saline	Surface (saline)
12227.SAL.RAS.A.25.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.75Pft.7.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10321.2014.009.Fly.10.T				
11442.G83177	misc environment	not applicable	not applicable	not applicable
11442.G79558	misc environment	free-living	non-saline	surface (non-saline)
10321.2014.009.Fly.27.T				
12227.SAL.RAS.A.29.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.75Pft.1.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G83313	misc environment	host-associated	animal	animal-corpus
13301.2015.015.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.4.T				
11442.G79751	misc environment	not applicable	not applicable	not applicable
12227.control.feed5	misc environment	Free-living	Non-saline	Surface (non-saline)
11442.G79551	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G72483	misc environment	free-living	non-saline	surface (non-saline)
10934.AB.floor1.b	built environment	Free-living	Non-saline	Surface (non-saline)
12227.SAL.RAS.A.30.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.009.Fly.16.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79538	misc environment	not applicable	not applicable	not applicable
13301.2015.015.Fly.5.T	host-associated		Host-associated	Host-associated (non-saline)
