#SampleID	env_package	empo_1	empo_2	empo_3
13092.000118756.covid	built environment	Free-living	Non-saline	Surface (non-saline)
11442.G79746	misc environment	host-associated	plant	plant-corpus
13092.000119688.covid	built environment	Free-living	Non-saline	Surface (non-saline)
13301.2015.017.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
11442.G73701	misc environment	free-living	non-saline	surface (non-saline)
10321.2014.006.Fly.10.T				
11166.ATL.24495.starling	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.006.Fly.10.T	host-associated		Host-associated	Host-associated (non-saline)
13114.minich.76.s003	host-associated	Host-associated	Animal	Animal distal gut
11442.G79574	misc environment	free-living	non-saline	surface (non-saline)
11442.G75694	misc environment	free-living	non-saline	surface (non-saline)
11442.G75813	misc environment	not applicable	not applicable	not applicable
11442.G75647	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
1728.2P	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)
13301.2014.042.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
12227.430.seapen.1.skin	host-associated	Host-associated	Animal	Animal surface
11442.G83216	misc environment	host-associated	plant	plant-corpus
13301.2015.015.Fly.6.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G73731	misc environment	free-living	non-saline	surface (non-saline)
11442.G75698	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.A.20.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.042.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.123.55	human-associated	Host-associated	Animal	Animal secretion
11442.G79541	misc environment	not applicable	not applicable	not applicable
13092.000117055.covid	built environment	Free-living	Non-saline	Surface (non-saline)
11442.G79540	misc environment	not applicable	not applicable	not applicable
11442.G79537	misc environment	not applicable	not applicable	not applicable
12227.control.feed3	misc environment	Free-living	Non-saline	Surface (non-saline)
12227.137.FT.5.skin	host-associated	Host-associated	Animal	Animal surface
13301.2014.009.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79360	misc environment	not applicable	not applicable	not applicable
13301.2014.009.Fly.25.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.34.L	host-associated		Host-associated	Host-associated (non-saline)
10934.AB.w.shell6	host-associated	Host-associated	Animal	Animal surface
12227.SAL.75Pft.7.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.A.19.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.009.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79357	misc environment	not applicable	not applicable	not applicable
13301.2014.004.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79344	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
