#SampleID	env_package	empo_1	empo_2	empo_3
11405.subject858.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11624.K40.111.97	human-associated	Host-associated	Animal	Animal secretion
10863.PBS2.8H	microbial mat/biofilm			
11442.G79746	misc environment	host-associated	plant	plant-corpus
13301.2014.042.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79534	misc environment	not applicable	not applicable	not applicable
13301.2014.028.Fly.10.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79357	misc environment	not applicable	not applicable	not applicable
11442.G79570	misc environment	free-living	non-saline	surface (non-saline)
11442.G79539	misc environment	not applicable	not applicable	not applicable
11405.subject723.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.35.O	host-associated		Host-associated	Host-associated (non-saline)
11166.ATL.24537.pigeon	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.34.L	host-associated		Host-associated	Host-associated (non-saline)
11712.BLANK12.12A	misc environment	Control	Negative	Sterile water blank
11442.G79540	misc environment	not applicable	not applicable	not applicable
11442.G79748	misc environment	not applicable	not applicable	not applicable
13301.2014.066.Fly.19.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79755	misc environment	not applicable	not applicable	not applicable
11442.G75805	misc environment	not applicable	not applicable	not applicable
2192.H06b.Kitchen.Floor.3122.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)
11442.G83177	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
11548.A15.85.teeth	host-associated	Host-associated	Animal-associated	Animal corpus
13301.2014.042.Fly.38.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.31.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10137.Day.761.A				
11442.G78940	misc environment	free-living	non-saline	surface (non-saline)
11442.G78937	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB625	water			
11442.G79751	misc environment	not applicable	not applicable	not applicable
11442.G79533	misc environment	not applicable	not applicable	not applicable
12227.SAL.RAS.A.20.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.066.Fly.9.O	host-associated		Host-associated	Host-associated (non-saline)
11166.ATL.24446.starling	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G75647	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.19.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.A.34.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79541	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75813	misc environment	not applicable	not applicable	not applicable
11442.G83225	misc environment	not applicable	not applicable	not applicable
11442.G79573	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.066.Fly.22.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT19.SKIN.356	human-skin	Host-associated	Animal-associated	Animal surface
10218.3.7.13.A	soil			
13301.2014.066.Fly.19.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G83216	misc environment	host-associated	plant	plant-corpus
11366.14HM544.M.1	human-associated			
10801.BLANK8.12E	misc environment	Control	Negative	Sterile water blank
894.F1441.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut
11442.G75790	misc environment	free-living	non-saline	surface (non-saline)
11442.G79649	misc environment	host-associated	not applicable	not applicable
13092.000117218.covid	built environment	Free-living	Non-saline	Surface (non-saline)
11442.G75815	misc environment	not applicable	not applicable	not applicable
13130.17o22	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11713.14.F.14B	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.028.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
10137.Day.807.A				
10218.5.13.13.S.LA.F	soil			
10353.PM	host-associated	Host-associated	Animal	Animal distal gut
11712.SUBJECT43.ORAL.1026	human-oral	Host-associated	Animal-associated	Animal secretion
12227.SAL.RAS.A.24.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79344	misc environment	free-living	non-saline	surface (non-saline)
11442.G79578	misc environment	free-living	non-saline	surface (non-saline)
2248.L195.LLVR.2.25.14.MLB	host-associated	Host-associated	Animal	Animal distal gut
11950.loc2.Gypsum.wet.TP0.DUP	built environment	Free-living	Non-saline	Surface (non-saline)
13301.2014.066.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT22.STOOL.476	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G75792	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.A.25.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.7.T	host-associated		Host-associated	Host-associated (non-saline)
10353.GM	host-associated	Host-associated	Animal	Animal distal gut
13301.2014.066.Fly.23.L	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB659	water			
11712.SUBJECT18.ORAL.278	human-oral	Host-associated	Animal-associated	Animal secretion
11442.G74113	misc environment	free-living	non-saline	soil (non-saline)
11713.19.F.19A	human-gut	Host-associated	Animal-associated	Animal distal gut
10218.5.11.13.S.RA.G	soil			
13301.2014.042.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
10137.Day.861.A				
13301.2014.053.Fly.17.T	host-associated		Host-associated	Host-associated (non-saline)
10137.Day.751.A				
10442.WSB335	water			
13114.minich.76.s003	host-associated	Host-associated	Animal	Animal distal gut
13301.2014.042.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.B.48.skin	host-associated	Host-associated	Animal	Animal surface
11442.G78938	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.A.35.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2015.015.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
10218.3.9.13CtrlB	soil			
11166.NATL.24313.oropendula	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79356	misc environment	host-associated	not applicable	not applicable
11624.J40.126.51	human-associated	Host-associated	Animal	Animal secretion
11166.ATL.24495.starling	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10442.WSB205	water			
11405.BLANK08.D10	misc environment	Control	Negative	Sterile water blank
13301.2014.066.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
13092.000119713.covid	built environment	Free-living	Non-saline	Surface (non-saline)
13301.2015.015.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
11953.L181.tp4	host-associated	Host-associated	Animal-associated	Animal distal gut
11442.G79537	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.38.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.39.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.12.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.23.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79538	misc environment	not applicable	not applicable	not applicable
13301.2014.066.Fly.5.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.23.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.23.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11713.12.S.12B	human-skin	Host-associated	Animal-associated	Animal surface
13092.000119694.covid.MVPII	built environment	Free-living	Non-saline	Surface (non-saline)
13301.2014.066.Fly.30.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.B.54.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.A.26.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.042.Fly.1.O	host-associated		Host-associated	Host-associated (non-saline)
10934.AB.w.PVC1	built environment	Free-living	Saline	Surface (saline)
11624.K40.123.4	human-associated	Host-associated	Animal	Animal secretion
10442.WSB162C	water			
