#SampleID	env_package	empo_1	empo_2	empo_3
11442.G75813	misc environment	not applicable	not applicable	not applicable
12227.SAL.RAS.A.26.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10485.A495	host-associated			
10137.Day.607.F				
11442.G79649	misc environment	host-associated	not applicable	not applicable
11052.3.17.19.RK.LH	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79538	misc environment	not applicable	not applicable	not applicable
11815.PWW.3406.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
11815.PWW.3332.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
11052.3.19.19.RK.RH	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G83177	misc environment	not applicable	not applicable	not applicable
11442.G79657	misc environment	host-associated	plant	plant-corpus
11166.NATL.25014.b.crane	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79360	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT14.STOOL.140	human-gut	Host-associated	Animal-associated	Animal distal gut
11166.NATL.24318.ibis	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11166.NATL.24314.bird	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10485.A1557	host-associated			
10137.Day.575.F				
13114.song.53.s009	host-associated	Host-associated	Animal	Animal distal gut
11442.G79534	misc environment	not applicable	not applicable	not applicable
13414.99.g	host-associated	Host-associated	Host-associated (saline)	Animal (saline)
13301.2014.066.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
10137.Day.751.F				
10485.B625	host-associated			
10137.Day.699.F				
12227.SAL.RAS.A.28.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79357	misc environment	not applicable	not applicable	not applicable
11442.G75236	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79537	misc environment	not applicable	not applicable	not applicable
12227.SAL.RAS.A.20.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.A.36.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.042.Fly.25.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.15.L	host-associated		Host-associated	Host-associated (non-saline)
11815.PWW.3382.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10218.G.CTRL.soil.T0.1	soil			
11815.PWW.3413.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10442.WSB157A	water			
10485.A1542	host-associated			
12227.SAL.RAS.A.19.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.75Pft.11.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11815.PWW.3395.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
12227.SAL.RAS.A.34.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.042.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.24.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.042.Fly.39.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
10317.000004888	human-gut	host-associated	animal	animal distal gut
11442.G83225	misc environment	not applicable	not applicable	not applicable
11405.subject833.timepoint2	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
12227.SAL.RAS.B.40.skin	host-associated	Host-associated	Animal	Animal surface
13301.2014.066.Fly.19.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
13301.2014.028.Fly.12.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79342	misc environment	free-living	non-saline	surface (non-saline)
11335.patient1.D11	not provided			
