#SampleID	env_package	empo_1	empo_2	empo_3
13301.2014.042.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79538	misc environment	not applicable	not applicable	not applicable
11442.G74113	misc environment	free-living	non-saline	soil (non-saline)
13301.2014.004.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75581	misc environment	free-living	non-saline	surface (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
13301.2014.066.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.31.L	host-associated		Host-associated	Host-associated (non-saline)
12227.control.feed8	misc environment	Free-living	Non-saline	Surface (non-saline)
11405.subject723.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.39.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.28.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.24.L	host-associated		Host-associated	Host-associated (non-saline)
11405.subject723.timepoint6	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.006.Fly.9.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G79649	misc environment	host-associated	not applicable	not applicable
13301.2014.042.Fly.23.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.29.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.2.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.111.97	human-associated	Host-associated	Animal	Animal secretion
13301.2014.066.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject858.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.006.Fly.29.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.18.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79360	misc environment	not applicable	not applicable	not applicable
13301.2014.066.Fly.26.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.37.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.16.L	host-associated		Host-associated	Host-associated (non-saline)
10485.A1581	host-associated			
13301.2014.066.Fly.18.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.33.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79576	misc environment	free-living	non-saline	surface (non-saline)
11442.G79537	misc environment	not applicable	not applicable	not applicable
13301.2014.066.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.006.Fly.10.T				
10485.A065	host-associated			
11442.G79357	misc environment	not applicable	not applicable	not applicable
13301.2014.066.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75805	misc environment	not applicable	not applicable	not applicable
13301.2014.028.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.25.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.24.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79342	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.23.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.30.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject930.timepoint12	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.7.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
10218.3.7.13.A	soil			
13301.2014.066.Fly.34.L	host-associated		Host-associated	Host-associated (non-saline)
10485.A509	host-associated			
