#SampleID	env_package	empo_1	empo_2	empo_3
10485.A1001	host-associated			
10485.B1143	host-associated			
10485.B344	host-associated			
13114.pinto.63.s009	host-associated	Host-associated	Plant	Plant corpus
10442.WSB177	water			
14446.593	water	Free-living	Non-saline	Water (non-saline)
11815.BN.596.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10485.A1086	host-associated			
10442.WSB171A	water			
10485.A1013	host-associated			
11624.H40.371.64	human-associated	Host-associated	Animal	Animal secretion
11815.BN.594.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10442.WSB220	water			
11366.14HM493.M.1	human-associated			
1747.DZF.6132012.TJ.door	built environment	Free-living	Non-saline	Surface (non-saline)
13301.2014.053.Fly.19.T	host-associated		Host-associated	Host-associated (non-saline)
11815.BN.598.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13301.2014.009.Fly.21.T	host-associated		Host-associated	Host-associated (non-saline)
10485.A002rep	host-associated			
13301.2014.052.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
10485.A0003DecPool2in3	host-associated			
10442.WSB156C	water			
10485.A0003DecPool2	host-associated			
13301.2015.015.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
11815.BN.604.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13301.2014.053.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB179	water			
13301.2014.052.Fly.5.T	host-associated		Host-associated	Host-associated (non-saline)
10485.A0917	host-associated			
1056.Myr.tri.Seat.11.04F02	host-associated	Host-associated	Animal	Animal distal gut
10936.FD.0089.aardvark				
10485.A1072	host-associated			
11166.FD.0089.aardvark	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.1.O	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB185	water			
10442.WSB170A	water			
11815.BN.605.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10485.A1536	host-associated			
10442.WSB171C	water			
10442.WSB156B	water			
11442.G86734	misc environment	free-living	non-saline	surface (non-saline)
11815.BN.603.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10442.WSB175C	water			
11442.G75236	misc environment	free-living	non-saline	surface (non-saline)
11815.BN.597.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10442.WSB160B	water			
13301.2014.053.Fly.22.L	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.006.Fly.25.T				
11815.BN.595.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13301.2014.052.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
10485.A1340	host-associated			
10442.WSB136B	water			
11815.BN.601.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10442.WSB184	water			
10485.A0931	host-associated			
10485.A0913	host-associated			
11166.fmnh.2797	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10442.WSB158B	water			
10485.B1229	host-associated			
11358.1193	human-skin	Host-associated	Animal-associated	Animal surface
13301.2014.052.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
11166.FD.0403.blackbuck	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.004.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
10172.9044	built environment			
10485.B1179	host-associated			
13301.2014.006.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB157B	water			
10321.2014.009.Fly.21.T				
10442.WSB143A	water			
10244.3E8	built environment	Free-living	Non-saline	Surface (non-saline)
10172.10386	built environment			
11815.BN.602.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10442.WSB216	water			
11519.19A030709.S15.3E	soil	Free-living	Non-saline	Soil (non-saline)
10442.WSB171B	water			
10442.WSB183	water			
11815.BN.599.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10442.WSB248	water			
11815.BN.600.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
10442.WSB170B	water			
10485.A1622	host-associated			
10317.000072361	human-skin	host-associated	animal	animal surface
13301.2014.006.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
10485.A107	host-associated			
1056.Myr.tri.Seat.13.04I17	host-associated	Host-associated	Animal	Animal distal gut
10485.A1361	host-associated			
10442.WSB170C	water			
11519.19A030709.S15.3D	soil	Free-living	Non-saline	Soil (non-saline)
