#SampleID	env_package	empo_1	empo_2	empo_3
11442.G86953	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.32.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.26.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G86752	misc environment	free-living	non-saline	surface (non-saline)
11442.G73950	misc environment	free-living	non-saline	surface (non-saline)
11442.G75857	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
11874.X15.435	human-skin	Host-associated	Animal	Animal surface
11442.G87483	misc environment	free-living	non-saline	surface (non-saline)
11442.G86732	misc environment	free-living	non-saline	surface (non-saline)
10323.G28R37.1211A	host-associated	Host-associated	Animal	Animal distal gut
13301.2014.009.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.4.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79360	misc environment	not applicable	not applicable	not applicable
13301.2015.017.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT29.ORAL.608	human-oral	Host-associated	Animal-associated	Animal secretion
11442.G79578	misc environment	free-living	non-saline	surface (non-saline)
11442.G75782	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.006.Fly.15.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79538	misc environment	not applicable	not applicable	not applicable
13301.2014.066.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.31.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.33.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G73495	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G90212	misc environment	free-living	non-saline	surface (non-saline)
12227.control.feed2	misc environment	Free-living	Non-saline	Surface (non-saline)
13301.2014.053.Fly.38.T	host-associated		Host-associated	Host-associated (non-saline)
1056.Pri.max.Seat.2.13B02	host-associated	Host-associated	Animal	Animal distal gut
11442.G86934	misc environment	free-living	non-saline	surface (non-saline)
10423.1S3OX0GR6TNJD	built environment			
13301.2014.053.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
11405.BLANK08.E09	misc environment	Control	Negative	Sterile water blank
11442.G87535	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.33.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G86976	misc environment	free-living	non-saline	surface (non-saline)
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB374	water			
11442.G86937	misc environment	free-living	non-saline	surface (non-saline)
11442.G79541	misc environment	not applicable	not applicable	not applicable
11442.G79317	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.38.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G87569	misc environment	host-associated	animal	animal-corpus
2010.1728				
10317.000063236	human-skin	host-associated	animal	animal surface
11442.G79534	misc environment	not applicable	not applicable	not applicable
11815.PWW.3397.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13301.2014.042.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.10.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79576	misc environment	free-living	non-saline	surface (non-saline)
11442.G75801	misc environment	free-living	non-saline	surface (non-saline)
11442.G86726	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.12.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79748	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.38.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.24.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79556	misc environment	free-living	non-saline	surface (non-saline)
11442.G86783	misc environment	free-living	non-saline	surface (non-saline)
11815.PWW.3379.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13301.2015.015.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.35.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75833	misc environment	free-living	non-saline	surface (non-saline)
11442.G86823	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.052.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
