#SampleID	env_package	empo_1	empo_2	empo_3
13301.2015.017.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G78937	misc environment	free-living	non-saline	surface (non-saline)
11404.000063236	human-skin			
13301.2015.015.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.4.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G78950	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.A.24.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79591	misc environment	free-living	non-saline	surface (non-saline)
11442.G78938	misc environment	free-living	non-saline	surface (non-saline)
10317.000063237	human-associated	host-associated	animal	animal surface
13301.2015.017.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79588	misc environment	free-living	non-saline	surface (non-saline)
14446.3582	wastewater/sludge	Free-living	Non-saline	Water (non-saline)
13301.2015.015.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.1.L	host-associated		Host-associated	Host-associated (non-saline)
11404.000063242	human-skin			
13301.2015.015.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.B.50.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2015.015.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
10317.000063236	human-skin	host-associated	animal	animal surface
11442.G75698	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.015.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.22.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2015.015.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
10317.000063239	human-associated	host-associated	animal	animal secretion
10317.000063241	human-skin	host-associated	animal	animal surface
13301.2015.017.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
10317.000012589	human-skin	host-associated	animal	animal surface
11404.000063244	human-skin			
13301.2015.015.Fly.13.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.30.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G72796	misc environment	free-living	non-saline	surface (non-saline)
894.YY1592.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut
13301.2015.017.Fly.13.L	host-associated		Host-associated	Host-associated (non-saline)
11815.JCK.10403.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13301.2015.017.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.10.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.6.O	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.20.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2015.015.Fly.2.L	host-associated		Host-associated	Host-associated (non-saline)
11404.000063239	human-associated			
10317.000063243	human-skin	host-associated	animal	animal surface
12227.SAL.RAS.B.52.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11404.000063243	human-skin			
12227.SAL.RAS.B.44.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2015.015.Fly.15.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.12.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.B.43.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2015.015.Fly.12.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.4.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.B.47.digesta	host-associated	Host-associated	Animal	Animal proximal gut
894.YY1588.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut
13301.2014.066.Fly.18.L	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.27.T				
12227.SAL.RAS.A.27.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.B.48.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.B.51.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.009.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
10317.000063242	human-skin	host-associated	animal	animal surface
13301.2014.042.Fly.19.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
10317.000063244	human-skin	host-associated	animal	animal surface
12227.SAL.RAS.A.26.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11404.000063241	human-skin			
12227.SAL.RAS.B.46.digesta	host-associated	Host-associated	Animal	Animal proximal gut
12227.SAL.RAS.B.45.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11404.000063237	human-associated			
13301.2015.015.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
